HCH_012_218_000084	崇禎初，歷兵部左、右侍郎，拜尚書，致仕歸。
HCH_012_218_000085	卒，贈太子太保。
HCH_012_218_000086	用嘉，舉人。
HCH_012_218_000087	歷官廣西參政。
HCH_012_218_000088	孫紹芳，進士，戶部左侍郎。
HCH_012_218_000089	王錫爵，字元馭，太倉人。
HCH_012_218_000090	嘉靖四十一年舉會試第一，廷試第二，授編修。
HCH_012_218_000091	累遷至祭酒。
HCH_012_218_000092	萬歷五年，以詹事掌翰林院。
HCH_012_218_000093	張居正奪情，將廷杖吳中行、趙用賢等。
HCH_012_218_000094	錫爵要同館十餘人詣居正求解，居正不納。
HCH_012_218_000095	錫爵獨造喪次，切言之，居正徑入不顧。
HCH_012_218_000096	中行等既受杖，錫爵持之大慟。
HCH_012_218_000097	明年，進禮部右侍郎。
HCH_012_218_000098	居正甫歸治喪，九卿急請召還，錫爵獨不署名。
HCH_012_218_000099	旋乞省親去。
HCH_012_218_000100	居正以錫爵形己短，益銜之，錫爵遂不出。
HCH_012_218_000101	十二年冬，即家拜禮部尚書兼文淵閣大學士，參機務。
HCH_012_218_000102	還朝，請禁諂諛、抑奔競、戒虛浮、節侈靡、辟橫議、簡工作。
HCH_012_218_000103	帝咸褒納。
HCH_012_218_000104	初，李植、江東之與大臣申時行、楊巍等相構，以錫爵負時望，且與居正貳，力推之。
HCH_012_218_000105	比錫爵至，與時行合，反出疏力排植等，植等遂去。
HCH_012_218_000106	時時行為首輔，許國次之，三人皆南畿人，而錫爵與時行同舉會試，且同郡，政府相得甚。
HCH_012_218_000107	然時行柔和，而錫爵性剛負氣。
HCH_012_218_000108	十六年，子衡舉順天試第一，郎官高桂、饒伸論之。
HCH_012_218_000109	錫爵連章辨訐，語過忿，伸坐下詔獄除名，桂謫邊方。
HCH_012_218_000110	御史喬璧星請帝戒諭錫爵，務擴其量，為休休有容之臣，錫爵疏辨。
HCH_012_218_000111	以是積與廷論忤。
HCH_012_218_000112	時群臣請建儲者眾，帝皆不聽。
HCH_012_218_000113	十八年，錫爵疏請豫教元子，錄用言官姜應麟等，且求宥故巡撫李材，不報。
HCH_012_218_000114	嘗因旱災，自陳乞罷。
HCH_012_218_000115	帝優詔留之。
HCH_012_218_000116	火落赤、真相犯西陲，議者爭請用兵，錫爵主款，與時行合。
HCH_012_218_000117	未幾，偕同列爭冊立不得，杜門乞歸。
HCH_012_218_000118	尋以母老，連乞歸省。
HCH_012_218_000119	乃賜道里費，遣官護行。
HCH_012_218_000120	歸二年，時行、國及王家屏相繼去位，有詔趣召錫爵。
HCH_012_218_000121	二十一年正月，還朝，遂為首輔。
HCH_012_218_000122	先是有旨，是年春舉冊立大典，戒廷臣毋瀆陳。
HCH_012_218_000123	廷臣鑒張有德事，咸默默。
HCH_012_218_000124	及是，錫爵密請帝決大計。
HCH_012_218_000125	帝遣內侍以手詔示錫爵，欲待嫡子，令元子與兩弟且並封為王。
HCH_012_218_000126	錫爵懼失上指，立奉詔擬諭旨。
HCH_012_218_000127	而又外慮公論，因言「漢明帝馬後、唐明皇王後、宋真宗劉後皆養諸妃子為子，請令皇后撫育元子，則元子即嫡子，而生母不必崇位號以上壓皇貴妃」，亦擬諭以進。
HCH_012_218_000128	同列趙誌臯、張位咸不預聞。
HCH_012_218_000129	帝竟以前諭下禮官，令即具儀。
HCH_012_218_000130	於是舉朝大嘩。
HCH_012_218_000131	給事中史孟麟、禮部尚書羅萬化等，群詣錫爵第，力爭。
HCH_012_218_000132	廷臣諫者，章日數上。
HCH_012_218_000133	錫爵偕誌臯、位力請追還前詔，帝不從。
HCH_012_218_000134	已而諫者益多，而嶽元聲、顧允成、張納陛、陳泰來、於孔兼、李啟美、曾鳳儀、鐘化民、項德禎等遮錫爵於朝房，面爭之。
