NER OUTPUT VALIDATION REPORT
Generated at: 2026-07-17T01:04:56
Scan root   : C:\Users\NguyenToan\OneDrive\Documents\dataset\NLP_corpus_project
Log file    : C:\Users\NguyenToan\OneDrive\Documents\dataset\NLP_corpus_project\check_ner_report.log
TSV files   : 795
====================================================================================================

COMPLETE UNITS
====================================================================================================
[OK] HCH_009\HCH_009_124 | sentences=310
[OK] HCH_009\HCH_009_125 | sentences=301
[OK] HCH_009\HCH_009_126 | sentences=296
[OK] HCH_009\HCH_009_127 | sentences=185
[OK] HCH_009\HCH_009_128 | sentences=364
[OK] HCH_009\HCH_009_129 | sentences=303
[OK] HCH_009\HCH_009_130 | sentences=131
[OK] HCH_009\HCH_009_131 | sentences=150
[OK] HCH_009\HCH_009_132 | sentences=409
[OK] HCH_009\HCH_009_133 | sentences=251
[OK] HCH_009\HCH_009_134 | sentences=183
[OK] HCH_009\HCH_009_135 | sentences=137
[OK] HCH_010\HCH_010_001 | sentences=236
[OK] HCH_010\HCH_010_002 | sentences=214
[OK] HCH_010\HCH_010_003 | sentences=406
[OK] HCH_010\HCH_010_004 | sentences=425
[OK] HCH_010\HCH_010_005 | sentences=67
[OK] HCH_010\HCH_010_006 | sentences=191
[OK] HCH_010\HCH_010_007 | sentences=137
[OK] HCH_010\HCH_010_008 | sentences=141
[OK] HCH_010\HCH_010_009 | sentences=129
[OK] HCH_010\HCH_010_010 | sentences=214
[OK] HCH_010\HCH_010_011 | sentences=199
[OK] HCH_010\HCH_010_012 | sentences=175
[OK] HCH_010\HCH_010_013 | sentences=294
[OK] HCH_010\HCH_010_014 | sentences=259
[OK] HCH_010\HCH_010_015 | sentences=291
[OK] HCH_010\HCH_010_016 | sentences=205
[OK] HCH_010\HCH_010_017 | sentences=165
[OK] HCH_010\HCH_010_018 | sentences=243
[OK] HCH_010\HCH_010_019 | sentences=197
[OK] HCH_010\HCH_010_020 | sentences=256
[OK] HCH_010\HCH_010_021 | sentences=156
[OK] HCH_010\HCH_010_022 | sentences=209
[OK] HCH_010\HCH_010_023 | sentences=173
[OK] HCH_010\HCH_010_024 | sentences=209
[OK] HCH_010\HCH_010_025 | sentences=208
[OK] HCH_010\HCH_010_026 | sentences=171
[OK] HCH_010\HCH_010_027 | sentences=245
[OK] HCH_010\HCH_010_028 | sentences=153
[OK] HCH_010\HCH_010_029 | sentences=178
[OK] HCH_010\HCH_010_030 | sentences=159
[OK] HCH_010\HCH_010_031 | sentences=183
[OK] HCH_010\HCH_010_032 | sentences=124
[OK] HCH_010\HCH_010_033 | sentences=239
[OK] HCH_010\HCH_010_034 | sentences=106
[OK] HCH_010\HCH_010_035 | sentences=130
[OK] HCH_010\HCH_010_036 | sentences=239
[OK] HCH_010\HCH_010_037 | sentences=429
[OK] HCH_010\HCH_010_038 | sentences=582
[OK] HCH_010\HCH_010_039 | sentences=274
[OK] HCH_010\HCH_010_040 | sentences=279
[OK] HCH_010\HCH_010_041 | sentences=345
[OK] HCH_010\HCH_010_042 | sentences=182
[OK] HCH_010\HCH_010_043 | sentences=17
[OK] HCH_010\HCH_010_044 | sentences=49
[OK] HCH_010\HCH_010_045 | sentences=210
[OK] HCH_010\HCH_010_046 | sentences=256
[OK] HCH_010\HCH_010_047 | sentences=333
[OK] HCH_010\HCH_010_048 | sentences=189
[OK] HCH_010\HCH_010_049 | sentences=143
[OK] HCH_010\HCH_010_050 | sentences=171
[OK] HCH_010\HCH_010_051 | sentences=327
[OK] HCH_010\HCH_010_052 | sentences=225
[OK] HCH_010\HCH_010_053 | sentences=408
[OK] HCH_010\HCH_010_054 | sentences=130
[OK] HCH_010\HCH_010_055 | sentences=116
[OK] HCH_010\HCH_010_056 | sentences=107
[OK] HCH_010\HCH_010_057 | sentences=62
[OK] HCH_010\HCH_010_058 | sentences=53
[OK] HCH_010\HCH_010_059 | sentences=73
[OK] HCH_010\HCH_010_060 | sentences=75
[OK] HCH_010\HCH_010_061 | sentences=114
[OK] HCH_010\HCH_010_062 | sentences=87
[OK] HCH_010\HCH_010_063 | sentences=106
[OK] HCH_010\HCH_010_064 | sentences=353
[OK] HCH_010\HCH_010_065 | sentences=151
[OK] HCH_010\HCH_010_066 | sentences=15
[OK] HCH_010\HCH_010_067 | sentences=14
[OK] HCH_010\HCH_010_068 | sentences=6
[OK] HCH_010\HCH_010_069 | sentences=15
[OK] HCH_010\HCH_010_070 | sentences=11
[OK] HCH_010\HCH_010_071 | sentences=234
[OK] HCH_010\HCH_010_072 | sentences=156
[OK] HCH_010\HCH_010_073 | sentences=144
[OK] HCH_010\HCH_010_074 | sentences=142
[OK] HCH_010\HCH_010_075 | sentences=96
[OK] HCH_010\HCH_010_076 | sentences=176
[OK] HCH_010\HCH_010_077 | sentences=184
[OK] HCH_010\HCH_010_078 | sentences=81
[OK] HCH_010\HCH_010_079 | sentences=87
[OK] HCH_010\HCH_010_080 | sentences=113
[OK] HCH_010\HCH_010_081 | sentences=88
[OK] HCH_010\HCH_010_082 | sentences=153
[OK] HCH_010\HCH_010_083 | sentences=165
[OK] HCH_010\HCH_010_084 | sentences=95
[OK] HCH_010\HCH_010_085 | sentences=132
[OK] HCH_010\HCH_010_086 | sentences=172
