HCH_010_097_000094	五年，兼乾文閣學士。
HCH_010_097_000095	七年，改南院樞密副使，賜國姓，參知政事，兼知南院樞密事。
HCH_010_097_000096	坐矯制修私第，削爵為民，卒。
HCH_010_097_000097	耶律喜孫，字盈隱，永興宮分人。
HCH_010_097_000098	興宗在青宮，嘗居左右輔導。
HCH_010_097_000099	聖宗大漸，喜孫與馮家奴告仁德皇后同宰相蕭浞卜等謀逆事。
HCH_010_097_000100	及欽哀為皇太后稱制，喜孫尤見寵任。
HCH_010_097_000101	重熙中，其子涅哥為近侍，坐事伏誅。
HCH_010_097_000102	帝以喜孫有翼戴功，且悼其子罪死，欲世其官，喜孫無所出之部，因見馬印文有品部號，使隸其部，拜南府宰相。
HCH_010_097_000103	尋出為東北路詳穩，卒。
HCH_010_097_000104	論曰：孩裏、引吉之為臣也，當乙辛擅權、蕭革貪黷之日，雖與同官，而能以正自處，不少阿唯，其過人遠矣。
HCH_010_097_000105	傳曰：「歲寒知松柏之後雕。」
HCH_010_097_000106	二子有焉。
HCH_010_097_000107	若斡特剌之戰功，竇景庸之讞獄，楊績之忠告，亦賢矣夫。
HCH_010_097_000108	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
