HCH_010_013_000097	二月癸亥，霸州民妻王氏以妖惑眾，伏誅。
HCH_010_013_000098	夏四月，幸炭山清暑。
HCH_010_013_000099	六月，大雨。
HCH_010_013_000100	秋七月己丑，桑乾、羊河溢居庸關西，害禾稼殆盡，奉聖、南京居民廬舍多墊溺者。
HCH_010_013_000101	八月，如秋山。
HCH_010_013_000102	冬十月甲申朔，駐蹕蒲瑰阪。
HCH_010_013_000103	是歲，放進士王熙載等二人及第。
HCH_010_013_000104	十二年春正月癸丑朔，漷陰鎮水，漂溺三十餘村，詔疏舊渠。
HCH_010_013_000105	甲寅，以同政事門下平章事耶律碩老為惕隱。
HCH_010_013_000106	詔復行在五十里內租。
HCH_010_013_000107	乙卯，幸延芳澱。
HCH_010_013_000108	戊午，蠲宜州賦調。
HCH_010_013_000109	庚申，郎君耶律鼻舍等謀叛，伏誅。
HCH_010_013_000110	壬戌，以南院大王耶律景為上京留守，封漆水郡王。
HCH_010_013_000111	霸州民李在宥年百三十有三，賜束帛、錦袍、銀帶，月給羊酒，仍復其家。
HCH_010_013_000112	二月甲申，免南京被水戶租賦。
HCH_010_013_000113	己丑，高麗來貢。
HCH_010_013_000114	甲午，免諸部歲輸羊及關征。
HCH_010_013_000115	庚子，回鶻來貢。
HCH_010_013_000116	三月丁巳，高麗遣使請所俘人畜，詔贖還。
HCH_010_013_000117	戊午，幸南京。
HCH_010_013_000118	丙寅，遣使撫諭高麗。
HCH_010_013_000119	己巳，涿州木連理。
HCH_010_013_000120	壬申，如長春宮觀牡丹。
HCH_010_013_000121	是月，復置南京軍都監。
HCH_010_013_000122	夏四月辛卯，幸南京。
HCH_010_013_000123	壬辰，樞密直學士劉恕為南院樞密副使。
HCH_010_013_000124	戊戌，以景宗石像成，幸延壽寺飯僧。
HCH_010_013_000125	五月甲寅，詔北皮室軍老不任事者免役。
HCH_010_013_000126	戊午，如炭山清暑。
HCH_010_013_000127	庚辰，武定軍節度使韓德沖秩滿，其民請留，從之。
HCH_010_013_000128	六月辛巳朔，詔州縣長吏有才能無過者，減一資考任之。
HCH_010_013_000129	癸未，可汗州刺史賈俊進新歷。
HCH_010_013_000130	庚子，錄囚。
HCH_010_013_000131	甲辰，詔龍、鳳兩軍老疾者代之。
HCH_010_013_000132	是月，太白、歲星相犯。
HCH_010_013_000133	秋七月辛亥朔，日有食之。
HCH_010_013_000134	甲寅，遣使視諸道禾稼。
HCH_010_013_000135	辛酉，南院樞密使室昉為中京留守，加尚父。
HCH_010_013_000136	丙寅，女直遣使來貢。
HCH_010_013_000137	戊辰，觀獲。
HCH_010_013_000138	庚午，詔契丹人犯十惡者依漢律。
HCH_010_013_000139	己卯，以翰林承旨邢抱樸參知政事。
HCH_010_013_000140	八月庚辰朔，詔皇太妃領西北路烏古等部兵及永興宮分軍，撫定西邊；以蕭撻凜督其軍事。
HCH_010_013_000141	乙酉，宋遣使求和，不許。
HCH_010_013_000142	戊子，以國舅帳克蕭徒骨為夷離畢。
HCH_010_013_000143	乙未，下詔戒諭中外官吏。
HCH_010_013_000144	丁酉，錄囚，雜犯死罪以下釋之。
HCH_010_013_000145	九月壬子，室韋、党項、吐谷渾等來貢。
HCH_010_013_000146	辛酉，宋復遣使求和，不許。
HCH_010_013_000147	壬戌，行拜奧禮。
HCH_010_013_000148	癸酉，阻卜等來貢。
HCH_010_013_000149	冬十月乙酉，獵可汗州之西山。
HCH_010_013_000150	乙巳，詔定均稅法。
HCH_010_013_000151	丁未，大理寺置少卿及正。
HCH_010_013_000152	十一月戊申朔，行再生禮。
HCH_010_013_000153	鐵驪來貢。
HCH_010_013_000154	詔諸部所俘宋人有官吏儒生抱器能者，諸道軍有勇健者，具以名聞。
HCH_010_013_000155	庚戌，詔郡邑貢明經、茂材異等。
HCH_010_013_000156	甲寅，詔南京決滯獄。
HCH_010_013_000157	己未，官宋俘衛德升等六人。
HCH_010_013_000158	十二月戊寅朔，日有食之。
HCH_010_013_000159	詔並奚王府奧理、墮隗、梅只三部為一，其二克各分為部，以足六部之數。
HCH_010_013_000160	甲申，賜南京統軍司貧戶耕牛。
HCH_010_013_000161	戊子，高麗進妓樂，卻之。
HCH_010_013_000162	庚寅，禁遊食民。
HCH_010_013_000163	癸巳，女直以宋人浮海賂本國及兀惹叛來告。
HCH_010_013_000164	丁未，幸南京。
HCH_010_013_000165	是年，放進士呂德懋等二人及第。
HCH_010_013_000166	十三年春正月壬子，幸延芳澱。
HCH_010_013_000167	甲寅，置廣靈縣。
HCH_010_013_000168	丁巳，增泰州、遂城等縣賦。
HCH_010_013_000169	庚申，詔諸道勸農。
HCH_010_013_000170	癸亥，長寧軍節度使蕭解裏秩滿，民請留，從之。
HCH_010_013_000171	庚午，如長春宮。
HCH_010_013_000172	三月丁丑朔，女直遣使來貢。
HCH_010_013_000173	甲辰，高麗遣李周楨來貢。
HCH_010_013_000174	三月癸丑，夏國遣使來貢。
HCH_010_013_000175	戊辰，武清縣百餘人入宋境剽掠，命誅之，還其所獲人畜財物。
HCH_010_013_000176	夏四月己卯，參知政事邢抱樸以母憂去官，起復。
HCH_010_013_000177	丙戌，詔諸道民戶應歷以來脅從為部曲者，仍籍州縣。
HCH_010_013_000178	甲午，如炭山清暑。
HCH_010_013_000179	五月壬子，高麗進鷹。
HCH_010_013_000180	乙亥，北、南、乙室三府請括富民馬以備軍需，不許，給以官馬。
HCH_010_013_000181	六月丙子朔，啟聖軍節度使劉繼琛秩滿，民請留，從之。
HCH_010_013_000182	丁丑，詔減前歲括田租賦。
HCH_010_013_000183	甲申，以宣徽使阿沒裏私城為豐州。
HCH_010_013_000184	丙戌，詔許昌平、懷柔等縣諸人請業荒地。
HCH_010_013_000185	秋七月乙巳朔，女直遣使來貢。
HCH_010_013_000186	丁巳，兀惹烏昭度、渤海燕頗等侵鐵驪，遣奚王和朔奴等討之。
HCH_010_013_000187	壬戌，詔蔚、朔等州龍衛、威勝軍更戍。
HCH_010_013_000188	八月丙子，夏國遣使進馬。
HCH_010_013_000189	壬辰，詔修山澤祠宇、先哲廟貌，以時祀之。
HCH_010_013_000190	九月戊午，以南京太學生員浸多，特賜水硙莊一區。
HCH_010_013_000191	丁卯，奉安景宗及皇太后石像於延芳澱。
HCH_010_013_000192	冬十月乙亥，置義倉。
HCH_010_013_000193	辛巳，回鶻來貢。
HCH_010_013_000194	甲申，高麗遣李知白來貢。
HCH_010_013_000195	戊子，兀惹歸款，詔諭之。
HCH_010_013_000196	庚子，鼻骨德來貢。
HCH_010_013_000197	十一月乙巳，阿薩蘭回鶻遣使來貢。
HCH_010_013_000198	辛酉，遣使冊王治為高麗國王。
HCH_010_013_000199	戊辰，高麗遣童子十人來學本國語。
HCH_010_013_000200	十二月己卯，鐵驪遣使來貢鷹、馬。
HCH_010_013_000201	辛巳，夏國以敗宋人遣使來告。
HCH_010_013_000202	是年，放進士王用極等二人。
HCH_010_013_000203	十四年春正月己酉，漁於潞河。
HCH_010_013_000204	丁巳，蠲三京及諸州稅賦。
HCH_010_013_000205	丙寅，夏國遣使來貢。
HCH_010_013_000206	庚午，以宣徽使阿沒裏家奴閻貴為豐州刺史。
HCH_010_013_000207	二月庚寅，回鶻遣使來貢。
HCH_010_013_000208	三月壬寅，高麗王治表乞為婚，許以東京留守、駙馬蕭恒德女嫁之。
HCH_010_013_000209	庚戌，高麗復遣童子十人來學本國語。
HCH_010_013_000210	甲寅，韓德威奏討党項捷。
HCH_010_013_000211	甲子，詔安集朔州流民。
HCH_010_013_000212	夏四月甲戌，東邊諸糺各置都監。
HCH_010_013_000213	庚寅，如炭山清暑。
HCH_010_013_000214	己亥，鑿大安山，取劉守光所藏錢。
HCH_010_013_000215	是月，奚王和朔奴、東京留守蕭恒德等五人以討兀惹不克，削官。
HCH_010_013_000216	改諸部令穩為節度使。
HCH_010_013_000217	五月癸卯，詔參知政事邢抱樸決南京滯獄。
HCH_010_013_000218	庚戌，朔州威勝軍一百七人叛入宋。
HCH_010_013_000219	六月辛未，如炭山清暑。
HCH_010_013_000220	鐵驪來貢。
HCH_010_013_000221	乙酉，回鶻來貢。
HCH_010_013_000222	己丑，高麗遣使來問起居。
HCH_010_013_000223	後至無時。
HCH_010_013_000224	秋七月戊午，回鶻等來貢。
HCH_010_013_000225	閏月丁丑，五院部進穴地所得金馬。
HCH_010_013_000226	冬十月丙辰，命劉遂教南京神武軍士劍法，賜袍帶錦幣。
HCH_010_013_000227	戊午，烏昭度乞內附。
HCH_010_013_000228	十一月甲戌，詔諸軍官毋非時畋獵妨農。
HCH_010_013_000229	乙酉，奉安景宗及太后石像於乾州。
HCH_010_013_000230	是月，回鶻阿薩蘭遣使為子求婚，不許。
HCH_010_013_000231	十二月甲寅，以南京道新定稅法太重，減之。
HCH_010_013_000232	甲子，撻凜誘叛酋阿魯敦等六十人斬之，封蘭陵郡王。
HCH_010_013_000233	幸南京。
HCH_010_013_000234	是年，放進士張儉等三人。
HCH_010_013_000235	十五年春正月庚午，幸延芳澱。
HCH_010_013_000236	丙子，以河西党項叛，詔韓德威討之。
HCH_010_013_000237	庚辰，詔諸道勸民種樹。
HCH_010_013_000238	癸未，兀惹長武周來降。
