HCH_012_043_000124	領縣一：資陽州東。
HCH_012_043_000125	洪武六年十二月置，屬府。
HCH_012_043_000126	十年五月省入簡縣。
HCH_012_043_000127	成化元年七月復置，仍屬府。
HCH_012_043_000128	正德中，改屬州。
HCH_012_043_000129	西有資溪，流入雁水。
HCH_012_043_000130	東有資陽鎮巡檢司，後移治濛溪河。
HCH_012_043_000131	崇慶州元治晉原縣。
HCH_012_043_000132	洪武中省縣入州。
HCH_012_043_000133	西有鶴鳴山。
HCH_012_043_000134	西北有鄩江，東流入新津界。
HCH_012_043_000135	又北有味江，東北有白馬江，皆岷江南出之別名也。
HCH_012_043_000136	西北有永康縣。
HCH_012_043_000137	東南有江源縣，明玉珍復置，洪武初省。
HCH_012_043_000138	西有清溪口巡檢司。
HCH_012_043_000139	東北距府百十里。
HCH_012_043_000140	領縣一：新津州東。
HCH_012_043_000141	南有天社山。
HCH_012_043_000142	南枕大江，一名皁江。
HCH_012_043_000143	東有北江，亦曰新穿水，自府城南流經此合大江。
HCH_012_043_000144	漢州明玉珍復置雒縣，爲州治。
HCH_012_043_000145	洪武四年省縣入州。
HCH_012_043_000146	東有雒水，有綿水。
HCH_012_043_000147	又西南有湔水，流入雒。
HCH_012_043_000148	又北有雁水，亦流入雒，故雒水亦兼雁水之名。
HCH_012_043_000149	又東北有石亭水，流合綿水。
HCH_012_043_000150	東南有三水關巡檢司。
HCH_012_043_000151	西南距府百十里。
HCH_012_043_000152	領縣三：什邡州西。
HCH_012_043_000153	洪武十年五月省入綿竹縣。
HCH_012_043_000154	十三年十一月復置。
HCH_012_043_000155	西北有章山，雒水出此，亦名雒通山。
HCH_012_043_000156	南有高鏡關，雒水經其南。
HCH_012_043_000157	又西有大逢山。
HCH_012_043_000158	綿竹州西北。
HCH_012_043_000159	西北有紫巖山，綿水出焉。
HCH_012_043_000160	又有紫溪河，一名射水河。
HCH_012_043_000161	又北有睢水關。
HCH_012_043_000162	德陽州東北。
HCH_012_043_000163	洪武十年五月省入漢州。
HCH_012_043_000164	十三年十一月復置。
HCH_012_043_000165	北有鹿頭山，上有鹿頭關。
HCH_012_043_000166	東有綿水。
HCH_012_043_000167	西南有石亭水。
HCH_012_043_000168	南有白馬關巡檢司。
HCH_012_043_000169	綿州元屬潼川府。
HCH_012_043_000170	洪武三年來屬。
HCH_012_043_000171	十年五月降爲縣。
HCH_012_043_000172	十三年十一月復爲州。
HCH_012_043_000173	東有富樂山。
HCH_012_043_000174	西有涪水，源出松潘衛，泫經此，亦曰綿江，下流至合州，合於嘉陵江。
HCH_012_043_000175	又西北有安昌水，一名龍安水，東南流合涪水。
HCH_012_043_000176	又東有潺水，亦合於涪水。
HCH_012_043_000177	東有魏城巡檢司。
HCH_012_043_000178	西南距府三百六十里。
HCH_012_043_000179	領縣二：羅江州南。
HCH_012_043_000180	洪武六年十二月省入綿州。
HCH_012_043_000181	十三年十一月復置。
HCH_012_043_000182	東北有羅江，涪水與安昌水會流處也。
HCH_012_043_000183	又西有黑水，自安縣流入界。
HCH_012_043_000184	又西南有白馬關巡檢司，關與德陽縣鹿頭關相對。
HCH_012_043_000185	彰明州北。
HCH_012_043_000186	洪武十年五月省入綿縣。
HCH_012_043_000187	十三年十一月復置。
HCH_012_043_000188	東北有太華山。
HCH_012_043_000189	西有涪江，北有廉水，西有讓水，俱流入焉。
HCH_012_043_000190	茂州元治汶山縣，屬陝西行省吐番宣慰司。
HCH_012_043_000191	洪武中省縣入州。
HCH_012_043_000192	十六年復置縣，後復省。
HCH_012_043_000193	南有岷山，即隴山之南首也。
HCH_012_043_000194	汶江自松潘衛流入，經山下，又東經州城西，東南流，迴環於四川、湖廣、江西三布政司及南直隸之地，入於海，幾七千餘里。
HCH_012_043_000195	南有雞宗關、東有積水關、北有魏磨關三巡檢司。
HCH_012_043_000196	又南有七星關，又有雁門關。
HCH_012_043_000197	東有桃坪關。
HCH_012_043_000198	北有實大關。
HCH_012_043_000199	西北有黃崖關，有汶山長官司，又南有靜川長官司，東南有隴木頭長官司，西南有嶽希蓬長官司，俱洪武七年五月置，屬重慶衛。
HCH_012_043_000200	又北有長寧堡，本長寧安撫司，宣德中，平歷日諸蠻置，屬松潘衛。
HCH_012_043_000201	正統元年二月改屬壘溪所。
HCH_012_043_000202	八年六月改屬茂州衛。
HCH_012_043_000203	後廢爲堡。
HCH_012_043_000204	東南距府五百五十里。
HCH_012_043_000205	領縣一：汶川州西南。
HCH_012_043_000206	北有七盤山。
HCH_012_043_000207	西有玉輪江，即汶江也，有汶川長官司，洪武七年五月置。
HCH_012_043_000208	西有寒水關巡檢司。
HCH_012_043_000209	又南有徹底關。
HCH_012_043_000210	威州元以州治保寧縣省入。
HCH_012_043_000211	明玉珍復置縣。
HCH_012_043_000212	洪武二十年五月復省縣入州。
HCH_012_043_000213	舊治在西北鳳坪裏，宣德三年六月遷於保子岡河西。
HCH_012_043_000214	十年六月又遷於保子岡河東千戶所城內。
HCH_012_043_000215	東南有定廉山，鹽溪出焉。
HCH_012_043_000216	又西南有雪山，亦曰西山。
HCH_012_043_000217	北有汶江，西北有赤水，北有平谷水，俱流入焉。
HCH_012_043_000218	東有通化縣，洪武三年省。
HCH_012_043_000219	西北有保子關、徹底關。
HCH_012_043_000220	西南有鎮夷關。
HCH_012_043_000221	東南距府四百五十里。
HCH_012_043_000222	領縣一：保州西北。
HCH_012_043_000223	洪武六年分保寧縣地置。
HCH_012_043_000224	東有汶江。
HCH_012_043_000225	西北有鎮安關。
HCH_012_043_000226	保寧府元屬廣元路。
HCH_012_043_000227	洪武四年直隸行省。
HCH_012_043_000228	領州二，縣八。
HCH_012_043_000229	西南距布政司七百里。
HCH_012_043_000230	閬中倚。
HCH_012_043_000231	成化二十三年建雍王府。
HCH_012_043_000232	弘治三年遷於湖廣衡州府。
HCH_012_043_000233	四年八月建壽王府。
HCH_012_043_000234	正德元年遷於湖廣德安府。
HCH_012_043_000235	舊治在縣東，明玉珍徙於此。
HCH_012_043_000236	東有蟠龍山，其北有鋸山關。
HCH_012_043_000237	又有靈山，其麓爲梁山關。
HCH_012_043_000238	南有嘉陵江，即西漢水，自陝西寧羌州流入，至巴縣合大江，亦曰閬水，又曰巴水，其下流曰渝水。
HCH_012_043_000239	有南津關在城南，臨嘉陵江。
HCH_012_043_000240	又有滴水關，在城北玉臺山下。
HCH_012_043_000241	又東南有和溪關。
HCH_012_043_000242	蒼溪府西北。
HCH_012_043_000243	洪武十年五月省入閬中縣。
HCH_012_043_000244	十三年十一月復置。
HCH_012_043_000245	大獲山在東，宋江環其下。
HCH_012_043_000246	東南有云台山。
HCH_012_043_000247	西南有嘉陵江，宋江自西流入焉。
HCH_012_043_000248	北有八字堡巡檢司。
HCH_012_043_000249	南部府南少東。
HCH_012_043_000250	洪武十年五月省入閬中縣。
HCH_012_043_000251	十三年十一月復置。
HCH_012_043_000252	南有南山，一名跨鰲山。
HCH_012_043_000253	東南有離堆山。
HCH_012_043_000254	東北有嘉陵江。
HCH_012_043_000255	廣元府北少西。
HCH_012_043_000256	元廣元路，治綿谷縣。
HCH_012_043_000257	洪武四年改爲府。
HCH_012_043_000258	九年四月降爲州，來屬，以綿谷縣省入。
HCH_012_043_000259	十三年十一月復置綿谷縣。
HCH_012_043_000260	二十二年六月降州爲縣，復省綿谷縣入焉。
HCH_012_043_000261	北有潭毒山，上有潭毒關，下臨大江。
HCH_012_043_000262	又有朝天嶺，上有朝天關。
HCH_012_043_000263	又有七盤嶺，上有七盤關，爲陝西、四川分界處。
HCH_012_043_000264	又東北有大漫天嶺，其北有小漫天嶺。
HCH_012_043_000265	西有嘉陵江。
HCH_012_043_000266	北有渡口，在大、小二漫間。
HCH_012_043_000267	東有百丈關，北有望雲關，有龍門閣，北達陝西寧羌州。
HCH_012_043_000268	昭化府西北。
HCH_012_043_000269	元屬廣元路。
HCH_012_043_000270	洪武十年五月省入廣元州。
HCH_012_043_000271	十三年十一月復置，屬府。
HCH_012_043_000272	西南有長寧山，有白衛嶺。
HCH_012_043_000273	又西有九曲山。
HCH_012_043_000274	東有嘉陵江，其津口曰桔柏津，渡口關在焉。
HCH_012_043_000275	北有白水，自陝西文縣流入，亦曰葭萌水，合於嘉陵江。
HCH_012_043_000276	又北有馬鳴閣，又有石櫃閣。
HCH_012_043_000277	劍州元屬廣元路。
HCH_012_043_000278	洪武六年以州治普安縣省入，來屬。
HCH_012_043_000279	九年省。
HCH_012_043_000280	十三年十一月復置。
HCH_012_043_000281	北有大劍山，亦曰梁山，西北接小劍山，飛閣通衢，謂之劍閣，有大、小劍門關在其上。
HCH_012_043_000282	又有漢陽山。
HCH_012_043_000283	東有嘉陵江。
HCH_012_043_000284	西南有涪江。
HCH_012_043_000285	北有大劍溪、小劍溪，又有泥溪。
HCH_012_043_000286	東南距府三百二十里。
HCH_012_043_000287	領縣一：梓潼州西南。
HCH_012_043_000288	西有梓潼水，亦日潼江水，下流入於涪江。
HCH_012_043_000289	又北有揚帆水，流合潼江水。
HCH_012_043_000290	又東有小潼水，下流入嘉陵江。
HCH_012_043_000291	巴州元屬廣元路。
HCH_012_043_000292	洪武九年四月以州治化城縣省入，又改州爲縣，來屬。
HCH_012_043_000293	正德九年復爲州。
HCH_012_043_000294	東北有小巴山，與漢中大巴山接，巴江水出焉，經州東南，分爲三，下流至合州入嘉陵江。
HCH_012_043_000295	南有清水江，流合巴江。
HCH_012_043_000296	東有曾口縣，元屬州，後廢。
