HCH_012_021_000093	夏四月辛丑，振順天、永平饑。
HCH_012_021_000094	五月乙亥，法司請熱審，不報。
HCH_012_021_000095	秋七月辛巳，邊餉缺，命嚴催積逋。
HCH_012_021_000096	是月，緬賊陷蠻莫宣撫司，宣撫思正奔騰越，賊追至，有司殺正以謝賊，始解。
HCH_012_021_000097	冬十月戊戌，振江北災。
HCH_012_021_000098	丙辰，停刑。
HCH_012_021_000099	是年，琉球、哈密入貢。
HCH_012_021_000100	三十一年春三月戊午，吏部奏天下郡守闕員，不報。
HCH_012_021_000101	是月，播州餘賊吳洪等作亂，有司討平之。
HCH_012_021_000102	夏四月丁亥朔，日有食之。
HCH_012_021_000103	五月丙辰，閣臣請熱審，不報。
HCH_012_021_000104	戊寅，京師地震。
HCH_012_021_000105	鳳陽大雨雹，毀皇陵殿脊。
HCH_012_021_000106	是夏，河決蘇家莊，北浸豐、沛、魚臺、單縣。
HCH_012_021_000107	秋九月甲子，江北盜起。
HCH_012_021_000108	冬十月甲申，停刑。
HCH_012_021_000109	丙申，睢州賊楊思敬作亂，有司討擒之。
HCH_012_021_000110	十一月甲子，獲妖書，言帝欲易太子，詔五城大索。
HCH_012_021_000111	十二月丙戌，召見皇太子於啟祥宮，賜手敕慰諭。
HCH_012_021_000112	三十二年春二月壬寅，閣臣請補司道郡守及遣巡方御史，不報。
HCH_012_021_000113	三月甲子，乾清宮成。
HCH_012_021_000114	乙丑，賜楊守勤等進士及第、出身有差。
HCH_012_021_000115	夏四月辛巳朔，日有食之。
HCH_012_021_000116	是月，濬泇河工成。
HCH_012_021_000117	五月癸酉，雷火焚長陵明樓。
HCH_012_021_000118	六月丙戌，以陵災，命補闕官恤刑獄。
HCH_012_021_000119	丁酉，昌平大水，壞長、泰、康、昭四陵石梁。
HCH_012_021_000120	秋七月庚戌，京師大雨，壞城垣。
HCH_012_021_000121	辛酉，振被水居民。
HCH_012_021_000122	八月辛丑，羣臣伏文華門，疏請修舉實政，降旨切責。
HCH_012_021_000123	丙午，分水河工成。
HCH_012_021_000124	九月戊申，振畿南六府饑。
HCH_012_021_000125	閏月辛丑，武昌宗人蘊鉁等作亂，殺巡撫都御史趙可懷。
HCH_012_021_000126	冬十月甲寅，始敍平播州功。
HCH_012_021_000127	是年，琉球、烏斯藏入貢。
HCH_012_021_000128	三十三年春正月，重修京師外城。
HCH_012_021_000129	庚辰，銀定、歹成犯鎮番，總兵官達雲擊敗之。
HCH_012_021_000130	夏四月辛亥，蘊鉁等伏誅。
HCH_012_021_000131	五月丙申，鳳陽大風雨，毀陵殿神座。
HCH_012_021_000132	庚子，雷擊圜丘望燈高杆。
HCH_012_021_000133	六月乙巳，以雷警，敕修省。
HCH_012_021_000134	秋八月己巳，停刑。
HCH_012_021_000135	九月甲午，昭和殿災。
HCH_012_021_000136	丙申，京師地震。
HCH_012_021_000137	冬十一月辛巳，免淮陽被災田租。
HCH_012_021_000138	十二月壬寅，詔罷天下開礦。
HCH_012_021_000139	以稅務歸有司，歲輸所入之半於內府，半戶、工二部。
HCH_012_021_000140	丙午，免河南被災田租。
HCH_012_021_000141	乙卯，以皇長孫生，詔赦天下。
HCH_012_021_000142	開宗室科舉入仕例。
HCH_012_021_000143	罷採廣東珠池、雲南寶井。
HCH_012_021_000144	三十四年春二月庚戌，加上皇太后徽號。
HCH_012_021_000145	辛亥，大學士沈鯉、朱賡請補六部大僚，不報。
HCH_012_021_000146	三月己卯，雲南人殺稅監楊榮，焚其屍。
HCH_012_021_000147	丁酉，真定、順德、廣平、大名災，蠲振有差。
HCH_012_021_000148	夏四月癸亥，濬朱旺口河工成。
HCH_012_021_000149	五月癸酉，河套部犯延綏，官軍擊走之。
HCH_012_021_000150	六月癸卯，緬甸陷木邦。
HCH_012_021_000151	是月，畿內大蝗。
HCH_012_021_000152	秋七月癸未，沈一貫、沈鯉致仕。
HCH_012_021_000153	九月甲午，詔陝西嚴敕邊備。
HCH_012_021_000154	冬十月丙申，停刑。
HCH_012_021_000155	十一月己巳，朵顏入犯，總兵官姜顯謨禦卻之。
HCH_012_021_000156	十二月壬子，南京妖賊劉天緒謀反，事覺伏誅。
HCH_012_021_000157	是年，安南、琉球入貢。
HCH_012_021_000158	蒙古喀爾喀諸部悉歸我大清。
HCH_012_021_000159	三十五年春正月辛未，給事中翁憲祥言，撫、按官解任宜候命，不宜聽其自去，不報。
HCH_012_021_000160	二月戊戌，安南賊武德成犯雲南，總兵官沐叡禦卻之。
HCH_012_021_000161	三月辛巳，賜黃士俊等進士及第、出身有差。
HCH_012_021_000162	夏四月戊戌，銀定、歹成犯涼州，副總兵柴國柱擊走之。
HCH_012_021_000163	壬子，順義王撦力克卒。
HCH_012_021_000164	五月戊子，前禮部尚書于慎行及禮部侍郎李廷機、南京吏部侍郎葉向高並禮部尚書兼東閣大學士，預機務。
HCH_012_021_000165	六月，湖廣及徽、寧、太平、嚴州大水。
HCH_012_021_000166	閏月辛巳，復河套諸部貢市。
HCH_012_021_000167	秋七月庚子，京師久雨。
HCH_012_021_000168	刑部請發熱審疏，不報。
HCH_012_021_000169	八月丙寅，振畿內饑。
HCH_012_021_000170	九月甲午，停刑。
HCH_012_021_000171	冬十月癸酉，山東旱饑，蠲振有差。
HCH_012_021_000172	十一月壬子，于慎行卒。
HCH_012_021_000173	十二月，金沙江蠻阿克叛，陷武定，攻圍雲南，別陷嵩明、祿豐。
HCH_012_021_000174	安南賊犯欽州。
HCH_012_021_000175	是年，琉球入貢。
HCH_012_021_000176	三十六年春正月，河南、江北饑。
HCH_012_021_000177	二月戊辰，京師地震。
HCH_012_021_000178	夏六月己卯，南畿大水。
HCH_012_021_000179	秋七月丁酉，京師地震。
HCH_012_021_000180	郴州礦賊起。
HCH_012_021_000181	八月癸亥，治雲南失事諸臣罪，巡撫都御史陳用賓、總兵官沐叡下獄，論死。
HCH_012_021_000182	庚辰，振南畿及嘉興、湖州饑。
HCH_012_021_000183	九月甲午，四川巡撫都御史喬璧星奏擒阿克於東川，賊平。
HCH_012_021_000184	冬十一月壬子，朱賡卒。
HCH_012_021_000185	十二月戊午，再振南畿，免稅糧。
HCH_012_021_000186	是年，琉球入貢。
HCH_012_021_000187	三十七年春三月辛卯，拱兔陷大勝堡，遊擊于守志戰於小凌河，敗績。
HCH_012_021_000188	己酉，大學士葉向高請發羣臣相攻諸疏，公論是非，以肅人心，不報。
HCH_012_021_000189	夏四月，倭寇溫州。
HCH_012_021_000190	秋九月癸卯，左都御史詹沂封印自去。
HCH_012_021_000191	丁未，停刑。
HCH_012_021_000192	是秋，福建、浙江、江西大水。
HCH_012_021_000193	湖廣、四川、河南、陝西、山西旱。
HCH_012_021_000194	畿內、山東、徐州蝗。
HCH_012_021_000195	冬十二月己巳，留畿內、山東諸省稅銀三分之一振饑民。
HCH_012_021_000196	徐州賊殺如皐知縣張藩。
HCH_012_021_000197	是年，日本入琉球，執其國王尚寧。
HCH_012_021_000198	哈密入貢。
HCH_012_021_000199	三十八年春三月癸巳，賜韓敬等進士及第、出身有差。
HCH_012_021_000200	夏四月丁丑，正陽門樓災。
HCH_012_021_000201	辛卯，以旱災異常，諭羣臣各修職業，勿彼此攻訐。
HCH_012_021_000202	辛丑，振畿內、山東、山西、河南、陝西、福建、四川饑。
HCH_012_021_000203	五月，河南賊陳自管等作亂，有司討擒之。
HCH_012_021_000204	冬十月辛丑，停刑。
HCH_012_021_000205	十一月壬寅朔，日有食之。
HCH_012_021_000206	丁卯，以軍乏餉，諭廷臣陳足國長策，不得請發內帑。
HCH_012_021_000207	是年，烏斯藏入貢。
HCH_012_021_000208	三十九年春二月庚子，河套部敵犯甘州之紅崖、青湖，官軍禦卻之。
HCH_012_021_000209	夏四月，京師旱。
HCH_012_021_000210	戊子，怡神殿災。
HCH_012_021_000211	丙申，設邊鎮常平倉。
HCH_012_021_000212	五月壬寅，御史徐兆魁疏劾東林講學諸人陰持計典，自是諸臣益相攻擊。
HCH_012_021_000213	廣西、廣東大水。
HCH_012_021_000214	六月，自徐州北至京師大水。
HCH_012_021_000215	是夏，停熱審。
HCH_012_021_000216	冬十月丁卯，戶部尚書趙世卿拜疏自去。
HCH_012_021_000217	甲申，停刑。
HCH_012_021_000218	閣臣請釋輕犯，不報。
HCH_012_021_000219	是年，暹羅入貢。
HCH_012_021_000220	四十年春二月癸未，吏部尚書孫丕揚拜疏自去。
HCH_012_021_000221	三月丙午，振京師流民。
HCH_012_021_000222	夏四月丙寅，南京各道御史言：「臺省空虛，諸務廢墮，上深居二十餘年，未嘗一接見大臣，天下將有陸沈之憂。」
HCH_012_021_000223	不報。
HCH_012_021_000224	五月甲午朔，日有食之。
HCH_012_021_000225	秋八月，河決徐州。
HCH_012_021_000226	九月庚戌，李廷機拜疏自去。
HCH_012_021_000227	冬十月甲申，停刑。
HCH_012_021_000228	是年，琉球中山王尚寧遣使報歸國。
HCH_012_021_000229	四十一年春正月庚申，諭朝鮮練兵防倭。
HCH_012_021_000230	三月癸酉，賜周延儒等進士及第、出身有差。
HCH_012_021_000231	夏五月己巳，諭吏部都察院：「年來議論混淆，朝廷優容不問，遂益妄言排陷，致大臣疑畏，皆欲求去，甚傷國體。自今仍有結黨亂政者，罪不宥。」
HCH_012_021_000232	六月乙未，卜失兔襲封順義王。
HCH_012_021_000233	秋七月甲子，兵部尚書掌都察院事孫瑋拜疏自去。
HCH_012_021_000234	九月壬申，吏部左侍郎方從哲、前吏部左侍郎吳道南並禮部尚書兼東閣大學士，預機務。
HCH_012_021_000235	庚辰，吏部尚書趙煥拜疏自去。
HCH_012_021_000236	是年，兩畿、山東、江西、河南、廣西、湖廣、遼東大水。
HCH_012_021_000237	烏斯藏入貢。
HCH_012_021_000238	四十二年春正月乙丑，總兵官劉綎討建昌叛蠻，平之。
HCH_012_021_000239	二月辛卯，慈聖皇太后崩。
HCH_012_021_000240	己酉，振畿內饑。
HCH_012_021_000241	三月丙子，福王之國。
HCH_012_021_000242	夏四月丙戌，以皇太后遺命赦天下。
HCH_012_021_000243	六月甲午，葬孝定皇后。
HCH_012_021_000244	秋八月甲午，禮部右侍郎孫慎行拜疏自去。
HCH_012_021_000245	癸卯，葉向高致仕。
HCH_012_021_000246	是年，安南、土魯番入貢。
HCH_012_021_000247	四十三年春正月乙丑，徐州決河工成。
HCH_012_021_000248	三月丁未朔，日有食之。
HCH_012_021_000249	夏五月己酉，薊州男子張差持梃入慈慶宮，擊傷守門內侍，下獄。
HCH_012_021_000250	丁巳，刑部提牢主事王之寀揭言張差獄情，梃擊之案自是起。
HCH_012_021_000251	己巳，嚴皇城門禁。
HCH_012_021_000252	癸酉，召見廷臣於慈寧宮。
HCH_012_021_000253	御史劉光復下獄。
HCH_012_021_000254	甲戌，張差伏誅。
HCH_012_021_000255	六月戊寅，久旱，敕修省。
HCH_012_021_000256	秋七月己酉，振畿內饑。
HCH_012_021_000257	甲戌，停刑。
HCH_012_021_000258	閏八月庚戌，重建三殿。
HCH_012_021_000259	丁巳，山東大旱，詔留稅銀振之。
HCH_012_021_000260	丁卯，河套諸部犯延綏，官軍禦之，敗績，副將孫弘謨被執。
HCH_012_021_000261	冬十月辛酉，京師地震。
HCH_012_021_000262	十一月戊寅，振京師饑民。
HCH_012_021_000263	四十四年春三月辛未朔，日有食之。
HCH_012_021_000264	乙酉，賜錢士升等進士及第、出身有差。
HCH_012_021_000265	是春，畿內、山東、河南、淮、徐大饑，蠲振有差。
HCH_012_021_000266	夏四月戊午，河南盜起，諭有司撫剿。
HCH_012_021_000267	六月壬寅，河套諸部犯延綏，總兵官杜文煥禦卻之。
HCH_012_021_000268	丁卯，河決祥符朱家口，浸陳、𣏌、睢、柘諸州縣。
HCH_012_021_000269	秋七月乙未，河套部長吉能犯高家堡，參將王國興敗沒。
HCH_012_021_000270	是月，陝西旱，江西、廣東水，河南、淮、揚、常、鎮蝗，山東盜賊大起。
HCH_012_021_000271	冬十月丁未，停刑。
HCH_012_021_000272	十一月己巳，隆德殿災。
HCH_012_021_000273	四十五年春二月戊午，以去冬無雪，入春不雨，敕修省。
HCH_012_021_000274	三月辛未，鎮撫司缺官，獄囚久繫多死，大學士方從哲等以請，不報。
HCH_012_021_000275	乙亥，振江西饑。
HCH_012_021_000276	夏五月丙子，久旱，再諭修省。
HCH_012_021_000277	六月丙申，畿南大饑，有司請振，不報。
HCH_012_021_000278	是月，閣臣法司請熱審，不報。
HCH_012_021_000279	秋七月癸亥朔，日有食之。
HCH_012_021_000280	丁卯，吳道南以憂去。
HCH_012_021_000281	是年，兩畿、河南、山東、山西、陝西、江西、湖廣、福建、廣東災。
HCH_012_021_000282	暹羅、烏斯藏入貢。
HCH_012_021_000283	四十六年春二月乙巳，振廣東饑。
HCH_012_021_000284	夏四月甲辰，大清兵克撫順城，千總王命印死之。
HCH_012_021_000285	庚戌，總兵官張承胤帥師援撫順，敗沒。
HCH_012_021_000286	閏月庚申，楊鎬為兵部左侍郎兼右僉都御史，經略遼東。
HCH_012_021_000287	六月壬午，京師地震。
HCH_012_021_000288	是夏，有司請熱審，不報。
HCH_012_021_000289	秋七月丙午，大清兵克清河堡，守將鄒儲賢、張斾死之。
HCH_012_021_000290	八月壬申，海運餉遼東。
HCH_012_021_000291	庚辰，乃蠻等七部欵塞。
HCH_012_021_000292	辛巳，停刑。
HCH_012_021_000293	九月壬辰，遼師乏餉，有司請發各省稅銀，不報。
HCH_012_021_000294	辛亥，加天下田賦。
HCH_012_021_000295	乙卯，京師地震。
HCH_012_021_000296	冬十一月甲午，以災異敕修省。
HCH_012_021_000297	十二月丁巳，河套部長猛克什力來降。
HCH_012_021_000298	是年，土魯番、天方、撒馬兒罕、魯迷、哈密、烏斯藏入貢。
HCH_012_021_000299	四十七年春二月乙丑，經略楊鎬誓師於遼陽，總兵官李如柏、杜松、劉綎、馬林分道出塞。
HCH_012_021_000300	三月甲申，杜松遇大清兵於吉林崖，戰死。
HCH_012_021_000301	乙酉，馬林兵敗於飛芬山，兵備僉事潘宗顏戰死。
HCH_012_021_000302	庚寅，劉綎兵深入阿布達里岡，戰死。
HCH_012_021_000303	辛丑，賜莊際昌等進士及第、出身有差。
HCH_012_021_000304	夏四月癸酉，盔甲廠災。
HCH_012_021_000305	六月丁卯，大清兵克開原，馬林敗沒。
HCH_012_021_000306	癸酉，大理寺丞熊廷弼為兵部右侍郎兼右僉都御史，經略遼東。
HCH_012_021_000307	甲戌，廷臣伏文華門，請發章奏及增兵發餉，不報。
HCH_012_021_000308	秋八月乙卯，山東蝗。
HCH_012_021_000309	癸亥，逮楊鎬。
HCH_012_021_000310	九月庚辰，停刑。
HCH_012_021_000311	戊子，百官伏闕，請視朝行政，不報。
HCH_012_021_000312	冬十月丁巳，振京師饑民。
HCH_012_021_000313	十二月，再加天下田賦。
HCH_012_021_000314	辛未，鎮江、寬奠、靉陽新募援兵潰。
HCH_012_021_000315	是年，暹羅入貢。
HCH_012_021_000316	四十八年春正月庚子，朝鮮乞援。
