HCH_012_006_000092	庚寅，胡𡗨謝罪，請迎陳天平歸國。
HCH_012_006_000093	秋九月丁酉，蠲蘇、松、嘉、湖水災田租，凡三百三十八萬石。
HCH_012_006_000094	丁巳，徙山西民萬戶實北京。
HCH_012_006_000095	冬十月，盜殺駙馬都尉梅殷。
HCH_012_006_000096	丁卯，齊王榑有罪，三賜書戒之。
HCH_012_006_000097	戊子，頒祖訓於諸王。
HCH_012_006_000098	十二月戊辰，沐晟討八百，降之。
HCH_012_006_000099	庚辰，都督僉事黃中、呂毅以兵納陳天平於安南。
HCH_012_006_000100	是年，蘇門答剌、滿剌加、古里、浡泥來貢，封其長為王。
HCH_012_006_000101	日本貢馬，幷俘獲倭寇為邊患者。
HCH_012_006_000102	爪哇東、西，占城，碟里，日羅夏治，合貓里，火州回回入貢。
HCH_012_006_000103	暹羅，琉球山南、山北入貢者再，琉球中山入貢者三。
HCH_012_006_000104	四年春正月丁未，大祀天地於南郊。
HCH_012_006_000105	丙辰，初御午朝，令羣臣奏事得從容陳論。
HCH_012_006_000106	三月辛卯朔，釋奠於先師孔子。
HCH_012_006_000107	甲午，設遼東開原、廣寧馬市。
HCH_012_006_000108	乙巳，賜林環等進士及第、出身有差。
HCH_012_006_000109	丙午，胡𡗨襲殺陳天平於芹站，前大理卿薛嵓死之，黃中等引兵還。
HCH_012_006_000110	夏四月己卯，遣使購遺書。
HCH_012_006_000111	五月丁酉，振常州、廬州、安慶饑。
HCH_012_006_000112	庚戌，齊王榑有罪，削官屬護衞，留之京師。
HCH_012_006_000113	六月己未朔，日當食，陰雲不見，禮官請表賀，不許。
HCH_012_006_000114	丙寅，南陽獻瑞麥，諭禮部曰：「比郡縣屢奏祥瑞，獨此為豐年之兆。」
HCH_012_006_000115	命薦之宗廟。
HCH_012_006_000116	秋七月辛卯，朱能為征夷將軍，沐晟、張輔副之，帥師分道討安南，兵部尚書劉儁參贊軍務，行部尚書黃福、大理卿陳洽督餉。
HCH_012_006_000117	詔曰：「安南皆朕赤子，惟黎季犛父子首惡必誅，他脅從者釋之。罪人既得，立陳氏子孫賢者。毋養亂，毋玩寇，毋毀廬墓，毋害禾稼，毋攘財貨掠子女，毋殺降。有一於此，雖功不宥。」
HCH_012_006_000118	乙巳，申誹謗之禁。
HCH_012_006_000119	閏月壬戌，詔以明年五月建北京宮殿，分遣大臣採木於四川、湖廣、江西、浙江、山西。
HCH_012_006_000120	八月丁酉，詔通政司，凡上書奏民事者，雖小必以聞。
HCH_012_006_000121	癸丑，齊王榑廢為庶人。
HCH_012_006_000122	九月戊辰，振蘇、松、常、杭、嘉、湖流民復業者十二萬餘戶。
HCH_012_006_000123	冬十月戊子，成國公朱能卒於軍，張輔代領其眾。
HCH_012_006_000124	乙未，克隘留關。
HCH_012_006_000125	庚子，沐晟率師會於白鶴。
HCH_012_006_000126	十一月己巳，甘露降孝陵松柏，醴泉出神樂觀，薦之太廟，賜百官。
HCH_012_006_000127	十二月辛卯，赦天下殊死以下。
HCH_012_006_000128	張輔大破安南兵於嘉林江。
HCH_012_006_000129	丙申，拔多邦城。
HCH_012_006_000130	丁酉，克其東都。
HCH_012_006_000131	癸卯，克西都，賊遁入海。
HCH_012_006_000132	辛亥，甌寧王允𤐤邸第火，王薨。
HCH_012_006_000133	是年，暹羅，占城，于闐，浡泥，日本，琉球中山、山南，婆羅入貢。
HCH_012_006_000134	爪哇東、西，真臘入貢者再。
HCH_012_006_000135	別失八里入貢者三。
HCH_012_006_000136	琉球進閹人，還之。
HCH_012_006_000137	回回結牙曲進玉椀，卻之。
HCH_012_006_000138	五年春正月丁卯，大祀天地於南郊。
HCH_012_006_000139	己巳，張輔大敗安南兵於木丸江。
HCH_012_006_000140	二月庚寅，出翰林學士解縉為廣西參議。
HCH_012_006_000141	三月丁巳，封尚師哈立麻為大寶法王。
HCH_012_006_000142	辛巳，張輔大破安南兵於富良江。
HCH_012_006_000143	夏四月己酉，振順天、河間、保定饑。
HCH_012_006_000144	五月甲子，張輔擒黎季犛、黎蒼獻京師，安南平。
HCH_012_006_000145	河南饑，逮治匿災有司。
HCH_012_006_000146	敕都察院，凡災傷不以實聞者罪之。
HCH_012_006_000147	六月癸未，以安南平，詔天下。
HCH_012_006_000148	置交阯布政司。
HCH_012_006_000149	己丑，山陽民丁珏訐其鄉人誹謗，擢為刑科給事中。
HCH_012_006_000150	甲午，詔自永樂二年六月後犯罪去官者，悉宥之。
HCH_012_006_000151	乙未，張輔移師會韓觀討潯、柳叛蠻。
HCH_012_006_000152	癸卯，命張輔訪交阯人才，禮遣赴京師。
HCH_012_006_000153	秋七月乙卯，皇后崩。
HCH_012_006_000154	丁卯，河溢河南。
HCH_012_006_000155	八月乙酉，左都督何福鎮甘肅。
HCH_012_006_000156	庚子，錄囚，雜犯死罪減等論戍，流以下釋之。
HCH_012_006_000157	九月壬子，鄭和還。
HCH_012_006_000158	乙卯，御奉天門，受安南俘，大賚將士。
HCH_012_006_000159	冬十月，潯、柳蠻平。
HCH_012_006_000160	是年，琉球中山、山南，婆羅，日本，別失八里，阿魯，撒馬兒罕，蘇門答剌，滿剌加，小葛蘭入貢。
HCH_012_006_000161	六年春正月丁巳，岷王楩復有罪，罷其官屬。
HCH_012_006_000162	辛酉，大祀天地於南郊。
HCH_012_006_000163	二月丁未，除北京永樂五年以前逋賦，免諸色課程三年。
HCH_012_006_000164	三月癸丑，寧陽伯陳懋鎮寧夏。
HCH_012_006_000165	乙卯，除河南、山東、山西永樂五年以前逋賦。
HCH_012_006_000166	夏四月丙申，始命雲南鄉試。
HCH_012_006_000167	五月壬戌夜，京師地震。
HCH_012_006_000168	六月庚辰，詔罷北京諸司不急之務及買辦，以甦民困；流民來歸者復三年。
HCH_012_006_000169	丁亥，張輔、沐晟還。
HCH_012_006_000170	秋七月癸丑，論平交阯功，進封張輔英國公，沐晟黔國公，王友清遠侯，封都督僉事柳升安遠伯，餘爵賞有差。
HCH_012_006_000171	八月乙酉，交阯簡定反，沐晟為征夷將軍，討之，劉儁仍參贊軍務。
HCH_012_006_000172	九月己酉，命刑部疏滯獄。
HCH_012_006_000173	癸亥，鄭和復使西洋。
HCH_012_006_000174	冬十一月丁巳，錄囚。
HCH_012_006_000175	十二月丁酉，沐晟及簡定戰於生厥江，敗績，劉儁及都督僉事呂毅、參政劉昱死之。
HCH_012_006_000176	是月，柳升、陳瑄、李彬等率舟師分道沿海捕倭。
HCH_012_006_000177	是年，鬼力赤為其下所弒，立本雅失里為可汗。
HCH_012_006_000178	浡泥國王來朝。
HCH_012_006_000179	瓦剌，占城，于闐，暹羅，撒馬兒罕，榜葛剌，馮嘉施蘭，日本，爪哇，琉球中山、山南入貢。
HCH_012_006_000180	七年春正月癸丑，賜百官上元節假十日，著為令。
HCH_012_006_000181	乙卯，大祀天地於南郊。
HCH_012_006_000182	二月乙亥，遣使於巡狩所經郡縣存問高年，八十以上賜酒肉，九十加帛。
HCH_012_006_000183	丙子，徵致仕知府劉彥才等九十二人分署府州縣。
HCH_012_006_000184	辛巳，以北巡告天地宗廟社稷。
HCH_012_006_000185	壬午，發京師，皇太子監國。
HCH_012_006_000186	張輔、王友率師討簡定。
HCH_012_006_000187	戊子，謁鳳陽皇陵。
HCH_012_006_000188	三月甲辰，次東平州，望祭泰山。
HCH_012_006_000189	辛亥，次景州，望祭恒山。
HCH_012_006_000190	乙卯，平安自殺。
HCH_012_006_000191	壬戌，至北京。
HCH_012_006_000192	癸亥，大賚官吏軍民。
HCH_012_006_000193	丙寅，詔起兵時將士及北京効力人民雜犯死罪咸宥之，充軍者官復職，軍民還籍伍。
HCH_012_006_000194	壬申，柳升敗倭於青州海中，敕還師。
HCH_012_006_000195	夏四月癸酉朔，皇太子攝享太廟。
HCH_012_006_000196	壬午，海寇犯欽州，副總兵李珪遣將擊敗之。
HCH_012_006_000197	閏月戊申，命皇太子所決庶務，六科月一類奏。
HCH_012_006_000198	丙辰，諭行在法司，重罪必五覆奏。
HCH_012_006_000199	五月己卯，營山陵於昌平，封其山曰天壽。
HCH_012_006_000200	乙未，封瓦剌馬哈木為順寧王，太平為賢義王，把禿孛羅為安樂王。
HCH_012_006_000201	六月壬寅，察北巡郡縣長吏，擢汶上知縣史誠祖治行第一，下易州同知張騰於獄。
HCH_012_006_000202	辛亥，給事中郭驥使本雅失里，為所殺。
HCH_012_006_000203	丁卯，斥御史洪秉等四人，詔自今御史勿用吏員。
HCH_012_006_000204	秋七月癸酉，淇國公丘福為征虜大將軍，武成侯王聰、同安侯火真副之，靖安侯王忠、安平侯李遠為左、右參將，討本雅失里。
HCH_012_006_000205	八月甲寅，丘福敗績於臚朐河，福及聰、真、忠、遠皆戰死。
HCH_012_006_000206	庚申，張輔敗賊於鹹子關。
HCH_012_006_000207	九月庚午朔，日有食之。
HCH_012_006_000208	張輔敗賊於太平海口。
HCH_012_006_000209	甲戌，贈北征死事李遠莒國公、王聰漳國公，遂決意親征。
HCH_012_006_000210	丙子，武安侯鄭亨率師巡邊。
HCH_012_006_000211	壬午，成安侯郭亮備禦開平。
HCH_012_006_000212	冬十月丁未，削丘福封爵，徙其家於海南。
HCH_012_006_000213	十一月戊寅，張輔獲簡定於美良，送京師，誅之。
HCH_012_006_000214	十二月庚戌，賜濟寧至良鄉民頻年遞運者田租一年。
HCH_012_006_000215	乙丑，召張輔還。
HCH_012_006_000216	是年，滿剌加，哈烈，撒馬兒罕，火州，古里，占城，蘇門答剌，琉球中山、山南入貢。
HCH_012_006_000217	暹羅、榜葛剌入貢者再。
HCH_012_006_000218	八年春正月辛未，召寧陽侯陳懋隨征漠北。
HCH_012_006_000219	己卯，皇太子攝祀天地於南郊。
HCH_012_006_000220	癸巳，免去年揚州、淮安、鳳陽、陳州水災田租，贖軍民所鬻子女。
HCH_012_006_000221	二月辛丑，以北征詔天下，命戶部尚書夏原吉輔皇長孫瞻基留守北京。
HCH_012_006_000222	乙巳，皇太子錄囚，奏貰雜犯死罪以下，從之。
HCH_012_006_000223	丁未，發北京。
HCH_012_006_000224	癸亥，遣祭所過名山大川。
HCH_012_006_000225	乙丑，大閱。
