HCH_009_040_000106	惟皇受祉，監斯德容。
HCH_009_040_000107	皇帝飲福，登歌夾鐘宮《福甯之曲》：犧牲充潔，粢盛馨香。
HCH_009_040_000108	來格來享，精神用彰。
HCH_009_040_000109	飲此純禧，簡簡穰穰。
HCH_009_040_000110	文明天子，萬壽無疆。
HCH_009_040_000111	徹豆，登歌夾鐘宮《豐甯之曲》：孝祀肅睦，明德以薦。
HCH_009_040_000112	樂奏九成，禮終三獻。
HCH_009_040_000113	百辟卿士，進徹以時。
HCH_009_040_000114	小大稽首，神保聿歸。
HCH_009_040_000115	送神，宮縣黃鐘宮《來甯之曲》：潔茲牛羊，清茲酒醴。
HCH_009_040_000116	三獻攸終，神既燕喜。
HCH_009_040_000117	神之去兮，載錫繁祉。
HCH_009_040_000118	萬壽無疆，永保禋祀。
HCH_009_040_000119	郊祀前，朝享太廟樂歌。
HCH_009_040_000120	皇帝入門，宮縣無射宮《昌甯之曲》：郊將升禋，廟當告虔。
HCH_009_040_000121	錫鑾戾止，孝實奉先。
HCH_009_040_000122	祀事斯舉，有序無愆。
HCH_009_040_000123	祗見祖考，神意歡然。
HCH_009_040_000124	皇帝升殿，登歌夾鐘宮《昌甯之曲》：皇皇天子，升自阼階。
HCH_009_040_000125	奠見祖禰，肅然有懷。
HCH_009_040_000126	百禮已洽，八音克諧。
HCH_009_040_000127	既昌且甯，萬福遝來。
HCH_009_040_000128	迎神，宮縣《來甯之曲》：以實應天，報本反始。
HCH_009_040_000129	潔粢豐盛，禮先肆祀。
HCH_009_040_000130	風馬雲車，神之吊矣。
HCH_009_040_000131	來止來宜，而燕翼子。
HCH_009_040_000132	皇帝盥洗，宮縣無射宮《昌甯之曲》：有水於罍，有巾於篚。
HCH_009_040_000133	帨手拭爵，圭袞有煒。
HCH_009_040_000134	玄酒大羹，德磬維菲。
HCH_009_040_000135	萬年昌寧，皇皇負扆。
HCH_009_040_000136	皇帝升階，宮縣無射宮《昌甯之曲》：巍巍京師，有嚴神宮。
HCH_009_040_000137	聖主戾止，多士雲從。
HCH_009_040_000138	來享來獻，肅肅其容。
HCH_009_040_000139	將昭大報，庸示推崇。
HCH_009_040_000140	司徒奉俎，宮縣無射宮《豐甯之曲》：陳其犧牲，惟純與精。
HCH_009_040_000141	苾芬孝祀，於昭克誠。
HCH_009_040_000142	不疾瘯蠡，或剝或亨。
HCH_009_040_000143	洋洋在上，以交神明。
HCH_009_040_000144	始祖酌獻，宮縣《大元之曲》：猗歟初基，兆我王跡。
HCH_009_040_000145	其命維新，貽謀丕赫。
HCH_009_040_000146	綿綿瓜瓞，國步日辟。
HCH_009_040_000147	堂構之成，焜煌今昔。
HCH_009_040_000148	獻祖，《大昭之曲》：以聖繼興，成王之孚。
HCH_009_040_000149	民從其化，咸奠攸居。
HCH_009_040_000150	清廟觀德，猗歟偉歟。
HCH_009_040_000151	金石備樂，以奉神娛。
HCH_009_040_000152	昭祖，《大成之曲》：東夷不庭，皇祖震怒。
HCH_009_040_000153	神武削平，貽厥聖緒。
HCH_009_040_000154	猶室有基，垣墉乃樹。
HCH_009_040_000155	億萬斯年，天保孔固。
HCH_009_040_000156	景祖，《大昌之曲》：于皇藝祖，其智如神。
HCH_009_040_000157	修法施令，百度惟新。
HCH_009_040_000158	疆宇日廣，海隅鹹賓。
HCH_009_040_000159	功高德厚，耀耀震震。
HCH_009_040_000160	世祖，《大武之曲》：于皇先王，昭假於天。
HCH_009_040_000161	長駕遠馭，麾斥無前。
HCH_009_040_000162	王業猶生，孫謀有傳。
HCH_009_040_000163	圓壇展禮，敢先告虔。
HCH_009_040_000164	肅宗，《大明之曲》：猗歟前人，簡惠昭融。
HCH_009_040_000165	相我世祖，成茲伐功。
HCH_009_040_000166	敷佑來葉，帝圖其隆。
HCH_009_040_000167	將修熙事，先款神宮。
HCH_009_040_000168	穆宗，《大章之曲》：仁慈忠信，惟祖之休。
HCH_009_040_000169	功光岐下，跡掩商丘。
HCH_009_040_000170	言瞻清廟，懷想前修。
HCH_009_040_000171	神其來格，歆茲庶羞。
HCH_009_040_000172	康宗，《大康之曲》：猗歟前王，惠我無疆。
HCH_009_040_000173	儀刑典法，日靖四方。
HCH_009_040_000174	永言孝思，於乎不忘。
HCH_009_040_000175	昭告大祀，祗率舊章。
