HCH_012_148_000096	士奇獨曰：「陛下雖澤被天下，然流徙尚未歸，瘡痍尚未復，民尚艱食。更休息數年，庶幾太平可期。」
HCH_012_148_000097	帝曰：「然。」
HCH_012_148_000098	因顧蹇義等曰：「朕待御等以至誠，望匡弼。惟士奇曾五上章，卿等皆無一言。豈果朝無闕政，天下太平耶？」
HCH_012_148_000099	諸臣慚謝。
HCH_012_148_000100	是年四月，帝賜士奇璽書曰：「往者朕膺監國之命，卿侍左右，同心合德，徇國忘身，屢歷艱虞，曾不易志。及朕嗣位以來，嘉謨入告，期予於治，正固不二，簡在朕心。茲創製『楊貞一印』賜卿，尚克交修，以成明良之譽。」
HCH_012_148_000101	尋修《太宗實錄》，與黃淮、金幼孜、楊溥俱充總裁官。
HCH_012_148_000102	未幾，帝不豫，召士奇與蹇義、黃淮、楊榮至思善門，命士奇書敕召太子於南京。
HCH_012_148_000103	宣宗即位，修《仁宗實錄》，仍充總裁。
HCH_012_148_000104	宣德元年，漢王高煦反。
HCH_012_148_000105	帝親征，平之。
HCH_012_148_000106	師還，次獻縣之單家橋，侍郎陳山迎謁，言漢、趙二王實同心，請乘勢襲彰德執趙王。
HCH_012_148_000107	榮力贊決。
HCH_012_148_000108	士奇曰：「事當有實，天地鬼神可欺乎？」
HCH_012_148_000109	榮厲聲曰：「汝欲撓大計耶！今逆黨言趙實與謀，何謂無辭？」
HCH_012_148_000110	士奇曰：「太宗皇帝三子，今上惟兩叔父。有罪者不可赦，其無罪者宜厚待之，疑則防之，使無虞而已。何遽加兵，傷皇祖在天意乎？」
HCH_012_148_000111	時惟楊溥與士奇合。
HCH_012_148_000112	將入諫，榮先入，士奇繼之，閽者不納。
HCH_012_148_000113	尋召義、原吉入。
HCH_012_148_000114	二人以士奇言白帝。
HCH_012_148_000115	帝初無罪趙意，移兵事得寢。
HCH_012_148_000116	比還京，帝思士奇言，謂曰：「今議者多言趙王事，奈何？」
HCH_012_148_000117	士奇曰：「趙最親，陛下當保全之，毋惑群言。」
HCH_012_148_000118	帝曰：「吾欲封群臣章示王，令自處何如？」
HCH_012_148_000119	士奇曰：「善，更得一璽書幸甚。」
HCH_012_148_000120	於是發使奉書至趙。
HCH_012_148_000121	趙王得書大喜。
HCH_012_148_000122	泣曰：「吾生矣。」
HCH_012_148_000123	即上表謝，且獻護衛，言者始息。
HCH_012_148_000124	帝待趙王日益親而薄陳山。
HCH_012_148_000125	謂士奇曰：「趙王所以全，卿力也。」
HCH_012_148_000126	賜金幣。
HCH_012_148_000127	時交阯數叛。
HCH_012_148_000128	屢發大軍征討，皆敗沒。
HCH_012_148_000129	交阯黎利遣人偽請立陳氏後。
HCH_012_148_000130	帝亦厭兵，欲許之。
HCH_012_148_000131	英國公張輔、尚書蹇義以下，皆言與之無名，徒示弱天下。
HCH_012_148_000132	帝召士奇、榮謀。
