HCH_013_071_000066	庶吉士鄭鄤復疏促之，曰：「經御覽而留中，則非止輦轉圜之義；不經御覽而留中，必有藏伏奧援之奸。本朝故事，惟武宗及神宗末年有之。權璫煬竈，相顧太息，無可如何矣。」
HCH_013_071_000067	忠賢深惡之。
HCH_013_071_000068	承上觀劇，摘震孟疏中傀儡登場語激怒上。
HCH_013_071_000069	時太僕寺卿滿朝薦亦言之力。
HCH_013_071_000070	俱謫歸。
HCH_013_071_000071	十二月，命劣轉科臣霍維華、孫杰優陞京堂，顧秉謙、魏廣微爲大學士，入閣辦事。
HCH_013_071_000072	三年秋八月，內官張守仁等索冬衣，譁於工部堂上，尚書鍾羽正致仕歸。
HCH_013_071_000073	詔開內操，鉦鼓之聲喧闐宮禁。
HCH_013_071_000074	或云：「皇子生，震死焉。」
HCH_013_071_000075	御史劉之鳳上言：「虎符重兵，何可倒戈授巷伯之手？假令劉瑾擁甲士三千，能束手就擒乎？」
HCH_013_071_000076	御史李應昇、黃尊素、宋師襄交章論之，尊素疏有「阿保重於趙嬈，禁旅近於唐末」等語。
HCH_013_071_000077	忠賢尤惡之，皆矯旨切責。
HCH_013_071_000078	忠賢自殺王安後，益驕橫，設內標萬人，衷甲出入。
HCH_013_071_000079	內監王進嘗試銃上前，銃炸傷進手，上幾危。
HCH_013_071_000080	光宗選侍趙氏，與客、魏不協，矯旨賜死，選侍盡出光宗所賜珍玩列於庭，再拜投繯而絕。
HCH_013_071_000081	裕妃張氏方姙，膺册封禮。
HCH_013_071_000082	客氏譖於上，絕飲食，閉禳道中，偶天雨，匍匐掬簷溜數口而絕。
HCH_013_071_000083	成妃李氏誕二公主而殤。
HCH_013_071_000084	先是，馮貴人嘗勸上罷內操，客、魏惡之，矯旨貴人誹謗，賜死。
HCH_013_071_000085	成妃從容爲上言之，乃矯旨革封，絕飲食。
HCH_013_071_000086	成妃故鑒裕妃飢死，密儲食物壁間，數日不死。
HCH_013_071_000087	魏、客怒少解，斥爲宮人，遷於乾西所。
HCH_013_071_000088	皇后張氏素精明，魏、客憚之。
HCH_013_071_000089	后方姙，腰痛，客氏密布心腹，宮人奉御無狀，隕焉。
HCH_013_071_000090	又於上郊天之日，掩殺胡貴人，以暴疾聞。
HCH_013_071_000091	四年春二月，加錦衣衞田爾耕太子太保，以其緝捕有功也。
HCH_013_071_000092	爾耕，尚書田樂之孫，以軍功補廕錦衣，附魏忠賢，遂得美擢。
HCH_013_071_000093	三月，刑科傅櫆疏參僉都御史左光斗、吏科都給事魏大中，詞引故內臣王安及中書汪文言。
HCH_013_071_000094	廕魏忠賢弟姪一人錦衣百戶。
HCH_013_071_000095	五月，以許顯純掌北鎭撫司理刑。
HCH_013_071_000096	六月，左副都御史楊漣疏參魏忠賢二十四罪，曰：「忠賢原一市井亡賴人耳。中年淨身，夤入內地。初猶謬爲小忠小信以倖恩，旣而敢爲大奸大惡以亂政。祖宗之制，以票擬託重閣臣，責無他委。自忠賢擅權，旨意多出傳奉，徑自內批，壞祖宗二百年來之政體。大罪一也。劉一燝、周嘉謨，同受顧命之大臣也。忠賢急於翦己之忌，不容皇上不改父之臣。大罪二也。先帝一月賓天，進御進藥之間，實有隱恨，執《春秋》討賊之義者，孫愼行也，明萬古綱常之重者，鄒元標也。忠賢一則逼之告病去，一則嗾言官論劾去。顧於護黨氣毆聖母之人，曲意綢繆，終加蟒玉以贈其行，親亂賊而讎忠義。大罪三也。王紀、鍾羽正先年功在國本，及紀爲司寇，執法如山；羽正爲司空，清修如鶴。忠賢一則使人交誶於堂，辱而迫之去；一則與沈㴶交搆陷之，削籍去，必不容盛時有正色立朝之直臣。大罪四也。國家最重，無如枚卜，忠賢一手握定，力阻前推之孫愼行、盛以弘，更爲他辭以錮其出，是眞欲門生宰相乎！大罪五也。爵人於朝，莫重廷推。去歲南太宰、北少宰，所推皆點陪貳，致一時名賢不安位去。顚倒有常之銓政，掉弄不測之機權。大罪六也。聖政初新，正資忠直。乃滿朝薦、文震孟等九人，抗論稍忤忠賢，傳奉盡令降斥，屢經恩典，
HCH_013_071_000097	竟阻賜環。
HCH_013_071_000098	長安謂皇上之怒易解，忠賢之怒難調。
HCH_013_071_000099	大罪七也。
HCH_013_071_000100	然猶曰外廷之臣子也。
HCH_013_071_000101	傳聞宮中有一舊貴人，以德性貞靜，荷上寵注，忠賢恐其露己驕橫，謀之私比，託言急病，立刻掩殺。
HCH_013_071_000102	是皇上且不能保其貴幸矣。
HCH_013_071_000103	大罪八也。
HCH_013_071_000104	猶曰無名封也。
HCH_013_071_000105	裕妃以有喜得封，中外欣欣相告。
HCH_013_071_000106	忠賢以抗不附己，囑其私比，矯旨勒令自盡，是皇上不能保其妃嬪矣。
HCH_013_071_000107	大罪九也。
HCH_013_071_000108	猶曰在妃嬪也。
HCH_013_071_000109	中宮有慶，已經成男，乃繞電流虹之祥，忽化爲飛星墮月之慘，傳聞忠賢與奉聖夫人實有謀焉。
HCH_013_071_000110	是皇上不能保其子矣。
HCH_013_071_000111	大罪十也。
HCH_013_071_000112	先帝在青宮四十年，操心慮患，所以護持孤危者，僅王安一人耳。
HCH_013_071_000113	皇上倉卒受命，擁衞防護之中，亦不可謂無微忠。
HCH_013_071_000114	而忠賢以私忿矯旨，掩殺於南海子。
HCH_013_071_000115	是不但讎王安，而實敢於讎先帝之老僕與皇上老犬馬，略無顧忌。
HCH_013_071_000116	大罪十一也。
HCH_013_071_000117	今日獎賞，明日祠額，要挾無窮，王言屢褻。
HCH_013_071_000118	近又於河間府毀人房屋，以建牌坊，鏤鳳雕龍，干雲插漢，又不止於塋地擅用朝官，規制僭擬陵寢而已。
HCH_013_071_000119	大罪十二也。
HCH_013_071_000120	今日廕中書，明日廕錦衣，金吾之堂，口皆乳臭，誥敕之館，目不識丁。
HCH_013_071_000121	如魏良弼、魏良材、魏良卿等，五侯七貴，何以加茲？
HCH_013_071_000122	大罪十三也。
HCH_013_071_000123	因立枷之法以示威，枷號家人者，欲攀陷皇親也；攀陷皇親者，欲動搖三宮也。
HCH_013_071_000124	當時若非閣臣力持，椒房之戚，又興大獄矣。
HCH_013_071_000125	大罪十四也。
HCH_013_071_000126	良鄕生員章士魁，以爭煤窰傷其墳脈，託言開礦而致之死。
HCH_013_071_000127	假令盜長陵一抔土，何以處之？
HCH_013_071_000128	趙高鹿可爲馬，忠賢煤可爲礦。
HCH_013_071_000129	大罪十五也。
HCH_013_071_000130	伍思敬、胡遵道以侵佔牧地細事，而徑置囚阱。
HCH_013_071_000131	草菅士命，使青燐赤璧之氣，先結於璧宮泮藻之間。
HCH_013_071_000132	大罪十六也。
HCH_013_071_000133	科臣周士樸執糾織監一事，原是在工言工，忠賢竟停其陞遷，使吏部不得專其銓除，言官不敢司其封駁。
HCH_013_071_000134	大罪十七也。
HCH_013_071_000135	北鎭撫臣劉僑，不肯殺人媚人，自是在刑言刑，忠賢以其不善鍛鍊，竟令削籍，明示大明之律令可以不守，而忠賢之律令不可不遵。
HCH_013_071_000136	大罪十八也。
HCH_013_071_000137	科臣魏大中到任，已奉明旨，鴻臚寺傳單，忽傳詰責，及科臣覆奏，臺省交章，又再褻王言，而煌煌天語，朝夕紛更，令天下後世視皇上爲何如主？
HCH_013_071_000138	大罪十九也。
HCH_013_071_000139	東廠原以察奸細非常，不以擾平民也。
HCH_013_071_000140	自忠賢受事，雞犬不寧。
HCH_013_071_000141	野子傅應星等爲之招搖引納，陳居恭爲之鼓舌搖唇，傅繼敎爲之投罟設網。
HCH_013_071_000142	片語違忤，駕帖立下。
HCH_013_071_000143	如近日之逮汪文言，不從閣票，不令閣知。
HCH_013_071_000144	而傅應星等造謀告密，日夜未已，勢不至於興同文之獄，刊黨錮之碑不已者，當年西廠汪直之僭，恐未足語此。
HCH_013_071_000145	大罪二十也。
HCH_013_071_000146	前韓宗功潛入長安，偵探虛實，往來忠賢私房之家，事露，始令避去。
HCH_013_071_000147	大罪二十一也。
HCH_013_071_000148	祖制不蓄內兵，原有深意。
HCH_013_071_000149	忠賢創立內操，使羽黨盤踞其中，安知無大盜刺客深謀不宄之人！
HCH_013_071_000150	識者每爲寒心。
HCH_013_071_000151	昔劉瑾招納亡命，曹吉祥傾結達官，忠賢蓋已兼之。
HCH_013_071_000152	大罪二十二也。
HCH_013_071_000153	忠賢進香涿州，鐵騎之簇擁如雲，蟒玉之趨隨耀日，警蹕傳呼，清塵墊道，人人以爲駕幸涿州。
HCH_013_071_000154	及其歸也，以輿夫爲遲，故駕駟馬。
HCH_013_071_000155	羽幢青蓋，夾護環遮，則已儼然乘輿矣。
HCH_013_071_000156	大罪二十三也。
HCH_013_071_000157	蓋寵極則驕，恩多成怨。
HCH_013_071_000158	聞今春忠賢走馬御前，皇上曾射殺其馬，貸忠賢以不死。
HCH_013_071_000159	忠賢不自畏罪請死，且進有傲色，退有怨言，朝夕隄防，介介不釋。
HCH_013_071_000160	從來亂臣賊子，只爭一念放肆，遂至收拾不住，奈何養虎兕於肘腋間乎？
HCH_013_071_000161	此又寸臠忠賢不足盡其辜者。
HCH_013_071_000162	大罪二十四也。
HCH_013_071_000163	凡此逆跡，左右旣畏而不敢言，外廷又皆觀望而不敢言。
HCH_013_071_000164	卽或內廷奸狀敗露，又賴有奉聖客氏爲之彌縫其罪戾，而遮飾其回邪。
HCH_013_071_000165	故掖廷之內，知有忠賢不知有皇上；都城之內，知有忠賢不知有皇上。
HCH_013_071_000166	卽大小臣工，又積重之所移，積勢之所趨，亦不覺不知有皇上，而止知有忠賢。
HCH_013_071_000167	宮中、府中，大事、小事，無一不是忠賢專擅，反覺皇上爲名，忠賢爲實。
HCH_013_071_000168	且如忠賢已往涿州矣，一切事情，必星夜馳請意旨，票擬必忠賢到始敢批發。
HCH_013_071_000169	嗟嗟！
HCH_013_071_000170	天顏咫尺之間，忽漫不請裁，而馳候忠賢意旨於百里之外，事勢至此，皇上威靈尚尊於忠賢耶！
HCH_013_071_000171	疏入，忠賢亦惴惴懼禍，欲結輔臣韓爌爲之地，爌嚴拒，不得已泣訴御前，客氏又從中委曲調之，遂令魏廣微條旨，廣微素固結忠賢，附爲同姓。
HCH_013_071_000172	漣疏中復有「門生宰相」語，廣微恨之。
HCH_013_071_000173	是時，忠賢亦有疏辭廠，疏先下，備極溫諭。
HCH_013_071_000174	次日，乃下漣疏，切責不少貸。
HCH_013_071_000175	先是，漣疏成，意欲於午朝面奏，出疾雷掩耳之計。
HCH_013_071_000176	繕寫甫竟，次日免朝，恐再宿則機洩且害成也，遂循例封進，故忠賢得以彌縫。
HCH_013_071_000177	漣愈憤激，冀補牘以伺對仗。
HCH_013_071_000178	忠賢聞之，阻遏上不御朝者三日，至四日乃出御皇極門，刀劍倍於往時，侍班官僚，更爲嚴謹。
HCH_013_071_000179	左班諸臣，不許擅出奏事，而諸臣公憤愈甚，繼漣上疏者麕至。
