HCH_012_094_000057	宣德二年五、六、七月，連論三法司錄上繫囚罪狀，凡決遣二千八百餘人。
HCH_012_094_000058	七年二月，親閱法司所進繫囚罪狀，決遣千餘人，減等輸納，春審自此始。
HCH_012_094_000059	六月，又以炎暑，命自實犯死罪外，悉早發遣，且馳諭中外刑獄悉如之。
HCH_012_094_000060	成化時，熱審始有重罪矜疑、輕罪減等、枷號疏放諸例。
HCH_012_094_000061	正德元年，掌大理寺工部尚書楊守隨言：「每歲熱審事例，行於北京而不行於南京。五年一審錄事例，行於在京，而略於在外。今宜通行南京，凡審囚，三法司皆會審，其在外審錄，亦依此例。」
HCH_012_094_000062	詔可。
HCH_012_094_000063	嘉靖十年，令每年熱審並五年審錄之期，雜犯死罪、準徒五年者，皆減一年。
HCH_012_094_000064	二十三年，刑科羅崇奎言：「五、六月間，笞罪應釋放、徒罪應減等者，亦宜如成化時欽恤枷號例，暫與蠲免，至六月終止。南法司亦如之。」
HCH_012_094_000065	報可。
HCH_012_094_000066	隆慶五年，令贓銀止十兩以上、監久產絕、或身故者，熱審免追，釋其家屬。
HCH_012_094_000067	萬曆三十九年，方大暑省刑，而熱審矜疑疏未下。
HCH_012_094_000068	刑部侍郎沈應文以獄囚久滯，乞暫豁矜疑者。
HCH_012_094_000069	未報。
HCH_012_094_000070	明日，法司盡按囚籍軍徒杖罪未結者五十三人，發大興、宛平二縣監候，乃以疏聞。
HCH_012_094_000071	神宗亦不罪也。
HCH_012_094_000072	舊例，每年熱審自小滿後十餘日，司禮監傳旨下刑部，即會同都察院、錦衣衛題請，通行南京法司，一體審擬具奏。
HCH_012_094_000073	京師自命下之日至六月終止。
HCH_012_094_000074	南京自部移至日為始，亦滿兩月而止。
HCH_012_094_000075	四十四年不舉行。
HCH_012_094_000076	明年，又逾兩月，命未下，會暑雨，獄中多疫。
HCH_012_094_000077	言官以熱審愆期、朝審不行、詔獄理刑無人三事交章上請。
HCH_012_094_000078	又請釋楚宗英嫶、蘊鈁等五十餘人，罣誤知縣滿朝薦，同知王邦才、卞孔時等。
HCH_012_094_000079	皆不報。
HCH_012_094_000080	崇禎十五年四月亢旱，下詔清獄。
HCH_012_094_000081	中允黃道周言：「中外齋宿為百姓請命，而五日之內繋兩尚書，不聞有抗疏爭者，尚足迴天意乎？」
HCH_012_094_000082	兩尚書謂李日宣、陳新甲也。
HCH_012_094_000083	帝方重怒二人，不能從。
HCH_012_094_000084	歷朝無寒審之制，崇禎十年，以代州知州郭正中疏及寒審，命所司求故事。
