HCH_015_017_000067	散騎常侍劉朗之等十五人竝議駮之，事不行。
HCH_015_017_000068	皇太子象輅。
HCH_015_017_000069	校飾如御，旂九旒降龍。
HCH_015_017_000070	皇太后皇后重翟車，金塗校具，白地人馬錦帖，廂隱膝後戶，白牙的帖，金塗面釘，漆畫輪，鐵鐺，金塗縱容後路輠，師子轄，抗檐皆施金塗螭頭及神龍雀等諸飾。
HCH_015_017_000071	軛衡上施金博山，又有金塗長角巴首。
HCH_015_017_000072	蓋，金塗，爪支子花二十八，青油俠碧絹黃絞蓋，漆布裏。
HCH_015_017_000073	紫顏芚，黃絞紫絞隨陰，碧毛。
HCH_015_017_000074	外上施絳紫系絡。
HCH_015_017_000075	碧旂九旒，棨戟。
HCH_015_017_000076	宋元嘉《東宮儀記》云中宮僕御重翟金根車，未詳得稱爲金根也。
HCH_015_017_000077	皇太子妃厭翟車。
HCH_015_017_000078	如重翟，飾微減。
HCH_015_017_000079	指南車。
HCH_015_017_000080	四周廂上施屋，指南人衣裙襦天衣，在廂中。
HCH_015_017_000081	上四角皆施龍子竿，縣雜色真孔雀毦，烏布皁復幔，漆畫輪，駕牛，皆銅校飾。
HCH_015_017_000082	記里鼓車。
HCH_015_017_000083	制如指南，上施華蓋子，衣漆畫，鼓機皆在內。
HCH_015_017_000084	輦車，如犢車，竹蓬。
HCH_015_017_000085	廂外鑿鏤金薄，碧紗衣，織成芚，錦衣。
HCH_015_017_000086	廂裏及仰頂隱膝後戶，金塗鏤面，瑇瑁帖，金塗松精，登仙花紐，綠四緣，四望紗萌子，上下前後眉，鏤鍱。
HCH_015_017_000087	轅枕長角龍，白牙蘭，瑇瑁金塗校飾。
HCH_015_017_000088	漆鄣塵板在蘭前，金銀花獸玃天龍師子鏤面，榆花鈿指子摩尼炎，金龍虎。
HCH_015_017_000089	扶轅，銀口帶，龍板頭。
HCH_015_017_000090	龍轅軛上，金鳳皇鈴璅，銀口帶，星後梢，瑇瑁帖，金塗香沓，銀星花獸幔竿杖，金塗龍牽，縱橫長，背花香染兆牀副。
HCH_015_017_000091	自輦以下，二宮御車，皆綠油幢，絳系絡。
HCH_015_017_000092	御所乘，雙棟。
HCH_015_017_000093	其公主則碧油幢云。
HCH_015_017_000094	《司馬法》曰「夏后氏輦曰金車，殷曰胡奴車，周曰輜車」，皆輦也。
HCH_015_017_000095	《漢書叔孫通傳》云「皇帝輦出房」，成帝輦過後宮，此朝宴竝用也。
HCH_015_017_000096	《輿服志》云「輦車具金銀丹青采雘雕畫蒲陶之文，乘人以行」。
HCH_015_017_000097	信陽侯陰就見井丹，左右人進輦，是爲臣下亦得乘之。
