HCH_009_114_000073	華幾不得還，昏黑得徑先歸，乃悟兩省怒朝省不益軍，謂皆華輩主之，故擠之險地耳。
HCH_009_114_000074	是夜二更後，八里莊次將遣人送款云：「早者主將出城開船，截大金歸路，某等商議，主將還即閉門不納，渠已奔去楚州，乞發軍馬接應。」
HCH_009_114_000075	二相即發兵騎、開船赴約，明旦入城安慰，又知楚州大軍已還河朔，宋將燒浮橋，二相附華納奏，上大喜。
HCH_009_114_000076	初，合達謀取宋淮陰。
HCH_009_114_000077	五月渡淮。
HCH_009_114_000078	淮陰主者胡路鈐往楚州計事于楊妙真，比還，提正官郭恩送款于金，胡還不納，慟哭而去。
HCH_009_114_000079	合達遂入淮陰，詔改歸州，以行省烏古論葉裏哥守之，郭恩為元帥右都監。
HCH_009_114_000080	既而，宋人以銀絹五萬兩匹來贖盱眙龜山，宋使留館中，郭恩謀劫而取之，或報之于盱眙帥府，即以軍至，恩不果發。
HCH_009_114_000081	明日，宋將劉虎、湯孝信以船三十艘燒浮梁，因遣其將夏友諒來攻盱眙，未下。
HCH_009_114_000082	泗州總領完顏矢哥利館中銀絹，遂反。
HCH_009_114_000083	防禦使徒單塔剌聞變，扼罘山亭甬路，好謂之曰：「容我拜辭朝廷然後死。」
HCH_009_114_000084	遂取朝服望闕拜，慟良久，投亭下水死。
HCH_009_114_000085	矢哥遂以州歸楊妙真，總帥納合買住亦以盱眙降宋。
HCH_009_114_000086	九月，陝西行省防秋，時大兵在河中，睿宗已領兵入界，慶山奴報糧盡，將棄京兆而東。
HCH_009_114_000087	一日，白華奏，偵候得睿宗所領軍馬四萬，行營軍一萬，佈置如此，「為今計者，與其就漢禦之，諸軍比到，可行半月，不若徑往河中。目今沿河屯守，一日可渡，如此中得利，襄、漢軍馬必當遲疑不進。在北為投機，在南為掣肘，臣以為如此便」。
HCH_009_114_000088	上曰：「此策汝畫之，為得之他人？」
HCH_009_114_000089	華曰：「臣愚見如此。」
HCH_009_114_000090	上平日銳于武事，聞華言若欣快者，然竟不行。
HCH_009_114_000091	未幾，合達自陝州進奏帖，亦為此事，上得奏甚喜。
HCH_009_114_000092	蒲阿時在洛陽，驛召之，蓋有意於此矣。
HCH_009_114_000093	蒲阿至，奏對之間不及此，止言大兵前鋒忒木泬統之，將出冷水穀口，且當先禦此軍。
HCH_009_114_000094	上曰：「朕不問此，只欲問河中可搗否。」
HCH_009_114_000095	蒲阿不獲已，始言睿宗所領兵騎雖多，計皆冗雜。
HCH_009_114_000096	大兵軍少而精，無非選鋒。
HCH_009_114_000097	金軍北渡，大兵必遣輜重屯於平陽之北，匿其選鋒百里之外，放我師渡，然後斷我歸路與我決戰，恐不得利。
HCH_009_114_000098	上曰：「朕料汝如此，果然。更不須再論，且還陝州。」
HCH_009_114_000099	蒲阿曰：「合達樞密使所言，此間一面革撥恐亦未盡，乞召至同議可否。」
HCH_009_114_000100	上曰：「見得合達亦止此而已，往復遲滯，轉致誤事。」
HCH_009_114_000101	華奏合達必見機會，召至同議為便。
HCH_009_114_000102	副樞赤盞合喜亦奏蒲阿、白華之言為是。
HCH_009_114_000103	上乃從之。
HCH_009_114_000104	召合達至，上令先與密院議定，然後入見。
HCH_009_114_000105	既議，華執合達奏帖舉似再三，竟無一先發言者。
HCH_009_114_000106	移時，蒲阿言：「且勾當冷水穀一軍何如。」
HCH_009_114_000107	合達曰：「是矣。」
HCH_009_114_000108	遂入見。
HCH_009_114_000109	上問卿等所議若何，合達敷奏，其言甚多，大概言河中之事與前日上奏時勢不同，所奏亦不敢自主，議遂寢。
HCH_009_114_000110	二相還陝，量以軍馬出冷水谷，奉行故事而已。
HCH_009_114_000111	十二月，河中府破。
HCH_009_114_000112	九年，京城被攻。
HCH_009_114_000113	四月兵退，改元天興。
HCH_009_114_000114	是月十六日，並樞密院歸尚書省，以宰相兼院官，左右司首領官兼經歷官，惟平章白撒、副樞合喜、院判白華、權院判完顏忽魯剌退罷。
HCH_009_114_000115	忽魯剌有口辯，上愛幸之。
HCH_009_114_000116	朝議罪忽魯剌，而書生輩妒華得君，先嘗以語撼之，用是而罷。
HCH_009_114_000117	金制，樞密院雖主兵，而節制在尚書省。
HCH_009_114_000118	兵興以來，茲制漸改，凡是軍事，省官不得預，院官獨任專見，往往敗事。
HCH_009_114_000119	言者多以為將相權不當分，至是始並之。
HCH_009_114_000120	十二月朔，上遣近侍局提點曳剌粘古即白華所居，問事勢至於此，計將安出。
HCH_009_114_000121	華附奏：「今耕稼已廢，糧斛將盡，四外援兵皆不可指擬，車駕當出就外兵。可留皇兄荊王使之監國，任其裁處。聖主既出，遣使告語北朝，我出非他處收整軍馬，止以軍卒擅誅唐慶，和議從此斷絕，京師今付之荊王，乞我一二州以老耳。如此則太后皇族可存，正如《春秋》紀季入齊為附庸之事，聖主亦得少寬矣。」
HCH_009_114_000122	於是起華為右司郎中。
HCH_009_114_000123	初，親巡之計決，諸將皆預其議，將退，首領官張袞、聶天驥奏：「尚有舊人諳練軍務者，乃置而不用，今所用者，皆不見軍中事體，此為未盡。」
HCH_009_114_000124	上問未用者何人，皆曰院判白華，上頷之，故有是命。
HCH_009_114_000125	明日，召華諭之曰：「親巡之計已決，但所往群議未定，有言歸德四面皆水，可以自保者，或言可沿西山入鄧。或言設欲入鄧，大將速不泬今在汝州，不如取陳、蔡路轉往鄧下。卿以為如何？」
HCH_009_114_000126	華曰：「歸德城雖堅，久而食盡，坐以待斃，決不可往。欲往鄧下，既汝州有速不泬，斷不能往。以今日事勢，博徒所謂孤注者也。孤注雲者，止有背城之戰。為今之計，當直赴汝州，與之一決，有楚則無漢，有漢則無楚。汝州戰不如半途戰，半途戰又不如出城戰，所以然者何？我軍食力猶在，馬則豆力猶在。若出京益遠，軍食日減，馬食野草，事益難矣。若我軍便得戰，存亡決此一舉，外則可以激三軍之氣，內則可以慰都人之心。或止為避遷之計，人心顧戀家業，未必毅然從行。可詳審之。」
HCH_009_114_000127	遂召諸相及首領官同議，禾速嘉兀地不、元帥豬兒、高顯、王義深俱主歸德之議，丞相賽不主鄧，議竟不能決。
HCH_009_114_000128	明日，制旨京城食盡，今擬親出，聚集軍士于大慶殿諭以此意，諭訖，諸帥將佐合辭奏曰：「聖主不可親出，止可命將，三軍欣然願為國家效死。」
HCH_009_114_000129	上猶豫，欲以官奴為馬軍帥，高顯為步軍帥，劉益副之，蓋采輿議也，而三人者亦欲奉命。
HCH_009_114_000130	權參政內族訛出大罵云：「汝輩把鋤不知高下，國家大事，敢易承邪！」
HCH_009_114_000131	眾默然，惟官奴曰：「若將相可了，何至使我輩。」
HCH_009_114_000132	事亦中止。
HCH_009_114_000133	明日，民間哄傳車駕欲奉皇太后及妃後往歸德，軍士家屬留後。
HCH_009_114_000134	目今食盡，坐視城中俱餓死矣。
HCH_009_114_000135	縱能至歸德，軍馬所費支吾復得幾許日。
HCH_009_114_000136	上聞之，召賽不、合周、訛出、烏古孫卜吉、完顏正夫議，餘人不預。
HCH_009_114_000137	移時方出，見首領官、丞相言，前日巡守之議已定，止為一白華都改卻，今往汝州就軍馬索戰去矣。
HCH_009_114_000138	遂擇日祭太廟誓師，擬以二十五之日啟行。
HCH_009_114_000139	是月晦，車駕至黃陵岡，復有北幸之議，語在《白撒傳》。
HCH_009_114_000140	天興二年正月朔，上次黃陵岡，就歸德餫船北渡，諸相共奏，京師及河南諸州聞上幸河北，恐生他變，可下詔安撫之。
HCH_009_114_000141	是時，在所父老僧道獻食，及牛酒犒軍者相屬，上親為拊慰，人人為之感泣。
HCH_009_114_000142	乃赦河朔，招集兵糧，赦文條畫十餘款，分道傳送。
HCH_009_114_000143	二日，或有云：「昨所發河南詔書，倘落大軍中，奈泄事機何。」
HCH_009_114_000144	上怒，委近侍局官傳旨，謂首領官張袞、白華、內族訛可當發詔時不為後慮，皆量決之。
HCH_009_114_000145	是時衛州軍兩日至蒲城，而大軍徐躡其後。
HCH_009_114_000146	十五日，宰相諸帥共議上前，郎中完顏胡魯剌秉筆書，某軍前鋒，某軍殿后，餘事皆有條畫。
HCH_009_114_000147	書畢，惟不言所往，華私問胡魯剌，托以不知。
HCH_009_114_000148	是晚，平章及諸帥還蒲城軍中。
HCH_009_114_000149	夜半，訛可、袞就華帳中呼華云：「上已登舟，君不知之耶？」
HCH_009_114_000150	華遂問其由，訛可云：「我昨日已知上欲與李左丞、完顏郎中先下歸德，令諸軍並北岸行，至鳳池渡河。今夜平章及禾速嘉、元帥官奴等來，言大軍在蒲城曾與金軍接戰，勢莫能支，遂擁主上登舟，軍資一切委棄，止令忠孝軍上船，馬悉留營中。計舟已行數里矣。」
HCH_009_114_000151	華又問：「公何不從往？」
HCH_009_114_000152	云：「昨日擬定首領官止令胡魯剌登舟，余悉隨軍，用是不敢。」
HCH_009_114_000153	是夜，總帥百家領諸軍舟往鳳池，大軍覺之，兵遂潰。
HCH_009_114_000154	上在歸德。
HCH_009_114_000155	三月，崔立以汴京降，右宣徽提點近侍局移剌粘古謀之鄧，上不聽。
