HCH_012_124_000062	會順帝自開平命擴廓復大都，擴廓乃北出雁門，將由保安徑居庸以攻北平。
HCH_012_124_000063	徐達、常遇春乘虛搗太原，擴廓還救。
HCH_012_124_000064	部將豁鼻馬潛約降於明。
HCH_012_124_000065	明兵夜劫營，營中驚潰。
HCH_012_124_000066	擴廓倉卒以十八騎北走，明兵遂西入關。
HCH_012_124_000067	思齊以臨洮降。
HCH_012_124_000068	思道走寧夏，其弟良臣以慶陽降，既而復叛，明兵破誅之。
HCH_012_124_000069	於是元臣皆入於明，唯擴廓擁兵塞上，西北邊苦之。
HCH_012_124_000070	洪武三年，太祖命大將軍徐達總大兵出西安，搗定西。
HCH_012_124_000071	擴廓方圍蘭州，趨赴之。
HCH_012_124_000072	戰于沈兒峪，大敗，盡亡其眾，獨與妻子數人北走，至黃河，得流木以渡，遂奔和林。
HCH_012_124_000073	時順帝崩，太子嗣立，復任以國事。
HCH_012_124_000074	逾年，太祖復遣大將軍徐達、左副將軍李文忠、征西將軍馮勝將十五萬眾，分道出塞取擴廓。
HCH_012_124_000075	大將軍至嶺北，與擴廓遇，大敗，死者數萬人。
HCH_012_124_000076	劉基嘗言于太祖曰：「擴廓未可輕也。」
HCH_012_124_000077	至是帝思其言，謂晉王曰：「吾用兵未嘗敗北。今諸將自請深入，敗于和林，輕信無謀，致多殺士卒，不可不戒。」
HCH_012_124_000078	明年，擴廓復攻雁門，命諸將嚴為之備，自是明兵希出塞矣。
HCH_012_124_000079	其後，擴廓從其主徙金山，卒于哈剌那海之衙庭，其妻毛氏亦自經死，蓋洪武八年也。
HCH_012_124_000080	初，察罕破山東，江、淮震動。
HCH_012_124_000081	太祖遣使通好。
HCH_012_124_000082	元遣戶部尚書張昶、郎中馬合謀浮海如江東，授太祖榮祿大夫、江西等處行中書省平章政事，賜以龍衣禦酒。
HCH_012_124_000083	甫至而察罕被刺，太祖遂不受，殺馬合謀，以張昶才，留官之。
HCH_012_124_000084	及擴廓視師河南，太祖乃復遣使通好，擴廓輒留使者不遣。
HCH_012_124_000085	凡七致書，皆不答。
HCH_012_124_000086	既出塞，復遣人招諭，亦不應。
HCH_012_124_000087	最後使李思齊往。
HCH_012_124_000088	始至，則待以禮。
HCH_012_124_000089	尋使騎士送歸，至塞下，辭曰：「主帥有命，請公留一物為別。」
HCH_012_124_000090	思齊曰：「吾遠來無所齎。」
HCH_012_124_000091	騎士曰：「願得公一臂。」
HCH_012_124_000092	思齊知不免，遂斷與之。
