HCH_012_164_000067	侍讀李時勉、侍講羅汝敬俱下獄；御史鄭維桓、何忠、羅通、徐容，給事中柯暹俱左官交阯。
HCH_012_164_000068	惟緝與主事高公望、庶吉士楊復得無罪。
HCH_012_164_000069	是年冬，緝進右庶子兼侍講。
HCH_012_164_000070	明年九月卒於官。
HCH_012_164_000071	緝博極群書，居官勤慎，清操如寒士。
HCH_012_164_000072	子循，宣德中為翰林待詔，請贈父母。
HCH_012_164_000073	帝諭吏部曰：「曩皇祖征沙漠，朕守北京，緝在左右，陳說皆正道，良臣也，其予之。」
HCH_012_164_000074	鄭維桓，慈溪人。
HCH_012_164_000075	永樂十三年進士。
HCH_012_164_000076	出知交阯南清州，卒。
HCH_012_164_000077	柯暹，池州建德人。
HCH_012_164_000078	由鄉舉出知交阯州。
HCH_012_164_000079	累官浙江、雲南按察使。
HCH_012_164_000080	弋謙，代州人。
HCH_012_164_000081	永樂九年進士。
HCH_012_164_000082	除監察御史。
HCH_012_164_000083	出按江西，言事忤旨，貶峽山知縣。
HCH_012_164_000084	復坐事免歸。
HCH_012_164_000085	仁宗在東宮，素知謙骨鯁。
HCH_012_164_000086	及嗣位，召為大理少卿。
HCH_012_164_000087	直陳時政，言官吏貪殘，政事多非洪武之舊，及有司誅求無藝。
HCH_012_164_000088	帝多采納。
HCH_012_164_000089	既復言五事，詞太激，帝乃不懌。
HCH_012_164_000090	尚書呂震、吳中，侍郎吳廷用，大理卿虞謙等因劾謙誣罔，都御史劉觀令眾御史合糾謙。
HCH_012_164_000091	帝召楊士奇等言之，士奇對曰：「謙不諳大體，然心感超擢恩，欲圖報耳。主聖則臣直，惟陛下優容之。」
HCH_012_164_000092	帝乃不罪謙。
HCH_012_164_000093	然每見謙，詞色甚厲。
HCH_012_164_000094	士奇從容言：「陛下詔求直言，謙言不當，觸怒。外廷悚惕，以言為戒。今四方朝覲之臣皆集闕下，見謙如此，將謂陛下不能容直言。」
HCH_012_164_000095	帝惕然曰：「此固朕不能容，亦呂震輩迎合以益朕過，自今當置之。」
HCH_012_164_000096	遂免謙朝參，令專視司事。
HCH_012_164_000097	未幾，帝以言事者益少，復召士奇曰：「朕怒謙矯激過實耳，朝臣遂月餘無言。爾語諸臣，白朕心。」
HCH_012_164_000098	士奇曰：「臣空言不足信，乞親降璽書。」
HCH_012_164_000099	遂令就榻前書敕引過曰：「朕自即位以來，臣民上章以數百計，未嘗不欣然聽納。茍有不當，不加譴訶，群臣所共知也。間者，大理少卿弋謙所言，多非實事，群臣迎合朕意，交章奏其賣直，請置諸法。朕皆拒而不聽，但免謙朝參。而自是以來，言者益少。今自去冬無雪，春亦少雨，陰陽愆和，必有其咎，豈無可言？而為臣者，懷自全之計，退而默默，何以為忠？朕于謙一時不能含容，未嘗不自愧咎。爾群臣勿以前事為戒，於國家利弊、政令未當者，直言勿諱。謙朝參如故。」
HCH_012_164_000100	時中官采木四川，貪橫。
HCH_012_164_000101	帝以謙清直，命往治之。
HCH_012_164_000102	擢謙副都御史，賜鈔以行，遂罷采木之役。
HCH_012_164_000103	宣德初，交阯右布政戚遜以貪淫黜，命謙往代。
HCH_012_164_000104	王通棄交阯，謙亦論死。
HCH_012_164_000105	正統初，釋為民。
HCH_012_164_000106	土木之變，謙布衣走闕下，薦通及寧懋、阮遷等十三人，皆奇才可用。
HCH_012_164_000107	眾議以通副石亨，謙請專任通，事遂寢。
HCH_012_164_000108	廷臣以謙負重名，奏留之，亦不報。
HCH_012_164_000109	景泰二年復至京，疏薦通等，不納。
HCH_012_164_000110	罷歸，未幾卒。
HCH_012_164_000111	仁宗性寬大，容直言，謙以故得無罪，反責呂震等。
HCH_012_164_000112	而黃驥言西域事，帝亦誚震而行其言。
HCH_012_164_000113	驥，全州人。
HCH_012_164_000114	洪武中，中鄉舉。
HCH_012_164_000115	為沙縣教諭。
HCH_012_164_000116	永樂時擢禮科給事中，常三使西域。
