HCH_009_008_000056	八月戊辰，太白經天。
HCH_009_008_000057	九月戊寅，至自金蓮川。
HCH_009_008_000058	以左衛將軍禪赤等為賀宋生日使，尚輦局使僕散曷速罕為夏國生日使。
HCH_009_008_000059	己丑，以同知東京留守司事裔在任專恣，失上下之分，謫授複州刺史。
HCH_009_008_000060	乙未，壽刺史訛裏也、同知查剌、軍事判官孫紹先、榷場副使韓仲英等以受商賂縱禁物出界，皆處死。
HCH_009_008_000061	十月辛丑，從河間宗室于平州。
HCH_009_008_000062	庚戌，袷享於太廟。
HCH_009_008_000063	十一月丙子，以吏部尚書孛朮魯阿魯罕等為賀宋正旦使。
HCH_009_008_000064	東京留守徒單貞以與海陵逆謀，伏誅。
HCH_009_008_000065	妻永平縣主，子慎思並賜死。
HCH_009_008_000066	甲申，以宿直將軍僕散忠佐為高麗生日使。
HCH_009_008_000067	玉田縣令移剌查坐贓，伏誅。
HCH_009_008_000068	戊子，冬獵。
HCH_009_008_000069	十二月庚子，還都。
HCH_009_008_000070	癸丑，獵近郊。
HCH_009_008_000071	辛酉，立強取諸部羊馬法。
HCH_009_008_000072	二十三年正月丁卯，宋、高麗、夏遣使來賀，庚午，詔有司但獲強盜，跡狀既明，賞隨給之，勿得更待。
HCH_009_008_000073	丁丑，參知政事梁肅致仕。
HCH_009_008_000074	辛巳，廣樂園燈山火。
HCH_009_008_000075	壬午，如春水，詔夾道三十裏內被役之民與免今年租稅，仍給傭直。
HCH_009_008_000076	甲午，大邦基伏誅。
HCH_009_008_000077	二月乙巳，還都。
HCH_009_008_000078	戊申，以尚書右丞張汝弼攝太尉，致祭于至聖文宣王廟。
HCH_009_008_000079	庚戌，以戶部尚書張仲愈為參知政事。
HCH_009_008_000080	禦史台進所察州縣官罪，上覽之曰：「卿等所廉皆細碎事，又止錄其惡而不舉其善，審如是，其為官者不亦難乎？其並察善惡以聞。」
HCH_009_008_000081	三月丙寅朔，萬春節，宋、高麗、夏遣使來賀。
HCH_009_008_000082	丙子，初制宣命之寶，金、玉各一。
HCH_009_008_000083	尚書右丞相烏古論元忠罷。
HCH_009_008_000084	潞州涉縣人陳圓亂言，伏誅。
HCH_009_008_000085	乙酉，雨土。
HCH_009_008_000086	丙戌，詔戒諭中外百官。
HCH_009_008_000087	四月辛丑，更定奉使三國人從差遣格。
HCH_009_008_000088	祁州刺史大磐坐無罪掠死染工，妄認良人二十五口為奴，削官四階，罷之。
HCH_009_008_000089	癸丑，地生白毛。
HCH_009_008_000090	以大理正紇石主列速為橫賜高麗使，壬戌，幸壽安宮，剌有司為民禱雨。
HCH_009_008_000091	是夕，雨。
HCH_009_008_000092	五月庚午，縣令大雛訛只等十人以不任職罷歸。
HCH_009_008_000093	六十以上者進官兩階，六十以下者進官一階，並給半俸。
HCH_009_008_000094	甲戌，命應部除官嘗以罪罷而再敘者，遣使按其治跡，如有善狀，方許授以縣令，無治狀者，不以任數多少，並不得授。
HCH_009_008_000095	丁亥，雷，雨雹，地生白毛。
HCH_009_008_000096	六月壬子，有司奏右司郎中段珪卒，上曰：「是人甚明正，可用者也。如知登聞檢院巨構，每事但委順而已。燕人自古忠直者鮮，遼兵至則從遼，宋人至則從宋，本朝至則從本朝，其俗詭隨，有自來矣！雖屢經遷變而未嘗殘破者，凡以此也。南人勁挺，敢言直諫者多，前有一人見殺，後複一人諫之，甚可尚也。」
