HCH_009_085_000084	有劉二者出而當之，遣歐榮輩結構逆黨，市兵仗，大署旌旗，謀慄立。
HCH_009_085_000085	事覺，誅死者五十二人，緣坐者六十餘人。
HCH_009_085_000086	永中子孫禁錮，自明昌至於正大末，幾四十年。
HCH_009_085_000087	天興初，詔弛禁錮。
HCH_009_085_000088	未幾，南京亦不守雲。
HCH_009_085_000089	鄭王永蹈，本名銀術可，初名石狗兒。
HCH_009_085_000090	大定十一年，封滕王，未期月進封徐王。
HCH_009_085_000091	二十五年，加開府儀同三司。
HCH_009_085_000092	二十六年，為大興尹。
HCH_009_085_000093	章宗即位，判彰德軍節度使，進封衛王。
HCH_009_085_000094	明昌二年，徙封鄭王。
HCH_009_085_000095	三年，改判定武軍。
HCH_009_085_000096	初，崔溫、郭諫、馬太初與永蹈家奴畢慶壽私說讖記災祥，畢慶壽以告永蹈：「郭諫頗能相人。」
HCH_009_085_000097	永蹈乃召郭諫相已及妻子。
HCH_009_085_000098	諫說永蹈曰：「大王相貌非常，王妃及二子皆大貴。」
HCH_009_085_000099	又曰：「大王，元妃長子，不與諸王比也。」
HCH_009_085_000100	永蹈召崔溫、馬太初論讖記天象。
HCH_009_085_000101	崔溫曰：「醜年有兵災，屬兔命者來年春當收兵得位。」
HCH_009_085_000102	郭諫曰：「昨見赤氣犯紫微，白虹貫月，皆注醜後寅前兵戈慄亂事。」
HCH_009_085_000103	永蹈深信其說，乃陰結內侍鄭雨兒伺上起居，以崔溫為謀主，郭諫、馬太初往來遊說。
HCH_009_085_000104	河南統軍使僕散揆尚永蹈妹韓國公主，永蹈謀取河南軍以為助，與妹澤國公主長樂謀，使駙馬都尉蒲剌睹致書於揆，且先請婚，以觀其意。
HCH_009_085_000105	揆拒不許結婚，使者不敢複言不軌事。
HCH_009_085_000106	永蹈家奴董壽諫永蹈，不聽。
HCH_009_085_000107	董壽以語同輩奴千家奴，上變。
HCH_009_085_000108	是時，永蹈在京師，詔平章政事完顏守貞、參知政事胥持國、戶部尚書楊伯通、知大興府事尼龐古鑒鞫問，連引甚眾，久不能決。
HCH_009_085_000109	上怒，召守貞等問狀。
HCH_009_085_000110	右丞相夾谷清臣奏曰：「事貴速絕，以安人心。」
HCH_009_085_000111	於是，賜永蹈及妃卞玉，二子按春、阿辛，公主長樂自盡。
HCH_009_085_000112	蒲剌睹、崔溫、郭諫、馬太初等皆伏誅。
HCH_009_085_000113	僕散揆雖不聞問，猶坐除名。
HCH_009_085_000114	董壽免死，隸監籍。
HCH_009_085_000115	千家奴賞錢二千貫，特遷五官雜班敘使。
HCH_009_085_000116	自是諸王制限防禁密矣。
HCH_009_085_000117	泰和七年，詔複王封，備禮改葬，賜諡曰剌，以衛王永濟子按辰為永蹈後，奉其祭祀。
HCH_009_085_000118	越王永功，本名宋葛，又名廣孫，貞元二年生。
HCH_009_085_000119	沉默寡言笑，勇健絕人，涉書史，好法書名畫。
HCH_009_085_000120	大定四年，封鄭王。
HCH_009_085_000121	七年，進封隋王。
HCH_009_085_000122	十一年，進封曹王。
HCH_009_085_000123	十五年，除刑部尚書。
HCH_009_085_000124	上曰：「侍郎張汝霖，汝外舅行也，可學為政。」
HCH_009_085_000125	十七年，授活活土世襲猛安。
HCH_009_085_000126	十八年，改大興尹。
HCH_009_085_000127	世宗幸金蓮川，始出中都，親軍二蒼頭縱馬食民田，詔永功：「蒼頭各杖一百。彈壓百戶二人失覺察，勒停。」
HCH_009_085_000128	上次望京澱，永功奏曰：「親軍人止一蒼頭、兩彈壓服勤，為日久矣。臣昧死違詔，量決蒼頭，使彈壓待罪，可使償其田直，惟陛下憐察。」
HCH_009_085_000129	上皆從之。
HCH_009_085_000130	老嫗與男婦憩道傍，婦與所私相從亡去，或告嫗曰：「向見年少婦人自水邊小徑去矣。」
HCH_009_085_000131	嫗告伍長蹤跡之。
HCH_009_085_000132	有男子私殺牛，手持血刃，望見伍長，意其捕己，即走避之。
HCH_009_085_000133	嫗與伍長疑是殺其婦也，捕送縣，不勝楚毒，遂誣服。
HCH_009_085_000134	問屍安在？
HCH_009_085_000135	詭曰：「棄之水中矣。」
HCH_009_085_000136	求之水中，果獲一屍，已半腐。
HCH_009_085_000137	縣吏以為是男子真殺若婦矣，即具獄上。
HCH_009_085_000138	永功疑之曰：「婦死幾何日，而屍遽半腐哉。」
HCH_009_085_000139	頃之，嫗得其婦於所私者。
HCH_009_085_000140	永功曰：「是男子偶以殺人就獄，其拷掠足以稱殺牛之科矣。」
HCH_009_085_000141	遂釋之而去。
HCH_009_085_000142	武清黃氏、望雲王氏豪猾不逞，永功發其罪，畿內肅然。
HCH_009_085_000143	二十三年，判東京留守。
HCH_009_085_000144	是月，改河間尹。
HCH_009_085_000145	閱月，改北京留守。
HCH_009_085_000146	居無何，上謂宰臣曰：「朕聞永功到北京為政無良，雖朕子，萬一敗露，法可廢乎。朕已戒敕永功，卿等可諭其長史，俾匡正之。」
HCH_009_085_000147	到北京凡七月，改東京留守。
HCH_009_085_000148	世宗幸上京，過東京，永功從。
HCH_009_085_000149	明年，上還至天平山好水川，皇太子薨。
HCH_009_085_000150	詔永功護喪事，尋拜御史大夫。
HCH_009_085_000151	章宗封原王，加開府儀同三司。
HCH_009_085_000152	趙王永中及永功兄弟皆加開府儀同三司。
HCH_009_085_000153	明年，判大宗正事。
HCH_009_085_000154	應州僧與永功有舊，將訴事于彰國軍節度使移剌胡剌，求永功手書與胡剌為地。
HCH_009_085_000155	胡剌得書，奏之。
HCH_009_085_000156	上謂宰臣曰：「永功以書囑事胡剌，此雖細微，不可不懲也。凡人小過不治，遂至大咎。有犯必懲，庶幾能改，是亦教也。」
HCH_009_085_000157	皆曰：「陛下用法無私，臣下敢不敬畏。」
HCH_009_085_000158	於是永功解職。
HCH_009_085_000159	未幾，複判大宗正事。
HCH_009_085_000160	章宗即位，除判平陽府事，進封冀王。
HCH_009_085_000161	永功之官，隨引醫人沈思存過制限，當解職。
HCH_009_085_000162	上曰：「朕知此事，當痛斷監奴及治府掾長史管轄府事者罪，仍著於令。」
HCH_009_085_000163	家奴王唐犯罪至徒，永功曲庇之。
HCH_009_085_000164	平陽治中高德裔失覺察，笞四十。
HCH_009_085_000165	於是永功改判濟南府。
HCH_009_085_000166	詔永功曰：「所坐雖細事，法令不得不如此。今已釋矣，後毋複然。濟南先帝舊治，風土甚好，可悉此意也。」
HCH_009_085_000167	改授山東西路把魯古世襲猛安。
HCH_009_085_000168	二年，判廣寧府事，進封魯王。
HCH_009_085_000169	明年，判彰德府事。
HCH_009_085_000170	承安元年，進封郢王。
HCH_009_085_000171	明年，判太原府事。
HCH_009_085_000172	泰和七年，改西京留守。
HCH_009_085_000173	八年，複判平陽府事。
HCH_009_085_000174	大安元年，進封譙王，判中山府事。
HCH_009_085_000175	明年，進封越王。
HCH_009_085_000176	宣宗即位，免常參。
HCH_009_085_000177	明年，從遷汴京。
HCH_009_085_000178	久之，詔永功每月朔一朝。
HCH_009_085_000179	興定四年，詔永功無朝。
HCH_009_085_000180	五年，有疾，賜禦藥。
HCH_009_085_000181	疾革，賜尚醫診視，一日五遣使候問。
HCH_009_085_000182	是歲，薨。
HCH_009_085_000183	上哭之慟，諡曰忠簡。
HCH_009_085_000184	子福孫、壽孫、粘沒曷。
HCH_009_085_000185	大定二十六年，詔賜福孫名璐，壽孫名璹，粘沒曷名琳。
HCH_009_085_000186	是年，璐加奉國上將軍。
HCH_009_085_000187	章宗即位，加銀青榮祿大夫，封蕭國公。
HCH_009_085_000188	初為興陵崇妃養子，常居京師，奉朝請。
HCH_009_085_000189	泰和五年，卒。
HCH_009_085_000190	章宗輟朝，百官進名奉慰。
HCH_009_085_000191	璹本名壽孫，世宗賜名，字仲實，一字子瑜。
HCH_009_085_000192	資質簡重，博學有俊才，喜為詩，工真草書。
HCH_009_085_000193	大定二十七年，加奉國上將軍。
HCH_009_085_000194	明昌初，加銀青榮祿大夫。
HCH_009_085_000195	衛紹王時，加開府儀同三司。
HCH_009_085_000196	貞佑中，封胙國公。
HCH_009_085_000197	正大初，進封密國公。
HCH_009_085_000198	璹奉朝請四十年，日以講誦吟詠為事，時時潛與士大夫唱酬，然不敢明白往來。
HCH_009_085_000199	永功薨後，稍得出遊，與文士趙秉文、楊雲翼、雷淵、元好問、李汾、王飛伯輩交善。
HCH_009_085_000200	初，宣宗南遷，諸王宗室顛沛奔走，璹乃盡載其家法書名畫，一帙不遺。
HCH_009_085_000201	居汴中，家人口多，俸入少，客至，貧不能具酒肴，蔬飯共食，焚香煮茗，盡出藏書，談大定、明昌以來故事，終日不聽客去，樂而不厭也。
HCH_009_085_000202	天興初，璹已臥疾，論及時事，歎曰：「兵勢如此，不能支，止可以降。全完顏氏一族歸吾國中，使女直不滅則善矣，余複何望。」
HCH_009_085_000203	是時，曹王出質，璹見哀宗於隆德殿。
HCH_009_085_000204	上問：「叔父欲何言？」
HCH_009_085_000205	璹奏曰：「聞訛可欲出議和。訛可年幼，不苦諳練，恐不能辦大事。臣請副之，或代其行。」
HCH_009_085_000206	上慰之曰：「南渡後，國家比承平時有何奉養，然叔父亦未嘗沾溉。無事則置之冷地，無所顧藉，緩急則置於不測，叔父盡忠固可，天下其謂朕何？叔父休矣。」
HCH_009_085_000207	於是君臣相顧泣下。
HCH_009_085_000208	未幾，以疾薨。
HCH_009_085_000209	年六十一。
HCH_009_085_000210	平生詩文甚多。
HCH_009_085_000211	自刪其詩，存三百首，樂府一百首，號《如庵小稿》。
HCH_009_085_000212	第五子守禧，字慶之，風神秀徹，璹特鍾愛，嘗曰：「平日所蓄書畫將以付斯子。」
HCH_009_085_000213	及汴城降，守禧病卒，年未三十。
HCH_009_085_000214	潞王永德，本名訛出。
HCH_009_085_000215	大定二十五年，與章宗及諸兄俱加開府儀同三司。
HCH_009_085_000216	二十七年，封薛王。
HCH_009_085_000217	明年，除秘書監。
HCH_009_085_000218	二十九年，進判秘書監，進封沈王。
HCH_009_085_000219	明昌元年，授山東東路把魯古必剌猛安。
HCH_009_085_000220	二年，進封豳王。
HCH_009_085_000221	五年，遷勸農使。
HCH_009_085_000222	承安二年，進封潞王。
HCH_009_085_000223	承安三年，再任勸農使。
HCH_009_085_000224	泰和元年，有司劾永德元日進酒後期，有詔勿問。
HCH_009_085_000225	衛紹王時，累遷太子太師。
HCH_009_085_000226	宣宗即位，改同判大睦親府事。
HCH_009_085_000227	興定五年，遷判大睦親府事。
HCH_009_085_000228	子斡論，賜名琰。
HCH_009_085_000229	豫王永成，本名鶴野，又曰婁室。
HCH_009_085_000230	母昭儀梁氏。
HCH_009_085_000231	永成風姿奇偉，博學，善屬文。
HCH_009_085_000232	世宗尤愛重之。
HCH_009_085_000233	大定七年，始封沈王，以太學博士王彥潛為府文學，永成師事之。
HCH_009_085_000234	十一年，進封豳。
HCH_009_085_000235	十五年，就外第。
HCH_009_085_000236	十六年，判秘書監。
HCH_009_085_000237	明年，授世襲山東東路把魯古猛安，判大睦親府事。
HCH_009_085_000238	既而改中都路胡土靄哥蠻猛安。
HCH_009_085_000239	二十年，改授翰林學士承旨。
HCH_009_085_000240	二十三年，判定武軍節度使事，尋改判廣寧府。
HCH_009_085_000241	二十五年，世宗幸上京，命留守中都，判吏部尚書，進開府儀同三司，為御史大夫。
HCH_009_085_000242	章宗即位，起複，進封吳，判真定府事。
HCH_009_085_000243	明昌元年，改山東西路盆買必剌猛安。
HCH_009_085_000244	明年，進封兗。
HCH_009_085_000245	坐率軍民圍獵，解職，奉表謝罪。
