HCH_012_205_000080	右軍愆期，田州土酋盧受乃縱賊去。
HCH_012_205_000081	俘其眾四百五十，招降者二千九百有奇。
HCH_012_205_000082	土人言，祖父居羅運八世矣，未聞官軍涉茲土也。
HCH_012_205_000083	捷聞，進經左侍郎，加秩一級。
HCH_012_205_000084	尋與毛伯溫定計，撫定安南，再進右都御史。
HCH_012_205_000085	平思恩九土司及瓊州黎，進兵部尚書。
HCH_012_205_000086	副使張瑤等討馬平瑤屢敗，帝罪瑤等而宥經。
HCH_012_205_000087	給事中周怡劾經，經乞罷，不允。
HCH_012_205_000088	以憂歸。
HCH_012_205_000089	服闋，起三邊總督。
HCH_012_205_000090	給事中劉起宗言經在兩廣克餉銀，寢前命。
HCH_012_205_000091	三十二年起南京戶部尚書，就改兵部。
HCH_012_205_000092	明年五月，朝議以倭寇猖獗，設總督大臣。
HCH_012_205_000093	命經不解部務，總督江南、江北、浙江、山東、福建、湖廣諸軍，便宜行事。
HCH_012_205_000094	經征兩廣狼土兵聽用。
HCH_012_205_000095	其年十一月，用兵科言改經右都御史兼兵部右侍郎，專辦討賊。
HCH_012_205_000096	倭二萬餘據柘林川沙窪，其黨方踵至。
HCH_012_205_000097	經日選將練兵，為搗巢計。
HCH_012_205_000098	以江、浙、山東兵屢敗，欲俟狼土兵至用之。
HCH_012_205_000099	明年三月，田州瓦氏兵先至，欲速戰，經不可。
HCH_012_205_000100	東蘭諸兵繼至。
HCH_012_205_000101	經以瓦氏兵隸總兵官俞大猷，以東蘭、那地、南丹兵隸遊擊鄒繼芳，以歸順及思恩、東莞兵隸參將湯克寬，分屯金山衛、閔港、乍浦，掎賊三面，以待永順、保靖兵之集。
HCH_012_205_000102	會侍郎趙文華以祭海至，與浙江巡按胡宗憲比，屢趨經進兵。
HCH_012_205_000103	經曰：「賊狡且眾，待永、保兵至夾攻，庶萬全。」
HCH_012_205_000104	文華再三言，經守便宜不聽。
HCH_012_205_000105	文華密疏經糜餉殃民，畏賊失機，欲俟倭飽飏，剿余寇報功，宜亟治，以紓東南大禍。
HCH_012_205_000106	帝問嚴嵩，嵩對如文華指，且謂蘇、松人怨經。
HCH_012_205_000107	帝怒，即下詔逮經。
HCH_012_205_000108	三十四年五月也。
HCH_012_205_000109	方文華拜疏，永、保兵已至，其日即有石塘灣之捷。
HCH_012_205_000110	至五月朔，倭突嘉興，經遣參將盧鏜督保靖兵援，以大猷督永順兵由泖湖趨平望，以克寬引舟師由中路擊之，合戰於王江涇，斬賊首一千九百餘級，焚溺死者甚眾。
HCH_012_205_000111	自軍興來稱戰功第一。
HCH_012_205_000112	給事中李用敬、閻望雲等言：「王師大捷，倭奪氣，不宜易帥。」
HCH_012_205_000113	帝大怒曰：「經欺誕不忠，聞文華劾，方一戰。用敬等黨奸。杖於廷，人五十，斥為民。」
HCH_012_205_000114	已而帝疑之，以問嵩。
HCH_012_205_000115	嵩言：「徐階、李本江、浙人，皆言經養寇不戰。文華、宗憲合謀進剿，經冒以為功。」
HCH_012_205_000116	因極言二人忠。
HCH_012_205_000117	帝深入其言。
HCH_012_205_000118	經既至，備言進兵始末，且言：「任總督半載，前後俘斬五千，乞賜原宥。」
HCH_012_205_000119	帝終不納，論死繫獄。
HCH_012_205_000120	其年十月，與巡撫李天寵俱斬。
HCH_012_205_000121	天下冤之。
HCH_012_205_000122	天寵，孟津人。
HCH_012_205_000123	由御史遷徐州兵備副使，卻倭通州、如臯。
HCH_012_205_000124	三十三年六月擢右僉都御史，代王忬巡撫浙江。
HCH_012_205_000125	倭掠紹興，殲焉，賚銀幣。
HCH_012_205_000126	頃之，賊犯嘉善，圍嘉興，劫秀水、歸安，副使陳宗夔戰不利，百戶賴榮華中炮死，嘉善知縣鄧植棄城走。
HCH_012_205_000127	入城大掠。
HCH_012_205_000128	賊復陷崇德，攻德清，殺裨將梁鄂等。
HCH_012_205_000129	文華謗天寵嗜酒廢事，帝遂除天寵名，而擢宗憲以代。
HCH_012_205_000130	未幾，御史葉恩以倭躪北新關，劾天寵，宗憲亦言其縱寇。
HCH_012_205_000131	帝怒，逮下獄，遂與經同日死。
HCH_012_205_000132	代經者應城周充、衡水楊宜。
HCH_012_205_000133	節制不行，狼土兵肆焚掠。
HCH_012_205_000134	東南民既苦倭，復苦兵矣。
HCH_012_205_000135	隆慶初，復經官，謚襄湣。
HCH_012_205_000136	珫為戶科給事中，坐諫世宗南幸，謫鎮遠典史。
HCH_012_205_000137	累官右僉都御史，巡撫蘇、松諸府。
HCH_012_205_000138	疏陳禦倭有十難，有三策。
HCH_012_205_000139	經既得禍，即擢充兵部右侍郎代之，無所展。
HCH_012_205_000140	會宗憲已代天寵，因欲奪充位。
HCH_012_205_000141	文華遂劾充，薦宗憲。
HCH_012_205_000142	帝為奪充俸，尋勒為民。
HCH_012_205_000143	充在官僅三十有四日，而楊宜代。
HCH_012_205_000144	宜撫河南，平劇賊師尚詔。
HCH_012_205_000145	遷南京戶部右侍郎，未幾代充。
HCH_012_205_000146	時倭勢猶盛。
HCH_012_205_000147	宜為總督，而文華督察軍務，威出宜上。
HCH_012_205_000148	易置文武大吏，惟其愛憎。
HCH_012_205_000149	宜懲經、天寵禍，曲意奉之。
HCH_012_205_000150	文華視之蔑如也。
HCH_012_205_000151	倭據陶宅，官軍久無功，文華遂劾宜。
HCH_012_205_000152	宜以狼兵徒剽掠不可用，請募江、浙義勇，山東箭手，益調江、浙、福建、湖廣漕卒，河南毛兵。
HCH_012_205_000153	比客兵大集，宜不能馭。
HCH_012_205_000154	川兵與山東兵私鬥，幾殺參將。
HCH_012_205_000155	酉陽兵潰於高橋，奪舟徑歸蘇州。
HCH_012_205_000156	明年正月，文華還朝，請罷宜，以宗憲代。
HCH_012_205_000157	會御史邵惟中上失事狀，遂奪宜職閑住。
HCH_012_205_000158	宜在事僅逾半歲，以諂事文華，故得禍輕。
HCH_012_205_000159	倭之躪蘇、松也，起嘉靖三十二年，訖三十九年，其間為巡撫者十人。
HCH_012_205_000160	安福彭黯，遷南京工部尚書。
HCH_012_205_000161	畏賊，不俟代去，下獄除名。
HCH_012_205_000162	黃岡方任、上虞陳洙皆未抵任。
HCH_012_205_000163	任丁憂，洙以才不足任別用。
HCH_012_205_000164	而代以鄞人屠大山，使提督軍務。
HCH_012_205_000165	蘇、松巡撫之兼督軍務，自大山始。
HCH_012_205_000166	閱半歲，以疾免。
HCH_012_205_000167	尋坐失事下詔獄，為民。
HCH_012_205_000168	繼之者充。
HCH_012_205_000169	繼充者曹邦輔。
HCH_012_205_000170	以文華譖，下詔獄，謫戍。
HCH_012_205_000171	次眉州張景賢，以考察奪職。
HCH_012_205_000172	次盩厔趙忻，坐金山軍變，下獄貶官。
HCH_012_205_000173	次江陵陳錠，數月罷去。
HCH_012_205_000174	次翁大立。
