HCH_011_006_000037	太平元年春正月戊寅，大赦天下，其與任約、徐嗣徽協契同謀，一無所問。
HCH_011_006_000038	追贈簡文皇帝諸子。
HCH_011_006_000039	以故永安侯確子后襲封邵陵王，奉攜王后。
HCH_011_006_000040	癸未，鎮東將軍、震州刺史杜龕降，詔賜死，曲赦吳興郡。
HCH_011_006_000041	己亥，以太保、宜豐侯蕭循襲封鄱陽王。
HCH_011_006_000042	東揚州刺史張彪圍臨海太守王懷振於剡巖。
HCH_011_006_000043	二月庚戌，遣周文育、陳蒨襲會稽，討彪。
HCH_011_006_000044	癸丑，彪長史謝岐、司馬沈泰、軍主吳寶真等舉城降，彪敗走。
HCH_011_006_000045	以中衛將軍臨川王大款卽本號開府儀同三司，中護軍桂陽王大成爲護軍將軍。
HCH_011_006_000046	丙辰，若耶村人斬張彪，傳首京師，曲赦東揚州。
HCH_011_006_000047	己未，罷震州，還復吳興郡。
HCH_011_006_000048	癸亥，賊徐嗣徽、任約襲採石戍，執戍主明州刺史張懷鈞，入于齊。
HCH_011_006_000049	甲子，以東土經杜龕、張彪抄暴，遣大使巡省。
HCH_011_006_000050	三月丙子，罷東揚州，還復會稽郡。
HCH_011_006_000051	壬午，班下遠近並雜用古今錢。
HCH_011_006_000052	戊戌，齊遣大將蕭軌出柵口，向梁山，司空陳霸先、軍主黃菆逆擊，大破之。
HCH_011_006_000053	軌退保蕪湖。
HCH_011_006_000054	遣周文育、侯安都衆軍，據梁山拒之。
HCH_011_006_000055	夏四月丁巳，司空陳霸先表詣梁山撫巡將帥。
HCH_011_006_000056	壬申，侯安都輕兵襲齊行臺司馬恭于歷陽，大破之，俘獲萬計。
HCH_011_006_000057	五月癸未，太傅建安公淵明薨。
HCH_011_006_000058	庚寅，齊軍水步入丹陽縣。
HCH_011_006_000059	丙申，至秣陵故冶。
HCH_011_006_000060	敕周文育還頓方丘，徐度頓馬牧，杜棱頓大桁。
HCH_011_006_000061	癸卯，齊軍進據兒塘，輿駕出頓趙建故籬門，內外纂嚴。
HCH_011_006_000062	六月甲辰，齊潛軍至蔣山龍尾，斜趨莫府山北，至玄武廟西北。
HCH_011_006_000063	乙卯，司空陳霸先授衆軍節度，與齊軍交戰，大破之，斬齊北兗州刺史杜方慶及徐嗣徽、弟嗣宗，生擒徐嗣產、蕭軌、東方老、王敬寶、李希光、裴英起、劉歸義等，皆誅之。
HCH_011_006_000064	戊午，大赦天下，軍士身殞戰場，悉遣斂祭，其無家屬，卽爲瘞埋。
HCH_011_006_000065	辛酉，解嚴。
HCH_011_006_000066	秋七月丙子，車騎將軍、司空陳霸先進位司徒，加中書監，餘如故。
HCH_011_006_000067	丁亥，以開府儀同三司侯瑱爲司空。
HCH_011_006_000068	八月己酉，太保鄱陽王循薨。
HCH_011_006_000069	九月壬寅，改元大赦，孝悌力田賜爵一級，殊才異行所在奏聞，饑難流移勒歸本土。
HCH_011_006_000070	進新除司徒陳霸先爲丞相、錄尚書事、鎮衛大將軍、揚州牧，封義興郡公。
HCH_011_006_000071	中權將軍王沖卽本號開府儀同三司。
HCH_011_006_000072	吏部尚書王通爲尚書右僕射。
