HCH_010_007_000086	十二月辛未，手殺饔人海裏，復臠之。
HCH_010_007_000087	是冬，駐蹕黑河平澱。
HCH_010_007_000088	十八年春正月乙酉朔，宴於宮中，不受賀。
HCH_010_007_000089	己亥，觀燈於市。
HCH_010_007_000090	以銀百兩市酒，命群臣亦市酒，縱飲三夕。
HCH_010_007_000091	二月乙卯，幸五坊使霞實裏家，宴飲達旦。
HCH_010_007_000092	三月甲申朔，如潢河。
HCH_010_007_000093	乙酉，獲鴐鵝，祭天地。
HCH_010_007_000094	造大酒器，刻為鹿文，名曰「鹿甒」，貯酒以祭天。
HCH_010_007_000095	庚戌，殺鶻人胡特魯、近侍化葛及監囚海裏，仍剉海裏之屍。
HCH_010_007_000096	夏四月癸丑朔，殺彘人抄裏只。
HCH_010_007_000097	己巳，詔左右從班有材器幹局者，不次擢用；老耄者，增俸以休於家。
HCH_010_007_000098	五月丁亥，重五，以被酒，不受賀。
HCH_010_007_000099	壬辰，獲鵝於述古水，野飲終夜。
HCH_010_007_000100	丁酉，與政事令蕭排押、南京留守高勛、太師昭古、劉承訓等酣飲，連日夜。
HCH_010_007_000101	乙亥，殺鹿人頗德、臈哥、陶瑰、劄不哥、蘇古涅、雛保、彌古特、敵答等。
HCH_010_007_000102	六月丙辰，殺彘人屯奴。
HCH_010_007_000103	己未，為殿前都點檢夷臘葛置神帳，曲赦京畿囚。
HCH_010_007_000104	甲戌，撻烈於雕窠中得牝犬來進。
HCH_010_007_000105	是夏，清暑瑽潭。
HCH_010_007_000106	秋七月辛丑，漢主承鈞殂，子繼元立，來告，遣使吊祭。
HCH_010_007_000107	九月戊子，殺詳穩八剌、拽剌痕篤等四人。
HCH_010_007_000108	己丑，登小山祭天地。
HCH_010_007_000109	戊戌，知宋欲襲河東，諭西南面都統、南院大王撻烈豫為之備。
HCH_010_007_000110	乙亥，獵熊，以喚鹿人鋪姑並掖庭戶賜夷臘葛。
HCH_010_007_000111	甲辰，以夷臘葛兼政事令，仍以黑山東抹真之地數十里賜之，以女瑰為近侍，女直詳穩戛陌為本部夷離堇。
HCH_010_007_000112	是秋，獵於西京諸山。
HCH_010_007_000113	冬十月辛亥朔，宋圍太原，詔撻烈為兵馬總管，發諸道兵救之。
HCH_010_007_000114	十一月癸卯，冬至，被酒，不受賀。
HCH_010_007_000115	十二月丁丑，殺酒人搭烈葛。
HCH_010_007_000116	是冬，駐蹕黑山東川。
HCH_010_007_000117	十九年春正月乙卯朔，宴宮中，不受賀。
HCH_010_007_000118	己丑，立春，被酒，命殿前都點檢夷臘葛代行擊土牛禮。
HCH_010_007_000119	甲午，與群臣為葉格戲。
HCH_010_007_000120	戊戌，醉中驟加左右官。
HCH_010_007_000121	乙巳，詔太尉化哥曰：「朕醉中處事有乖，無得曲從。酒解，可覆奏。」
HCH_010_007_000122	自立春飲至月終，不聽政。
HCH_010_007_000123	二月甲寅，漢劉繼元嗣立，遣使乞封冊。
HCH_010_007_000124	辛酉，遣韓知範冊為皇帝。
HCH_010_007_000125	癸亥，殺前導末及益剌，剉其屍，棄之。
HCH_010_007_000126	甲子，漢遣使進白麃。
HCH_010_007_000127	己巳，如懷州，獵獲熊，歡飲方醉，馳還行宮。
HCH_010_007_000128	是夜，近侍小哥、盥人花哥、庖人辛古等六人反，帝遇弒，年三十九，廟號穆宗。
HCH_010_007_000129	後附葬懷陵。
HCH_010_007_000130	重熙二十一年，謚曰孝安敬正皇帝。
HCH_010_007_000131	贊曰：穆宗在位十八年，知女巫妖妄見誅，諭臣下濫刑切諫，非不明也。
HCH_010_007_000132	而荒耽於酒，畋獵無厭。
HCH_010_007_000133	偵鵝失期，加炮烙鐵梳之刑；獲鴨甚歡，除鷹坊刺面之令。
HCH_010_007_000134	賞罰無章，朝政不視，而嗜殺不已。
HCH_010_007_000135	變起肘腋，宜哉！
HCH_010_007_000136	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
