HCH_010_039_000064	唐沃州地。
HCH_010_039_000065	太祖俘民居木叶山下，因建城以迁之，号杏埚新城。
HCH_010_039_000066	复以辽西户益之，更曰新州。
HCH_010_039_000067	统和八年改今名。
HCH_010_039_000068	初刺史，后升。
HCH_010_039_000069	有黄柏岭、袅罗水、个没里水。
HCH_010_039_000070	属中京。
HCH_010_039_000071	统县一：沃野县。
HCH_010_039_000072	利州，中、观察。
HCH_010_039_000073	本中京阜俗县。
HCH_010_039_000074	统和二十六年置刺史州，开泰元年升。
HCH_010_039_000075	属中京。
HCH_010_039_000076	统县一：阜俗县。
HCH_010_039_000077	唐末，契丹渐炽，役使奚人，迁居琵琶川。
HCH_010_039_000078	统和四年置县。
HCH_010_039_000079	初隶彰愍宫，更隶中京。
HCH_010_039_000080	后置州，仍属中京。
HCH_010_039_000081	榆州，高平军，下，刺史。
HCH_010_039_000082	本汉临渝县地。
HCH_010_039_000083	后隶右北平骊城县。
HCH_010_039_000084	唐载初二年，析慎州置黎州，处靺鞨部落，后为奚人所据。
HCH_010_039_000085	太宗南征，横帐解里以所俘镇州民置州，开泰中没入。
HCH_010_039_000086	属中京。
HCH_010_039_000087	统县二：和众县。
HCH_010_039_000088	本新黎县地。
HCH_010_039_000089	永和县。
HCH_010_039_000090	本汉昌城县地。
HCH_010_039_000091	统和二十二年置。
HCH_010_039_000092	泽州，广济军，下，刺史。
HCH_010_039_000093	本汉土垠县地。
HCH_010_039_000094	太祖俘蔚州民，立寨居之，采炼陷河银冶。
HCH_010_039_000095	隶中京留守司。
HCH_010_039_000096	开泰中置泽州。
HCH_010_039_000097	有松亭关、神山、九宫岭、石子岭、泺河、撒河。
HCH_010_039_000098	属中京。
HCH_010_039_000099	统县二：神山县。
HCH_010_039_000100	神山在西南。
HCH_010_039_000101	滦河县。
HCH_010_039_000102	本汉徐无县地。
HCH_010_039_000103	属永兴宫。
HCH_010_039_000104	北安州，兴化军，上，刺史。
HCH_010_039_000105	本汉女祁县地，属上谷郡。
HCH_010_039_000106	晋为冯跋所据。
HCH_010_039_000107	唐为奚王府西省地。
HCH_010_039_000108	圣宗以汉户置北安州。
HCH_010_039_000109	属中京。
HCH_010_039_000110	统县一：兴化县。
HCH_010_039_000111	本汉且居县地。
HCH_010_039_000112	潭州，广润军，下，刺史。
HCH_010_039_000113	本中京之龙山县，开泰中置州，仍属中京。
HCH_010_039_000114	统县一：龙山县。
HCH_010_039_000115	本汉交黎县地。
HCH_010_039_000116	开泰二年以习家寨置。
HCH_010_039_000117	松山州，胜安地，下，刺史。
HCH_010_039_000118	开泰中置。
HCH_010_039_000119	统和八年省，复置。
HCH_010_039_000120	属中京。
HCH_010_039_000121	统县一：松山县。
HCH_010_039_000122	本汉文成县地。
HCH_010_039_000123	边松漠，商贾会冲。
HCH_010_039_000124	开泰二年置县。
HCH_010_039_000125	有松山川。
HCH_010_039_000126	宋王曾《上契丹事》曰：出燕京北门，至望京馆。
HCH_010_039_000127	五十里至顺州。
HCH_010_039_000128	七十里至檀州，渐入山。
HCH_010_039_000129	五十里至金沟馆。
HCH_010_039_000130	将至馆，川原平旷，谓之金沟淀。
HCH_010_039_000131	自此入山，诘曲登陟，无复里堠，但以马行记日，约其里数。
HCH_010_039_000132	九十里至古北口，两傍峻崖，仅容车轨。
HCH_010_039_000133	又度德胜岭，盘道数层，俗名思乡岭，八十里至新馆。
HCH_010_039_000134	过雕窠岭、偏枪岭，四十里至如来馆。
HCH_010_039_000135	过乌泺河，东有滦州，又过摸斗岭，一名渡云岭，芹菜岭，七十里至柳河馆。
HCH_010_039_000136	松亭岭甚险峻，七十里至打造部落馆。
HCH_010_039_000137	东南行五十里至牛山馆。
HCH_010_039_000138	八十里至鹿儿峡馆。
HCH_010_039_000139	过虾蟆岭，九十里至铁桨馆。
HCH_010_039_000140	过石子岭，自此渐出山，七十里至富谷馆。
HCH_010_039_000141	八十里至通天馆，二十里至中京大定府。
HCH_010_039_000142	城垣卑小，方圆才四里许。
HCH_010_039_000143	门但重屋，无筑阇之制。
HCH_010_039_000144	南门曰朱夏，门内通步廊，多坊门。
HCH_010_039_000145	又有市楼四：曰天方、大衢、通闤、望阙。
HCH_010_039_000146	次至大同馆。
HCH_010_039_000147	其门正北曰阳德、阊阖。
HCH_010_039_000148	城内西南隅冈上有寺。
HCH_010_039_000149	城南有园圃，宴射之所。
HCH_010_039_000150	自过古北口，居人草庵板屋，耕种，但无桑柘；所种皆从垅上，虞吹沙所壅。
HCH_010_039_000151	山中长松郁然，深谷中时见畜牧牛马橐驼，多青羊黄豕。
HCH_010_039_000152	成州，兴府军，节度。
