HCH_012_197_000061	書乃會廷臣上言：「顯陵，先帝體魄所藏，不可輕動。昔高皇帝不遷祖陵，文皇帝不遷孝陵。全等諂諛小人，妄論山陵，宜下法司按問。」
HCH_012_197_000062	帝報曰：「先帝陵寢在遠，朕朝夕思望，不勝哀痛，其再詳議以聞。」
HCH_012_197_000063	書復集眾議，極言不可，乃已。
HCH_012_197_000064	書以「大禮」告成，宜有以答天下望，乃條新政十二事以獻，帝優旨報焉。
HCH_012_197_000065	大同軍變，殺巡撫張文錦，毀總兵官江桓印，而出故帥朱振於獄，令代桓。
HCH_012_197_000066	帝因而命之，諭禮部鑄新印。
HCH_012_197_000067	書持不可，請討之，與政府忤。
HCH_012_197_000068	時執政者費宏、石缶、賈詠，書心弗善也，乃力薦楊一清、王守仁入閣，且曰：「今諸大臣皆中材，無足與計天下事。定亂濟時，非守仁不可。」
HCH_012_197_000069	帝曰：「書為大臣，當抒猷略，共濟時艱，何以中材自諉。」
HCH_012_197_000070	守仁迄不獲柄用。
HCH_012_197_000071	四年，光祿寺丞何淵請建世室，祀獻皇帝於太廟。
HCH_012_197_000072	帝命禮官集議，書等上議；「《王制》：『天子七廟，三昭三穆』。周以文、武有大功德，乃立世室，與後稷廟皆百世不遷。我太祖立四親廟，德祖居北，後改同堂異室。議祧則以太祖擬文世室，太宗擬武世室。今獻皇帝以藩王追崇帝號，何淵乃欲比之太祖、太宗，立世室於太廟，甚無據。」
HCH_012_197_000073	不報。
HCH_012_197_000074	頃之，張璁特奏上，力言不可，書亦三疏如璁議。
HCH_012_197_000075	帝遣中官即其家諭之，書復密疏切諫。
HCH_012_197_000076	帝不悅，責以畏眾飾奸。
HCH_012_197_000077	乃議別立禰廟，而世室之議竟寢。
HCH_012_197_000078	五年秋，章聖太后將謁世廟，禮官議不合。
HCH_012_197_000079	書以目眚在告，上言：「母後謁廟，事出創聞，禮官實無所據，惟聖明裁酌。且世廟既成，宜有肆赦之典，請盡還議禮遣戍諸臣。所謂合萬國之歡心以祀先王，此天子大孝也。」
HCH_012_197_000080	報聞。
HCH_012_197_000081	書以議禮受帝知，倚為親臣。
HCH_012_197_000082	初進《大禮集議》，加太子太保，尋以《獻帝實錄》成，進少保。
HCH_012_197_000083	眷顧隆異，雖諸輔臣莫敢望。
HCH_012_197_000084	而書得疾不能視事，屢疏乞休，舉羅欽順自代，帝輒慰留不允。
HCH_012_197_000085	其後疾篤，請益力，詔加武英殿大學士，賜第京師，支俸如故。
HCH_012_197_000086	甫聞命而卒。
HCH_012_197_000087	贈太傅，謚文襄，任一子尚寶丞，異數也。
HCH_012_197_000088	書遇事敢為，性頗偏愎。
HCH_012_197_000089	初，長沙人李鑒為盜，知府宋卿論之死。
HCH_012_197_000090	書方巡撫湖廣，發卿贓私，因劾卿故入鑒罪。
HCH_012_197_000091	帝遣大臣按，不如書言。
HCH_012_197_000092	而書時已得幸，乃命逮鑒入京再訊。
HCH_012_197_000093	書遂言：「臣以議禮犯眾怒，故刑官率右卿而重鑒罪，請敕法司辨雪。」
HCH_012_197_000094	及法司讞上無異詞，帝重違書意，特減鑒死遣戍。
HCH_012_197_000095	其他庇陳洸，排費宏，率恣行私意，為時論所斥。
HCH_012_197_000096	弟春、篆。
HCH_012_197_000097	春由庶吉士授御史，巡雲南。
HCH_012_197_000098	以兄為都御史，改翰林檢討。
