HCH_009_009_000069	丙子，進封趙王永中漢王，曹王永功冀王，豳王永成吳王，虞王永升隨王，徐王永蹈衛王，滕王永濟潞王，薛王永德潘王。
HCH_009_009_000070	庚辰，宋遣使來賀即位。
HCH_009_009_000071	癸未，朝于隆慶宮。
HCH_009_009_000072	詔學士院，自今誥詞並用四六。
HCH_009_009_000073	乙酉，詔諸有出身承應人，系將來受親民之職，可命所屬諭使為學。
HCH_009_009_000074	其護衛、符寶、奉禦、奉職，侍直近密，當選有德行學問之人為之教授。
HCH_009_009_000075	六月己丑朔，有司言：「律科舉人止知讀律，不知教化之原，必使通治《論語》、《孟子》，涵養器度。遇府、會試，委經義試官出題別試，與本科通定去留為宜。」
HCH_009_009_000076	從之。
HCH_009_009_000077	詔有司，請親王到任各給錢二十萬。
HCH_009_009_000078	辛卯，修起居注完顏烏者、同知登聞檢院孫鐸皆上書諫罷圍獵，上納其言。
HCH_009_009_000079	拾遺馬升上《儉德箴》。
HCH_009_009_000080	乙未，初置提刑司，分按九路，並兼勸農採訪事，屯田、鎮防諸軍皆屬焉。
HCH_009_009_000081	丁酉，幸慶壽寺。
HCH_009_009_000082	作瀘溝石橋。
HCH_009_009_000083	己亥，朝于隆慶官。
HCH_009_009_000084	甲辰，罷送赦禮物錢，朝于隆慶官。
HCH_009_009_000085	乙卯，高麗國王皓遣使來弔祭及會葬。
HCH_009_009_000086	敕有司移報宋、高麗、夏，天壽節於九月一日來賀。
HCH_009_009_000087	丁巳，命提刑官除後於便殿聽旨，每十月使副內一員入見議事，如止一員則令判官入見，其判官所掌煩劇可升同隨朝職任。
HCH_009_009_000088	秋七月辛酉，減民地稅十之一，河東南、北路十之二，下田十之三。
HCH_009_009_000089	甲子，朝于隆慶宮。
HCH_009_009_000090	乙丑，敕近侍官授外任三品、四品、賜金帶一，重幣有差。
HCH_009_009_000091	丁卯，以太尉、尚書令東平郡王徒單克甯為太傅，改封金源郡王。
HCH_009_009_000092	辛未，高麗遣使來賀即位。
HCH_009_009_000093	甲戌，奉皇太后幸壽安宮。
HCH_009_009_000094	辛巳，詔京、府、節鎮、防禦州設學養士。
HCH_009_009_000095	初設經童科。
HCH_009_009_000096	御史大夫唐括貢罷。
HCH_009_009_000097	禮部尚書移剌履為參知政事。
HCH_009_009_000098	以刑部尚書完顏守貞等為賀宋生日使。
HCH_009_009_000099	八月戊子朔，奉皇太后幸壽安宮。
HCH_009_009_000100	辛卯，敕有司，京、府、州、鎮設學校處，其長貳幕職內各以進士官提控其事，仍具入銜。
HCH_009_009_000101	壬辰，初定品官子孫試補令史格，及提刑部司所掌三十二條。
HCH_009_009_000102	左司諫敦安民上疏論三事：曰崇節儉，去嗜欲，廣學問。
HCH_009_009_000103	丁酉，如大房山。
HCH_009_009_000104	戊戌，謁奠諸陵。
HCH_009_009_000105	己亥，還都。
HCH_009_009_000106	庚子，朝于隆慶宮，是月凡三朝。
HCH_009_009_000107	壬寅，制提刑司設女直、契丹、漢兒知法各一人。
HCH_009_009_000108	甲辰，參知政事劉瑋罷。
HCH_009_009_000109	丙辰，宋、高麗、夏遣使來賀天壽節。
HCH_009_009_000110	九月戊午朔，天壽節，以世宗喪，不受朝。
HCH_009_009_000111	庚申，詔增守山陵為二十丁，給地十頃。
HCH_009_009_000112	壬戌，詔罷告捕亂言人賞。
HCH_009_009_000113	甲子，制諸盜賊聚集至十人，或騎五人以上，所屬移捕盜官捕之，仍遞言省部，三十人以上聞奏，違者杖百。
HCH_009_009_000114	是日，朝于隆慶宮。
HCH_009_009_000115	是月凡四朝。
HCH_009_009_000116	丁卯，制強族大姓不得與所屬官吏交往，違者有罪。
HCH_009_009_000117	戊辰，以隆慶宮衛尉把思忠為夏國生日使。
HCH_009_009_000118	庚午，以尚輦局使崇德為橫賜高麗使。
HCH_009_009_000119	丙子，獵於近郊。
HCH_009_009_000120	戊寅，監察御史焦旭劾奏太傅克甯、右丞相襄不應請車駕田獵，上曰：「此小事，不須治之。」
HCH_009_009_000121	乙酉，如大房山。
HCH_009_009_000122	冬十月丁亥朔，謁奠諸陵。
HCH_009_009_000123	己丑，還都。
HCH_009_009_000124	庚寅，朝于隆慶宮，是月凡四朝。
HCH_009_009_000125	辛卯，上顧謂宰臣曰：「翰林闕人。」
HCH_009_009_000126	平章政事汝霖對曰：「鳳翔治中郝俁可。」
HCH_009_009_000127	汝霖諫止田獵，詔答曰：「卿能每事如此，朕複何憂？然時異事殊，得中為當。」
HCH_009_009_000128	丙申，冬獵。
HCH_009_009_000129	己亥，次羅山。
HCH_009_009_000130	庚子，次玉田。
