HCH_012_077_000083	供給日久，貧乏逃竄，輒選其本籍殷實戶僉補。
HCH_012_077_000084	宣德間定制，逃者發邊充軍，官司鄰裏隱匿者俱坐罪。
HCH_012_077_000085	弘治五年始免解在逃富戶，每戶徵銀三兩，與廂民助役。
HCH_012_077_000086	嘉靖中減為二兩，以充邊餉。
HCH_012_077_000087	太祖立法之意，本仿漢徙富民實關中之制，其後事久弊生，遂為厲階。
HCH_012_077_000088	戶口之數，增減不一，其可考者，洪武二十六年，天下戶一千六十五萬二千八百七十，口六千五十四萬五千八百十二。
HCH_012_077_000089	弘治四年，戶九百十一萬三千四百四十六，口五千三百二十八萬一千一百五十八。
HCH_012_077_000090	萬曆六年，戶一千六十二萬一千四百三十六，口六千六十九萬二千八百五十六。
HCH_012_077_000091	太祖當兵燹之後，戶口顧極盛。
HCH_012_077_000092	其後承平日久，反不及焉。
HCH_012_077_000093	靖難兵起，淮以北鞠為茂草，其時民數反增於前。
HCH_012_077_000094	後乃遞減，至天順間為最衰。
HCH_012_077_000095	成、弘繼盛，正德以後又減。
HCH_012_077_000096	戶口所以減者，周忱謂：「投倚於豪門，或冒匠竄兩京，或冒引賈四方，舉家舟居，莫可蹤跡也。」
HCH_012_077_000097	而要之，戶口增減，由於政令張弛。
HCH_012_077_000098	故宣宗嘗與羣臣論歷代戶口，以為「其盛也，本於休養生息，其衰也，由土木兵戎」，殆篤論云。
HCH_012_077_000099	明土田之制，凡二等：曰官田，曰民田。
HCH_012_077_000100	初，官田皆宋、元時入官田地。
HCH_012_077_000101	厥後有還官田，沒官田，斷入官田，學田，皇莊，牧馬草場，城鵒需苜蓿地，牲地，園陵墳地，公佔隙地，諸王、公主、勳戚、大臣、內監、寺觀賜乞莊田，百官職田，邊臣養廉田，軍、民、商屯田，通謂之官田。
HCH_012_077_000102	其餘為民田。
HCH_012_077_000103	元季喪亂，版籍多亡，田賦無準。
HCH_012_077_000104	明太祖即帝位，遣周鑄等百六十四人，核浙西田畝，定其賦稅。
HCH_012_077_000105	復命戶部核實天下土田。
HCH_012_077_000106	而兩浙富民畏避徭役，大率以田產寄他戶，謂之鐵腳詭寄。
HCH_012_077_000107	洪武二十年命國子生武淳等分行州縣，隨糧定區。
HCH_012_077_000108	區設糧長四人，量度田畝方圓，次以字型大小，悉書主名及田之丈尺，編類為冊，狀如魚鱗，號曰魚鱗圖冊。
HCH_012_077_000109	先是，詔天下編黃冊，以戶為主，詳具舊管、新收、開除、實在之數為四柱式。
HCH_012_077_000110	而魚鱗圖冊以土田為主，諸原阪、墳衍、下隰、沃瘠、沙鹵之別畢具。
HCH_012_077_000111	魚鱗冊為經，土田之訟質焉。
HCH_012_077_000112	黃冊為緯，賦役之法定焉。
HCH_012_077_000113	凡質賣田土，備書稅糧科則，官為籍記之，毋令產去稅存以為民害。
HCH_012_077_000114	又以中原田多蕪，命省臣議，計民授田。
HCH_012_077_000115	設司農司，開治河南，掌其事。
HCH_012_077_000116	臨濠之田，驗其丁力，計畝給之，毋許兼併。
HCH_012_077_000117	北方近城地多不治，召民耕，人給十五畝，蔬地二畝，免租三年。
HCH_012_077_000118	每歲中書省奏天下墾田數，少者畝以千計，多者至二十餘萬。
HCH_012_077_000119	官給牛及農具者，乃收其稅，額外墾荒者永不起科。
HCH_012_077_000120	二十六年核天下土田，總八百五十萬七千六百二十三頃，蓋駸駸無棄土矣。
HCH_012_077_000121	凡田以近郭為上地，迤遠為中地、下地。
HCH_012_077_000122	五尺為步，步二百四十為畝，畝百為頃。
HCH_012_077_000123	太祖仍元裏社制，河北諸州縣土著者以社分裏甲，遷民分屯之地以屯分裏甲。
HCH_012_077_000124	社民先佔畝廣，屯民新佔畝狹，故屯地謂之小畝，社地謂之廣畝。
HCH_012_077_000125	至宣德間，墾荒田永不起科及洿下斥鹵無糧者，皆核入賦額，數溢於舊。
HCH_012_077_000126	有司乃以大畝當小畝以符舊額，有數畝當一畝者。
HCH_012_077_000127	步尺參差不一，人得以意贏縮，土地不均，未有如北方者。
