HCH_012_151_000092	在浙十年，名與張紞埒。
HCH_012_151_000093	帝嘗稱於朝，以勸庶僚。
HCH_012_151_000094	建文初，拜戶部尚書。
HCH_012_151_000095	成祖入，逾城走，為邏卒所執。
HCH_012_151_000096	詔仍故官。
HCH_012_151_000097	未幾，與紞俱罷。
HCH_012_151_000098	尋命同工部尚書嚴震直等分巡山西、河南、陜西、山東，又同新昌伯唐雲經理北平屯種。
HCH_012_151_000099	承制再上疏言事，皆允行。
HCH_012_151_000100	永樂二年四月賜敕以布政使致仕。
HCH_012_151_000101	既歸，郁郁死。
HCH_012_151_000102	子淪，永樂四年進士。
HCH_012_151_000103	仁宗時遷鄭王府左長史，數以禮諫王。
HCH_012_151_000104	嘗擬荀卿《成相篇》，撰十二章以獻。
HCH_012_151_000105	語切，與王不合。
HCH_012_151_000106	召改戶部郎中。
HCH_012_151_000107	英宗即位，擢戶部右侍郎，巡撫浙江，有惠政。
HCH_012_151_000108	母喪起復，入覲，留攝部事。
HCH_012_151_000109	尋以老乞歸，卒。
HCH_012_151_000110	鄭賜，字彥嘉，建寧人。
HCH_012_151_000111	洪武十八年進士。
HCH_012_151_000112	授監察御史。
HCH_012_151_000113	時天下郡邑吏多坐罪謫戍，賜嘗奉命於龍江編次行伍。
HCH_012_151_000114	方暑，諸囚憊甚。
HCH_012_151_000115	賜脫其械，俾僦舍止息，周其飲食，病者與醫藥，多所全活。
HCH_012_151_000116	秩滿當遷，湖廣布政司參議闕，命賜與檢討吳文為之。
HCH_012_151_000117	二人協心劃弊，民以寧輯，苗獠畏懷。
HCH_012_151_000118	母喪，去。
HCH_012_151_000119	服除，改北平參議，事成祖甚謹。
HCH_012_151_000120	復坐累謫戍安東屯。
HCH_012_151_000121	及惠帝即位，成祖及楚王楨皆舉賜為長史。
HCH_012_151_000122	不許，召為工部尚書。
HCH_012_151_000123	燕兵起，督河南軍扼燕。
HCH_012_151_000124	成祖入京師，李景隆訐賜罪亞齊、黃。
HCH_012_151_000125	逮至，帝曰：「吾於汝何如，乃相背耶？」
HCH_012_151_000126	賜曰：「盡臣職耳。」
HCH_012_151_000127	帝笑釋之，授刑部尚書。
HCH_012_151_000128	永樂元年，劾都督孫嶽擅毀太祖所建寺，詔安置海南。
HCH_012_151_000129	嶽，建文時守鳳陽，嘗毀寺材，修戰艦以禦燕軍，燕知其有備，取他道南下，故賜劾之。
HCH_012_151_000130	二年劾李景隆陰養亡命，謀不軌。
HCH_012_151_000131	又與陳瑛同劾耿炳文僭侈，炳文自經死。
HCH_012_151_000132	皆揣帝意所惡者。
HCH_012_151_000133	祁陽教諭康孔高朝京師還，枉道省母。
HCH_012_151_000134	會母疾，留侍九閱月不行。
HCH_012_151_000135	賜請逮問孔高，罪當杖。
HCH_012_151_000136	帝曰：「母子暌數年，一旦相見難遽舍，況有疾，可矜也。」
HCH_012_151_000137	命復其官。
HCH_012_151_000138	三年秋，代李至剛為禮部尚書。
HCH_012_151_000139	四年正月，西域貢佛舍利，賜因請釋囚。
HCH_012_151_000140	帝曰：「梁武、元順溺佛教，有罪者不刑，紀綱大壞，此豈可效！」
HCH_012_151_000141	是年六月朔，日當食，陰雲不見，賜請賀。
HCH_012_151_000142	不許。
HCH_012_151_000143	賜言「宋盛時嘗行之。」
HCH_012_151_000144	帝曰：「天下大矣，京師不見，如天下見之何？」
HCH_012_151_000145	卒不許。
HCH_012_151_000146	賜為人頗和厚，然不識大體，帝意輕之。
HCH_012_151_000147	為同官趙羾所間，六年六月憂悸卒。
HCH_012_151_000148	帝疑其自盡。
HCH_012_151_000149	楊士奇曰：「賜有疾數日，惶懼不敢求退。昨立右順門，力不支仆地，口鼻有噓無吸。」
HCH_012_151_000150	語未竟，帝曰：「微汝言，幾誤疑賜。賜固善人，才短耳。」
HCH_012_151_000151	命予葬祭。
HCH_012_151_000152	洪熙元年贈太子少保，謚文安。
HCH_012_151_000153	郭資，武安人。
HCH_012_151_000154	洪武十八年進士。
HCH_012_151_000155	累官北平左布政使，陰附於成祖。
HCH_012_151_000156	及兵起，張昺等死，資與左參政孫瑜、按察司副使墨麟、僉事呂震率先降，呼萬歲。
HCH_012_151_000157	成祖悅，命輔世子居守。
HCH_012_151_000158	成祖轉戰三年，資主給軍餉。
HCH_012_151_000159	及即位，以資為戶部尚書，掌北平布政司。
HCH_012_151_000160	北京建，改行部尚書，統六曹事。
HCH_012_151_000161	定都，仍改戶部。
HCH_012_151_000162	時營城郭宮殿，置官吏及出塞北征，工役繁興，資舉職無廢事。
HCH_012_151_000163	仁宗立，以舊勞兼太子賓客。
HCH_012_151_000164	尋以老病，加太子太師，賜敕致仕。
HCH_012_151_000165	宣德四年，復起戶部尚書，奉職益勤。
HCH_012_151_000166	八年十二月卒，年七十三。
HCH_012_151_000167	贈湯陰伯，謚忠襄。
HCH_012_151_000168	官其子佑戶部主事。
HCH_012_151_000169	資治錢穀有能稱，仁宗嘗以問楊士奇。
HCH_012_151_000170	對曰：「資性強毅，人不能幹以私。然蠲租詔數下不奉行，使陛下恩澤不流者，資也。」
HCH_012_151_000171	呂震，字克聲，臨潼人。
HCH_012_151_000172	洪武十九年以鄉舉入太學。
HCH_012_151_000173	時命太學生出稽郡邑壤地，以均貢賦。
HCH_012_151_000174	震承檄之兩浙，還奏稱旨，擢山東按察司試僉事。
HCH_012_151_000175	入為戶部主事，遷北平按察司僉事。
HCH_012_151_000176	燕兵起，震降於成祖，命侍世子居守。
HCH_012_151_000177	永樂初，遷真定知府，入為大理寺少卿。
HCH_012_151_000178	三年遷刑部尚書。
HCH_012_151_000179	六年改禮部。
HCH_012_151_000180	皇太子監國，震婿主事張鶴朝參失儀，太子以震故宥之。
HCH_012_151_000181	帝聞之怒，下震及蹇義於錦衣衛獄。
HCH_012_151_000182	已，復職。
HCH_012_151_000183	仁宗即位，命兼太子少師，尋進太子太保兼禮部尚書。
HCH_012_151_000184	宣德元年四月卒。
HCH_012_151_000185	震嘗三奉命省親，兩值關中饑，令所司出粟振之，還始以聞。
HCH_012_151_000186	然無學術，為禮官，不知大體。
HCH_012_151_000187	成祖崩，遺詔二十七日釋缞服。
HCH_012_151_000188	及期，震建議群臣皆易烏紗帽，黑角帶。
HCH_012_151_000189	近臣言：「仁孝皇后崩，既釋缞服，太宗易素冠布腰绖。」
HCH_012_151_000190	震勃然變色，詆其異己。
HCH_012_151_000191	仁宗黜震議，易素冠布腰绖。
HCH_012_151_000192	洪熙元年，分遣群臣祀嶽鎮海瀆及先代帝王陵，震乞祀周文、武、成、康。
HCH_012_151_000193	便道省母，私以妻喪柩與香帛同載。
HCH_012_151_000194	祀太廟致齋，飲酒西番僧舍，大醉歸，一夕卒。
HCH_012_151_000195	震為人佞諛傾險。
HCH_012_151_000196	永樂時，曹縣獻騶虞，榜葛剌國、麻林國進麒麟，震請賀。
HCH_012_151_000197	帝曰：「天下治安，無麒麒何害？」
HCH_012_151_000198	貴州布政使蔣廷瓚言：「帝北征班師，詔至思南大巖山，有呼萬歲者三。」
HCH_012_151_000199	震言：「此山川效靈。」
HCH_012_151_000200	帝曰：「山谷之聲，空虛相應，理或有之。震為國大臣，不能辯其非，又欲因之進媚，豈君子事君之道？」
HCH_012_151_000201	郎中周訥請封禪，震力贊之，帝責其謬。
HCH_012_151_000202	震雖累受面斥，然終不能改。
HCH_012_151_000203	金水河、太液池冰，具樓閣龍鳳花卉狀。
HCH_012_151_000204	帝召群臣觀之。
HCH_012_151_000205	震因請賀。
HCH_012_151_000206	不許。
HCH_012_151_000207	而隆平侯張信奏太和山五色雲見，侍郎胡濙圖上瑞光榔梅靈芝，震率群臣先後表賀云。
HCH_012_151_000208	成祖初巡北京，命定太子留守事宜。
HCH_012_151_000209	震請常事聽太子處分，章奏分貯南京六科，回鑾日通奏。
HCH_012_151_000210	報可。
HCH_012_151_000211	十一年、十四年，震再請如前制。
HCH_012_151_000212	十七年，帝在北京，因事索章奏，侍臣言留南京。
HCH_012_151_000213	帝忘震前請，曰：「章奏宜達行在，豈禮部別有議耶？」
HCH_012_151_000214	問震。
HCH_012_151_000215	震懼罪，曰：「無之，奏章當達行在。」
HCH_012_151_000216	三問，對如前。
HCH_012_151_000217	遂以擅留奏章，殺右給事中李能。
HCH_012_151_000218	眾知能冤，畏震莫敢言。
HCH_012_151_000219	尹昌隆之禍，由震構之。
HCH_012_151_000220	事具《昌隆傳》。
HCH_012_151_000221	夏原吉、方賓以言北征餉絀得罪，以震兼領戶、兵部事。
HCH_012_151_000222	震亦自危。
HCH_012_151_000223	帝令官校十人隨之，曰：「若震自盡，爾十人皆死。」
HCH_012_151_000224	震有精力，能強記，才足以濟其為人。
HCH_012_151_000225	凡奏事，他尚書皆執副本，又與左右侍郎更進叠奏。
HCH_012_151_000226	震既兼三部，奏牘益多，皆自占奏，侍郎不與也。
HCH_012_151_000227	情狀委曲，千緒萬端，背誦如流，未嘗有誤。
HCH_012_151_000228	嘗扈北狩，帝見碑立沙磧中，率從臣讀其文。
HCH_012_151_000229	後一年，與諸文學臣語及碑，詔禮部遣官往錄之。
HCH_012_151_000230	震言不須遣使，請筆劄帝前疏之。
HCH_012_151_000231	帝密使人拓其本校之，無一字脫誤者。
HCH_012_151_000232	子熊。
HCH_012_151_000233	宣宗初立，震數於帝前乞官，至流涕。
HCH_012_151_000234	帝不得已，授兵科給事中。
HCH_012_151_000235	李至剛，名鋼，以字行，松江華亭人。
HCH_012_151_000236	洪武二十一年舉明經。
HCH_012_151_000237	選侍懿文太子，授禮部郎中。
HCH_012_151_000238	坐累謫戍邊，尋召為工部郎中，遷河南右參議。
HCH_012_151_000239	河決汴堤，至剛議借王府積木，作筏濟之。
HCH_012_151_000240	建文中，調湖廣左參議，坐事繫獄。
HCH_012_151_000241	成祖即位，左右稱其才，遂以為右通政。
HCH_012_151_000242	與修《太祖實錄》，朝夕在上左右，稱說洪武中事，甚見親信。
HCH_012_151_000243	尋進禮部尚書。
HCH_012_151_000244	永樂二年冊立皇太子，至剛兼左春坊大學士，直東宮講筵，與解縉後先進講。
HCH_012_151_000245	已，復坐事下獄，久之得釋，降禮部郎中。
HCH_012_151_000246	恨解縉，中傷之。
HCH_012_151_000247	縉下獄，詞連至剛，亦坐繫十餘年。
HCH_012_151_000248	仁宗即位，得釋，復以為左通政。
HCH_012_151_000249	給事中梁盛等劾至剛輩十餘人，當大行晏駕，不宿公署，飲酒食肉，恬無戚容。
HCH_012_151_000250	帝念至剛先朝舊人，出為興化知府，時年已七十。
HCH_012_151_000251	再歲，歿於官。
HCH_012_151_000252	至剛為人敏給，能治繁劇，善傅會。
HCH_012_151_000253	首發建都北平議，請禁言事者挾私，成祖從之。
HCH_012_151_000254	既得上心，務為佞諛。
HCH_012_151_000255	嘗言太祖忌辰，宜效宋制，令僧道誦經。
HCH_012_151_000256	山東野蠶成繭，至剛請賀。
HCH_012_151_000257	陜西進瑞麥，至剛率百官賀。
HCH_012_151_000258	帝皆不聽。
HCH_012_151_000259	中官使真臘，從者逃三人，國王以國中三人補之。
HCH_012_151_000260	帝令遣還，至剛言：「中國三人，安知非彼私匿？」
HCH_012_151_000261	帝曰：「朕以至誠待內外，何用逆詐。」
HCH_012_151_000262	所建白多不用。
HCH_012_151_000263	妻父麗重法，至剛為乞免。
HCH_012_151_000264	帝曰：「獄輕重，外人何以知之？」
HCH_012_151_000265	至剛曰：「都御史黃信為臣言。」
HCH_012_151_000266	帝怒，誅信。
HCH_012_151_000267	初，至剛與解縉交甚厚。
HCH_012_151_000268	帝書大臣姓名十人，命縉疏其人品，言至剛不端。
HCH_012_151_000269	縉謫廣西，至剛遂奏其怨望，改謫交阯。
HCH_012_151_000270	方賓，錢塘人。
HCH_012_151_000271	洪武時由太學生試兵部郎中。
HCH_012_151_000272	建文中，署應天府事。
HCH_012_151_000273	坐罪戍廣東。
HCH_012_151_000274	以茹常薦，召復官。
HCH_012_151_000275	成祖入京師，賓與侍郎劉俊等迎附，特見委用，進兵部侍郎。
HCH_012_151_000276	四年，俊以尚書出征黎利，賓理部事，有幹才，應務不滯。
HCH_012_151_000277	性警敏，能揣上意，見知於帝，頗恃寵貪恣。
