HCH_012_179_000089	塗棐，天順四年進士。
HCH_012_179_000090	成化中嘗言：「祖宗朝，政事必與大臣面議。自先帝幼沖，未能裁決，柄國者慮其缺遺，假簡易之辭，以便宣布。凡視朝奏事，諭旨輒曰：「所司知之」。此一時權宜，非可循為定制。況批答多參以中官，內閣或不與，尤乖祖制。乞復面議，杜蔽壅之弊。」
HCH_012_179_000091	憲宗不能用。
HCH_012_179_000092	終廣東副使。
HCH_012_179_000093	章懋，字德懋，蘭溪人。
HCH_012_179_000094	成化二年會試第一，成進士，改庶吉王。
HCH_012_179_000095	明年冬，授編修。
HCH_012_179_000096	憲宗將以元夕張燈，命詞臣撰詩詞進奉。
HCH_012_179_000097	懋與同官黃仲昭、檢討莊昶疏諫曰：「頃諭臣等撰鰲山煙火詩詞，臣等竊議，此必非陛下本懷，或以兩宮聖母在上，欲備極孝養奉其歡心耳。然大孝在乎養誌，不可徒陳耳目之玩以為養也。今川東未靖，遼左多虞，江西、湖廣赤地數千里，萬姓嗷嗷，張口待哺，此正陛下宵旰焦勞，兩宮母後同憂天下之日。至翰林官以論思為職，鄙俚之言豈宜進於君上。伏讀宣宗皇帝御制《翰林箴》有曰『啟沃之言，唯義與仁。堯、舜之道，鄒、魯以陳。』張燈豈堯、舜之道，詩詞豈仁義之言？若謂煙火細故不足為聖德累，則舜何必不造漆器，禹何必不嗜旨酒，漢文何必不作露臺？古帝王慎小謹微必矜細行者，正以欲不可縱，漸不可長也。伏乞將煙火停止，移此視聽以明目達聰，省此資財以振饑恤困，則災祲可銷，太平可致。」
HCH_012_179_000098	帝以元夕張燈，祖宗故事，惡懋等妄言，並杖之闕下，左遷其官。
HCH_012_179_000099	修撰羅倫先以言事被黜，時稱「翰林四諫」。
HCH_012_179_000100	懋既貶臨武知縣，未行，以給事中毛弘等論救，改南京大理左評事。
HCH_012_179_000101	逾三年，遷福建僉事。
HCH_012_179_000102	平泰寧、沙、尤賊，聽福安民采礦以杜盜源，建議番貨互通貿易以裕商民，政績甚著。
HCH_012_179_000103	滿考入都，年止四十一，力求致仕。
HCH_012_179_000104	吏部尚書尹旻固留之，不可。
HCH_012_179_000105	既歸，屏跡不入城府。
HCH_012_179_000106	奉親之暇，專以讀書講學為事，弟子執經者日益進。
HCH_012_179_000107	貧無供具，惟脫粟菜羹而已。
HCH_012_179_000108	四方學士大夫高其風，稱為「楓山先生」。
HCH_012_179_000109	家居二十餘年，中外交薦，部檄屢起之，以親老堅不赴。
HCH_012_179_000110	弘治中，孝宗登用群賢。
HCH_012_179_000111	眾議兩京國學當用名儒，起謝鐸於北監。
HCH_012_179_000112	及南監缺祭酒，遂以懋補之。
HCH_012_179_000113	懋方遭父憂不就。
HCH_012_179_000114	時南監缺司業且二十年，詔特以羅欽順為之，而虛位以待懋。
HCH_012_179_000115	十六年，服闋，懋復固辭。
HCH_012_179_000116	不允，始蒞任。
HCH_012_179_000117	六館士人人自以為得師。
HCH_012_179_000118	監生尤樾母病，例不得歸省，晝夜泣。
HCH_012_179_000119	懋遣之歸，曰：「吾寧以違制獲罪。」
HCH_012_179_000120	武宗立，陳勤聖學、隆繼述、謹大婚、重詔令、敬天戒五事。
HCH_012_179_000121	正德元年乞休，五疏不允。
HCH_012_179_000122	復引疾懇辭，明年三月始得請。
HCH_012_179_000123	五年起南京太常卿，明年又起為南京禮部右侍郎，皆力辭不就。
HCH_012_179_000124	言者屢陳懋德望，請加優禮，詔有司歲時存問。
HCH_012_179_000125	世宗嗣位，即家進南京禮部尚書，致仕。
HCH_012_179_000126	其冬，遣行人存問，而懋已卒，年八十六。
HCH_012_179_000127	贈太子少保，謚文懿。
HCH_012_179_000128	懋為學，恪守先儒訓。
HCH_012_179_000129	或諷為文章，曰：「小技耳，予弗暇。」
HCH_012_179_000130	有勸以著述者，曰：「先儒之言至矣，芟其繁可也。」
HCH_012_179_000131	通籍五十餘年，歷俸僅滿三考。
HCH_012_179_000132	難進易退，世皆高之。
HCH_012_179_000133	生三子，兼令業農。
HCH_012_179_000134	縣令過之，諸子釋耒跪迎，人不知其貴公子也。
HCH_012_179_000135	子省懋於南監，徒步往，道為巡檢所笞，已知而請罪，懋慰遣之。
HCH_012_179_000136	晚年，三子一孫盡死。
HCH_012_179_000137	年八十二生少子接，後以蔭為國子生。
HCH_012_179_000138	從子拯，字以道。
HCH_012_179_000139	幼從懋學，登弘治十五年進士，為刑部主事。
HCH_012_179_000140	正德初，忤劉瑾，下詔獄，謫梧州府通判。
HCH_012_179_000141	謹誅，擢南京兵部郎中。
HCH_012_179_000142	嘉靖中，累官工部尚書。
HCH_012_179_000143	桂萼欲復海運，延公卿議得失，拯曰：「海運雖有故事，而風濤百倍於河。且天津海口多淤，自古不聞有浚海者。」
HCH_012_179_000144	議遂寢。
HCH_012_179_000145	南北郊議起，拯言不可，失帝意。
HCH_012_179_000146	尋坐郊壇祭器缺供，落職歸。
HCH_012_179_000147	久之復官。
HCH_012_179_000148	致仕，卒。
HCH_012_179_000149	黃仲昭，名潛，以字行，莆田人。
HCH_012_179_000150	祖壽生，翰林檢討，有學行。
HCH_012_179_000151	父嘉，束鹿知縣，以善政聞。
HCH_012_179_000152	仲昭性端謹，年十五六即有誌正學。
HCH_012_179_000153	登成化二年進士，改庶吉士，授編修。
HCH_012_179_000154	與章懋、莊昶同以直諫被杖，謫湘潭知縣。
HCH_012_179_000155	在道，用諫官言，改南京大理評事。
HCH_012_179_000156	兩京諸司隸卒率放還而取其月錢，為故事，惟仲昭與羅倫不敢。
HCH_012_179_000157	御史縱子弟取賂，刑部曲為地，仲昭駁正之。
HCH_012_179_000158	有群掠民婦轉鬻者，部坐首惡一人，仲昭請皆坐。
HCH_012_179_000159	連遭父母喪，不離苫塊者四年。
HCH_012_179_000160	服除，以親不逮養，遂不出。
HCH_012_179_000161	弘治改元，御史姜洪疏薦，吏部尚書王恕檄有司敦趣。
HCH_012_179_000162	比至，恕迓之大門外，揖讓升堂，相向再拜，世兩高之。
HCH_012_179_000163	除江西提學僉事，誨士以正學。
HCH_012_179_000164	久之再疏乞休，日事著述。
HCH_012_179_000165	學者稱「未軒先生」。
HCH_012_179_000166	卒年七十四。
HCH_012_179_000167	仲昭兄深，御史。
HCH_012_179_000168	深子乾亨，行人。
HCH_012_179_000169	使滿剌加，歿於海。
HCH_012_179_000170	乾亨子如金，廣西提學副使，希雍，蘇州同知。
HCH_012_179_000171	仲昭孫懋，南京戶部侍郎。
HCH_012_179_000172	莊昶，字孔抃，江浦人。
HCH_012_179_000173	自幼豪邁不群，嗜古博學。
HCH_012_179_000174	舉成化二年進士，改庶吉士，授翰林檢討。
HCH_012_179_000175	與編修章懋、黃仲昭疏諫內廷張燈，忤旨廷杖二十，謫桂陽州判官。
