HCH_010_027_000078	二月丁丑，鼻骨德遣使來貢。
HCH_010_027_000079	夏六月甲辰，駐蹕旺國崖。
HCH_010_027_000080	甲寅，夏國遣李造福、田若水求援。
HCH_010_027_000081	癸亥，吐蕃遣使來貢。
HCH_010_027_000082	秋七月，南京蝗。
HCH_010_027_000083	庚辰，獵南山。
HCH_010_027_000084	癸未，以西北路招討使蕭得里底、北院樞密副使耶律慎思並知北院樞密使事。
HCH_010_027_000085	辛卯，以同知南院樞密使事蕭敵里為西北路招討使。
HCH_010_027_000086	冬十月己酉，鳳凰見於陰。
HCH_010_027_000087	己未，幸南京。
HCH_010_027_000088	十一月乙亥，禦迎月樓，賜貧民錢。
HCH_010_027_000089	十二月辛丑，以張琳為南府宰相。
HCH_010_027_000090	五年春正月乙亥，夏國遣李造福等來求援，且乞伐宋。
HCH_010_027_000091	庚寅，以遼興軍節度使蕭常哥為北府宰相。
HCH_010_027_000092	丁酉，遣樞密直學士高端禮等諷宋罷伐夏兵。
HCH_010_027_000093	二月癸卯，微行，視民疾苦。
HCH_010_027_000094	丙午，幸鴛鴦濼。
HCH_010_027_000095	三月壬申，以族女南仙封成安公主，下嫁夏國王李乾順。
HCH_010_027_000096	夏四月甲申，射虎炭山。
HCH_010_027_000097	五月癸卯，清暑南崖。
HCH_010_027_000098	壬子，宋遣曾孝廣、王戩報聘。
HCH_010_027_000099	六月甲戌，夏國遣使來謝，及貢方物。
HCH_010_027_000100	己丑，幸候里吉。
HCH_010_027_000101	秋七月，謁慶陵。
HCH_010_027_000102	九月辛亥，駐蹕藕絲澱。
HCH_010_027_000103	乙卯，謁乾陵。
HCH_010_027_000104	冬十一月戊戌，禁商賈之家應進士舉。
HCH_010_027_000105	丙辰，高麗三韓國公王薨，子遣使來告。
HCH_010_027_000106	十二月己巳，夏國復遣李造福、田若水求援。
HCH_010_027_000107	癸酉，宋遣林洙來議與夏約和。
HCH_010_027_000108	六年春正月辛丑，遣知北院樞密使事蕭得里底、知南院樞密使事牛溫舒使宋，諷歸所侵夏地。
HCH_010_027_000109	夏五月，清暑散水原。
HCH_010_027_000110	六月辛巳，夏國遣李造福等來謝。
