HCH_012_041_000001	山東《禹貢》青、兗二州地。
HCH_012_041_000126	東北有般河，亦曰盤河，或以爲古鉤盤也。
HCH_012_041_000127	平原州東南。
HCH_012_041_000128	武定州元棣州，治厭次縣，屬濟南路。
HCH_012_041_000129	洪武初，州縣俱廢。
HCH_012_041_000130	六年六月復置州，改名樂安。
HCH_012_041_000131	宣德元年八月改爲武定州。
HCH_012_041_000132	永樂十五年，漢王府遷於此。
HCH_012_041_000133	宣德元年除。
HCH_012_041_000134	南有大清河，又有土河，又有商河。
HCH_012_041_000135	東南有清河巡檢司。
HCH_012_041_000136	西南距府二百四十里。
HCH_012_041_000137	領縣四：陽信州北。
HCH_012_041_000138	元屬棣州。
HCH_012_041_000139	東有商河。
HCH_012_041_000140	海豐州東北。
HCH_012_041_000141	洪武六年六月析樂安州南地置，屬濱州，後來屬。
HCH_012_041_000142	東北濱海。
HCH_012_041_000143	又北有鬲津河，又有無棣縣，元屬棣州，洪武初省。
HCH_012_041_000144	東北有大沽河口巡檢司。
HCH_012_041_000145	樂陵州西北。
HCH_012_041_000146	舊治在縣之咸平鎮，屬滄州，洪武元年改屬濟寧府，二年移治富平鎮，七月來屬。
HCH_012_041_000147	南有般河及鬲津河，又有土河。
HCH_012_041_000148	西南又有商河。
HCH_012_041_000149	西北有舊縣鎮巡檢司。
HCH_012_041_000150	商河州西南。
HCH_012_041_000151	南有商河。
HCH_012_041_000152	濱州洪武初，以州治渤海縣省入。
HCH_012_041_000153	東北濱海，產鹽。
HCH_012_041_000154	南有大清河。
HCH_012_041_000155	北有士傷河，即鬲津別名也。
HCH_012_041_000156	西南距府三百五十里。
HCH_012_041_000157	領縣三：利津州東。
HCH_012_041_000158	東北濱海，有永阜等鹽場。
HCH_012_041_000159	東有大清河，流入海。
HCH_012_041_000160	又東北有豐國鎮巡檢司。
HCH_012_041_000161	沾化州西北。
HCH_012_041_000162	東北濱海，有富國等鹽場。
HCH_012_041_000163	又有久山鎮巡檢司。
HCH_012_041_000164	蒲台州南。
HCH_012_041_000165	元屬般陽路。
HCH_012_041_000166	洪武二年七月來屬。
HCH_012_041_000167	東濱海。
HCH_012_041_000168	北有大清河。
HCH_012_041_000169	兗州府元兗州，屬濟寧路。
HCH_012_041_000170	洪武十八年升爲兗州府。
HCH_012_041_000171	領州四，縣二十三。
HCH_012_041_000172	東北距布政司三百五十里。
HCH_012_041_000173	滋陽倚。
HCH_012_041_000174	洪武三年四月建魯王府。
HCH_012_041_000175	元曰嵫陽。
HCH_012_041_000176	洪武初，省入州。
HCH_012_041_000177	十八年復置。
HCH_012_041_000178	成化間，改爲滋陽。
HCH_012_041_000179	泗水在東，又有沂水，自曲阜縣西流來合焉。
HCH_012_041_000180	曲阜府東。
HCH_012_041_000181	東南有尼山，沂水所出。
HCH_012_041_000182	又東有防山。
HCH_012_041_000183	北有泗水。
HCH_012_041_000184	又有洙水，西南流入於沂水。
HCH_012_041_000185	又北有孔林。
HCH_012_041_000186	寧陽府北。
HCH_012_041_000187	西北有汶水，支流爲洸水。
HCH_012_041_000188	洸水者，洙水也，洸、洙相入受，通稱也，俱西南入運河。
HCH_012_041_000189	又東北有堽城堰，即汶、洸分流處也。
HCH_012_041_000190	鄒府東南。
HCH_012_041_000191	元屬滕州。
HCH_012_041_000192	洪武二年七月改屬。
HCH_012_041_000193	東南有嶧山，亦曰邾嶧，又曰鄒嶧。
HCH_012_041_000194	東北有昌平山。
HCH_012_041_000195	西南有鳧山。
HCH_012_041_000196	又有泗河。
HCH_012_041_000197	泗水府東。
HCH_012_041_000198	東有陪尾山，泗水出焉，經縣北，下流至南直清河縣入淮。
HCH_012_041_000199	滕府東南。
HCH_012_041_000200	元滕州，治滕縣，屬益都路。
HCH_012_041_000201	洪武二年七月，州廢，縣屬濟寧府。
HCH_012_041_000202	十八年來屬。
HCH_012_041_000203	東南有桃山。
HCH_012_041_000204	東北有連青山。
HCH_012_041_000205	又西南有新運河，北自南陽，南至境山，長一百九十四里，嘉靖四十四年所開，又薛水，源自縣東高、薛二山間，西南流，合漷水，一名南沙河，至沛縣入運。
HCH_012_041_000206	又有北沙河在縣北，西流經魚臺入招湖。
HCH_012_041_000207	又南有沙溝集巡檢司。
HCH_012_041_000208	嶧府東南。
HCH_012_041_000209	元嶧州，屬益都路。
HCH_012_041_000210	洪武二年降爲縣，屬濟寧府，後來屬。
HCH_012_041_000211	東南有柱子山，舊名葛嶧山，水流其下。
HCH_012_041_000212	又北有君山，一名抱犢山，西泇水所出，東南流至三合村，有東泇河自沂水來會焉。
HCH_012_041_000213	又南合武河、彭、諸水注於泗，謂之泇口。
HCH_012_041_000214	萬曆中，改爲運道，自夏鎮至直河口，凡二百六十餘里，避黃河之險者三百三十里。
HCH_012_041_000215	又西北有鄒塢鎮巡檢司，嘉靖中，移於縣西拖梨溝。
HCH_012_041_000216	又東南有臺莊巡檢司，萬曆三十四年置。
HCH_012_041_000217	金鄉府西南。
HCH_012_041_000218	元屬濟寧路。
HCH_012_041_000219	洪武十八年來屬。
HCH_012_041_000220	金莎嶺在東。
HCH_012_041_000221	大河在西南。
HCH_012_041_000222	魚臺府西南。
HCH_012_041_000223	元屬濟州。
