HCH_015_018_000080	元徽四年，太祖從南郊，望氣者陳安寶見太祖身上黃紫氣屬天，安寶謂親人王洪範曰：「我少來未嘗見軍上有如此氣也。」
HCH_015_018_000081	太祖年十七，萬乘青龍西行逐日，日將薄山乃止，覺而恐懼，家人問占者，云「至貴之象也」。
HCH_015_018_000082	蘇偘云：「青，木色。日暮者，宋氏末運也。」
HCH_015_018_000083	泰始七年，明帝遣前淮南太守孫奉伯往淮陰監元會。
HCH_015_018_000084	奉伯與太祖同寢，夢上乘龍上天，於下捉龍腳不得。
HCH_015_018_000085	覺謂太祖曰：「兖州當大庇生民，弟不見也。」
HCH_015_018_000086	奉伯卒於宋。
HCH_015_018_000087	清河崔靈運為上府參軍，夢天帝謂己曰：「蕭道成是我第十九子，我去年已授其天子位。」
HCH_015_018_000088	自三皇五帝至齊受命君，凡十九人也。
HCH_015_018_000089	宋泰始中，童謠云「東城出天子」，故明帝殺建安王休仁。
HCH_015_018_000090	蘇偘云：「後從帝自東城即位，論者謂應之，乃是武進縣上所居東城里也。」
HCH_015_018_000091	熊襄云：「上舊鄉有大道，相傳云秦始皇所經，呼為『天子路』，後遂為帝鄉焉。」
HCH_015_018_000092	案從帝實當援立，猶如晉之懷、愍，亦有徵符。
HCH_015_018_000093	齊運既無，巡幸路名，或是秦舊，疑不能詳。
HCH_015_018_000094	世祖年十三，夢舉體生毛，髮生至足。
HCH_015_018_000095	又夢人指上所踐地曰「周文王之田」。
HCH_015_018_000096	又夢虛空中飛。
HCH_015_018_000097	又夢著孔雀羽衣。
HCH_015_018_000098	庾溫云：「雀，爵位也。」
HCH_015_018_000099	又夢鳳皇從天飛下青溪宅齋前，兩翅相去十餘丈，翼下有紫雲氣。
HCH_015_018_000100	及在襄陽，夢著桑屐行度太極殿階。
HCH_015_018_000101	庾溫云：「屐者，運應木也。」
HCH_015_018_000102	臣案桑字為四十而二點，世祖年過此即帝位，謂著屐為木行也。
