HCH_011_023_000085	二年，爲中權將軍、金紫光祿大夫，置佐史，加侍中。
HCH_011_023_000086	中大通元年，遷護軍將軍，中權如故。
HCH_011_023_000087	三年，爲中軍將軍、太子詹事，出爲丹陽尹。
HCH_011_023_000088	高祖每歎曰：「子弟並如迦葉，吾復何憂。」
HCH_011_023_000089	迦葉，藻小名也。
HCH_011_023_000090	入爲安左將軍、尚書左僕射，加侍中，藻固辭不就，詔不許。
HCH_011_023_000091	大同五年，遷中衛將軍、開府儀同三司、中書令，侍中如故。
HCH_011_023_000092	藻性恬靜，獨處一室，床有膝痕，宗室衣冠，莫不楷則。
HCH_011_023_000093	常以爵祿太過，每思摒退，門庭閑寂，賓客罕通，太宗尤敬愛之。
HCH_011_023_000094	自遭家禍，恒布衣蒲席，不食鮮禽，非在公庭，不聽音樂。
HCH_011_023_000095	高祖每以此稱之。
HCH_011_023_000096	出爲使持節、督南徐州刺史。
HCH_011_023_000097	侯景亂，藻遣長子彧率兵入援，及城開，加散騎常侍、大將軍。
HCH_011_023_000098	景遣其儀同蕭邕代之，據京口，藻因感氣疾，不自療。
HCH_011_023_000099	或勸奔江北，藻曰：「吾國之台鉉，位任特隆，旣不能誅剪逆賊，正當同死朝廷，安能投身異類，欲保餘生。」
HCH_011_023_000100	因不食累日。
HCH_011_023_000101	太清三年，薨，時年六十七。
HCH_011_023_000102	永陽嗣王伯游字士仁，高祖次兄敷之子。
HCH_011_023_000103	敷字仲達，解褐齊後將軍、征虜行參軍，輔太子舍人，洗馬，遷丹陽尹丞。
HCH_011_023_000104	入爲太子中舍人，除建威將軍、隨郡內史。
HCH_011_023_000105	招懷遠近，黎庶安之，以爲前後之政莫之及也。
HCH_011_023_000106	進號寧朔將軍，徵爲廬陵王諮議參軍。
HCH_011_023_000107	建武四年，薨。
HCH_011_023_000108	高祖即位，追贈侍中、司空，封永陽郡王，諡曰昭。
HCH_011_023_000109	伯游美風神，善言玄理。
HCH_011_023_000110	天監元年四月，詔曰：「兄子伯游，雖年識未弘，意尚粗可。浙東奧區，宜須撫蒞，可督會稽東陽新安永嘉臨海五郡諸軍事、輔國將軍、會稽太守。」
HCH_011_023_000111	二年，襲封永陽郡王。
HCH_011_023_000112	五年，薨，時年二十三。
HCH_011_023_000113	諡曰恭。
HCH_011_023_000114	衡陽嗣王元簡字熙遠，高祖第四弟暢之子。
HCH_011_023_000115	暢仕齊至太常，封江陵縣侯，卒。
HCH_011_023_000116	天監元年，追贈侍中、驃騎大將軍、開府儀同三司。
HCH_011_023_000117	封衡陽郡王。
HCH_011_023_000118	諡曰宣。
HCH_011_023_000119	元簡三年襲封，除中書郎，遷會稽太守。
HCH_011_023_000120	十三年，入爲給事黃門侍郎，出爲持節、都督廣交越三州諸軍事、平越中郎將、廣州刺史。
HCH_011_023_000121	還爲太子中庶子，遷使持節、都督郢司霍三州諸軍事、信武將軍、郢州刺史。
HCH_011_023_000122	十八年正月，卒於州。
HCH_011_023_000123	諡曰孝。
HCH_011_023_000124	子俊嗣。
HCH_011_023_000125	桂陽嗣王象字世翼，長沙宣武王第九子也。
HCH_011_023_000126	初，叔父融仕齊至太子洗馬。
HCH_011_023_000127	永元中，宣武之難，融遇害。
HCH_011_023_000128	高祖平京邑，贈給事黃門侍郎。
HCH_011_023_000129	天監元年，加散騎常侍、撫軍大將軍，封桂陽郡王。
HCH_011_023_000130	諡曰簡。
HCH_011_023_000131	無子，乃詔象爲嗣，襲封爵。
HCH_011_023_000132	象容止閒雅，善於交遊，事所生母以孝聞。
HCH_011_023_000133	起家寧遠將軍、丹陽尹。
HCH_011_023_000134	到官未幾，簡王妃薨，去職。
HCH_011_023_000135	服闋，復授明威將軍、丹陽尹。
HCH_011_023_000136	象生長深宮，始親庶政，舉無失德，朝廷稱之。
HCH_011_023_000137	出爲持節、督司霍郢三州諸軍事、征遠將軍、郢州刺史。
HCH_011_023_000138	尋遷湘衡二州諸軍事、輕車將軍、湘州刺史。
HCH_011_023_000139	湘州舊多虎暴，及象在任，爲之靜息，故老咸稱德政所感。
HCH_011_023_000140	除中書侍郎，俄以本官行石頭戍軍事，轉給事黃門侍郎、兼領軍，又以本官兼宗正卿。
HCH_011_023_000141	尋遷侍中、太子詹事，未拜，改授持節、督江州諸軍事、信武將軍、江州刺史。
HCH_011_023_000142	以疾免。
HCH_011_023_000143	尋除太常卿，加侍中，遷秘書監、領步兵校尉。
HCH_011_023_000144	大同二年，薨，諡曰敦。
HCH_011_023_000145	子慥嗣。
HCH_011_023_000146	史臣曰：長沙諸嗣王，並承襲土宇，光有籓服。
HCH_011_023_000147	桂陽王象以孝聞，在於牧湘，猛虎息暴，蓋德惠所致也。
HCH_011_023_000148	昔之善政，何以加焉。
HCH_011_023_000149	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
