HCH_012_020_000093	是年，琉球入貢。
HCH_012_020_000094	六年春正月，築決河堤。
HCH_012_020_000095	二月戊戌，免兗、青、登、萊所屬逋賦。
HCH_012_020_000096	庚子，立皇后王氏。
HCH_012_020_000097	三月甲寅，禮部尚書馬自強兼文淵閣大學士，吏部侍郎申時行兼東閣大學士，預機務。
HCH_012_020_000098	甲子，張居正葬父歸。
HCH_012_020_000099	夏四月乙未，免湖廣、四川逋賦。
HCH_012_020_000100	丙午，詔戶部歲增金花銀二十萬兩。
HCH_012_020_000101	六月乙未，張居正還京師。
HCH_012_020_000102	秋七月乙卯，呂調陽致仕。
HCH_012_020_000103	丙子，詔江北諸府民，年十五以上無田者，官給牛一頭、田五十畝開墾，三年後起科。
HCH_012_020_000104	九月庚午，詔蘇州諸府開墾荒田，六年後起科。
HCH_012_020_000105	辛未，停刑。
HCH_012_020_000106	冬十月辛卯，馬自強卒。
HCH_012_020_000107	十一月辛酉，祀天於南郊。
HCH_012_020_000108	是年，烏斯藏入貢。
HCH_012_020_000109	七年春正月戊辰，詔毀天下書院。
HCH_012_020_000110	二月己丑，遣使分閱邊防。
HCH_012_020_000111	三月甲子，免淮、揚逋賦。
HCH_012_020_000112	夏五月癸亥，祀地於北郊。
HCH_012_020_000113	六月辛卯，覈兩畿、山東、陝西勳戚田賦。
HCH_012_020_000114	秋七月壬子，振蘇、松水災，蠲稅糧。
HCH_012_020_000115	戊午，京師地震。
HCH_012_020_000116	是年，烏斯藏入貢。
HCH_012_020_000117	八年春二月辛未朔，日有食之。
HCH_012_020_000118	戊子，耕耤田。
HCH_012_020_000119	戊戌，河工成。
HCH_012_020_000120	三月辛亥，奉兩宮皇太后如天壽山謁陵，免所過田租。
HCH_012_020_000121	甲寅，還宮。
HCH_012_020_000122	丁卯，賜張懋修等進士及第、出身有差。
HCH_012_020_000123	夏閏四月庚申，廣西八寨賊平。
HCH_012_020_000124	冬十月辛丑，汰內外冗官。
HCH_012_020_000125	乙巳，振蘇、松、常、鎮饑。
HCH_012_020_000126	十一月丙子，詔度民田。
HCH_012_020_000127	是年，琉球入貢。
HCH_012_020_000128	九年春正月庚午，敕邊臣備警。
HCH_012_020_000129	辛未，裁諸司冗官。
HCH_012_020_000130	癸酉，土蠻犯錦州，遊擊周之望敗沒。
HCH_012_020_000131	己卯，命翰林官日四人入直。
HCH_012_020_000132	辛巳，裁南京冗官。
HCH_012_020_000133	甲申，遼東總兵官李成梁襲敗土蠻於襖郎兔。
HCH_012_020_000134	三月丙寅，大閱。
HCH_012_020_000135	是月，土蠻犯遼陽，副總兵曹簠禦之，敗績。
HCH_012_020_000136	夏四月丁酉，振山西被災州縣。
HCH_012_020_000137	乙卯，振蘇、松、淮、鳳、徐、宿災。
HCH_012_020_000138	戶部進萬曆會計錄。
HCH_012_020_000139	秋八月丁未，揚州大水。
HCH_012_020_000140	九月丁亥，停刑。
HCH_012_020_000141	冬十月己亥，土蠻犯廣寧、義州，李成梁禦卻之。
HCH_012_020_000142	十一月丙戌，振真定、順德、廣平災，免稅糧。
HCH_012_020_000143	是年，裁各省冗官，覈徭賦，汰諸司冒濫冗費。
HCH_012_020_000144	琉球、安南、土魯番、天方、撒馬兒罕、魯迷、哈密、烏斯藏入貢。
HCH_012_020_000145	十年春二月癸巳，順義王俺答卒。
HCH_012_020_000146	丁酉，免天下積年逋賦。
HCH_012_020_000147	三月庚申，杭州兵變，執巡撫吳善言。
HCH_012_020_000148	丁卯，兵部侍郎張佳胤巡撫浙江討定之。
HCH_012_020_000149	丙子，泰寧衞部長速把亥犯義州，李成梁擊斬之。
HCH_012_020_000150	己卯，倭寇溫州。
HCH_012_020_000151	夏四月戊子朔，諭禮部，令民及時農桑，勿事游惰。
HCH_012_020_000152	甲午，寧夏土軍馬景殺參將許汝繼，巡撫都御史晉應槐討誅之。
HCH_012_020_000153	庚子，以久旱敕修省。
HCH_012_020_000154	五月庚申，免先師孔子及宋儒朱熹、李侗、羅從彥、蔡沈、胡安國、游酢、真德秀、劉子翬，故大學士楊榮後裔賦役有差。
HCH_012_020_000155	庚辰，振畿內饑。
HCH_012_020_000156	六月丁亥朔，日有食之。
HCH_012_020_000157	壬寅，振太原、平陽、潞安饑。
HCH_012_020_000158	乙巳，前禮部尚書潘晟兼武英殿大學士，吏部侍郎余有丁為禮部尚書兼文淵閣大學士，預機務。
HCH_012_020_000159	晟尋罷。
HCH_012_020_000160	丙午，張居正卒。
HCH_012_020_000161	秋七月庚午，振平、慶、延、臨、鞏饑。
HCH_012_020_000162	九月丙辰，以皇長子生，詔赦天下。
HCH_012_020_000163	甲子，上兩宮皇太后徽號。
HCH_012_020_000164	冬十月丙申，蘇、松大水，蠲振有差。
HCH_012_020_000165	十二月壬辰，太監馮保謫奉御，籍其家。
HCH_012_020_000166	壬寅，復建言諸臣職。
HCH_012_020_000167	是年，免畿內、山西被災稅糧。
HCH_012_020_000168	哈密、烏斯藏入貢。
HCH_012_020_000169	十一年春正月壬戌，敕嚴邊備。
HCH_012_020_000170	閏二月甲子，俺答子乞慶哈襲封順義王。
HCH_012_020_000171	緬甸寇永昌。
HCH_012_020_000172	乙丑，如天壽山謁九陵，免所過田租。
HCH_012_020_000173	庚午，如西山謁恭讓章皇后、景皇帝陵。
HCH_012_020_000174	辛未，還宮。
HCH_012_020_000175	乙酉，振臨、鞏、平、延、慶五府旱災，免田租。
HCH_012_020_000176	三月甲申，追奪張居正官階。
HCH_012_020_000177	庚子，賜朱國祚等進士及第、出身有差。
HCH_012_020_000178	夏四月丁巳，張四維以憂去。
HCH_012_020_000179	己未，吏部侍郎許國為禮部尚書兼東閣大學士，預機務。
HCH_012_020_000180	甲戌，承天大雨，江溢。
HCH_012_020_000181	是月，廣東羅定兵變。
HCH_012_020_000182	五月，我大清太祖高皇帝起兵征尼堪外蘭，克圖倫城。
HCH_012_020_000183	六月乙丑，振承天、漢陽、鄖陽、襄陽災。
HCH_012_020_000184	秋八月丙辰，免山西被災稅糧。
HCH_012_020_000185	九月甲申，如天壽山謁陵。
HCH_012_020_000186	己丑，還宮。
HCH_012_020_000187	冬十月癸亥，停刑。
HCH_012_020_000188	辛未，河南水災，蠲振有差。
HCH_012_020_000189	十一月己卯朔，日有食之。
HCH_012_020_000190	十二月庚午，慈寧宮災，敕修省。
HCH_012_020_000191	是年，琉球入貢。
HCH_012_020_000192	十二年春二月丁卯，京師地震。
HCH_012_020_000193	己巳，釋建文諸臣外親謫戍者後裔。
HCH_012_020_000194	三月己亥，減江西燒造瓷器。
HCH_012_020_000195	夏四月乙卯，籍張居正家。
HCH_012_020_000196	丁巳，遊擊將軍劉綎討平隴川賊。
HCH_012_020_000197	五月甲午，京師地震。
HCH_012_020_000198	六月辛亥，以雲南用兵，免稅糧及逋賦。
HCH_012_020_000199	秋八月丙辰，榜張居正罪於天下，家屬戍邊。
HCH_012_020_000200	九月丙戌，奉兩宮皇太后如天壽山謁陵。
HCH_012_020_000201	己丑，作壽宮。
HCH_012_020_000202	辛卯，還宮。
HCH_012_020_000203	冬十月丁巳，停刑。
HCH_012_020_000204	丙寅，免湖廣、山東被災稅糧。
HCH_012_020_000205	十一月己丑，余有丁卒。
HCH_012_020_000206	十二月甲辰，前禮部侍郎王錫爵為禮部尚書兼文淵閣大學士，吏部侍郎王家屏兼東閣大學士，預機務。
HCH_012_020_000207	癸亥，罷開銀礦。
HCH_012_020_000208	是年，安南、烏斯藏入貢。
HCH_012_020_000209	十三年春正月辛卯，四川建武所兵變，擊傷總兵沈思學。
HCH_012_020_000210	二月丁未，南京地震。
HCH_012_020_000211	京師自去年八月不雨，至於是月。
HCH_012_020_000212	庚午，大雩。
HCH_012_020_000213	三月甲申，大雩。
HCH_012_020_000214	己丑，李成梁出塞襲把兔兒炒花，大破之。
HCH_012_020_000215	壬辰，減杭州織造及尚衣監料銀。
HCH_012_020_000216	尚寶司少卿徐貞明督治京畿水田。
HCH_012_020_000217	夏四月丙午，大雩。
HCH_012_020_000218	戊申，以旱詔中外理冤抑，釋鳳陽輕犯及禁錮年久罪宗。
HCH_012_020_000219	戊午，步禱於南郊，面諭大學士等曰：「天旱，雖由朕不德，亦天下有司貪婪，剝害小民，以致上干天和，今後宜慎選有司。」
HCH_012_020_000220	蠲天下被災田租一年。
HCH_012_020_000221	五月丙戌，雨。
HCH_012_020_000222	六月辛丑，慈寧宮成。
HCH_012_020_000223	壬寅，建武所亂卒伏誅。
HCH_012_020_000224	是月，四川松、茂番作亂。
HCH_012_020_000225	秋八月己酉，京師地震。
HCH_012_020_000226	閏九月戊戌，振淮、鳳災。
HCH_012_020_000227	癸卯，如天壽山閱壽宮。
HCH_012_020_000228	戊申，還宮。
HCH_012_020_000229	庚申，停刑。
HCH_012_020_000230	冬十二月丁卯，汰惜薪司內官冗員。
HCH_012_020_000231	是月，順義王乞慶哈卒。
HCH_012_020_000232	是年，土魯番、烏斯藏入貢。
HCH_012_020_000233	十四年春二月癸未，嚴外官餽遺。
HCH_012_020_000234	三月戊戌，以旱霾，諭廷臣陳時政。
HCH_012_020_000235	癸卯，禁部曹言事，罷治京畿水田。
HCH_012_020_000236	癸丑，賜唐文獻等進士及第、出身有差。
HCH_012_020_000237	戊午，久旱，敕修省。
HCH_012_020_000238	夏四月癸酉，京師地震。
HCH_012_020_000239	六月癸未，松茂番平。
HCH_012_020_000240	是夏，振直隸、河南、陝西及廣西潯、柳、平樂，廣東瓊山等十二縣饑。
HCH_012_020_000241	山西盜起。
HCH_012_020_000242	秋七月癸卯，振江西災。
HCH_012_020_000243	戊申，敕戶、兵二部撫安災民，嚴保甲。
HCH_012_020_000244	是月，淇縣賊王安聚眾流劫，尋剿平之。
HCH_012_020_000245	九月壬辰，王家屏以憂去。
HCH_012_020_000246	乙卯，停刑。
HCH_012_020_000247	己未，發帑遣使振河南、山東、直隸、陝西、遼東、淮、鳳災。
HCH_012_020_000248	冬十月丙寅，禮部主事盧洪春以疏請謹疾，杖闕下，削籍。
HCH_012_020_000249	十一月癸卯，祀天於南郊。
HCH_012_020_000250	是年，土魯番入貢。
HCH_012_020_000251	十五年春正月壬辰，發帑振山西、陝西、河南、山東諸宗室。
HCH_012_020_000252	三月乙卯，乞慶哈子撦力克襲封順義王。
HCH_012_020_000253	夏四月，京師旱，大疫。
HCH_012_020_000254	六月戊辰，禁廷臣奢僭。
HCH_012_020_000255	是月，京師大雨。
HCH_012_020_000256	振卹貧民。
HCH_012_020_000257	秋七月，江北蝗，江南大水，山西、陝西、河南、山東旱，河決開封，蠲振有差。
HCH_012_020_000258	八月庚申，以災沴頻仍，敕撫、按官懲貪吏，理冤獄，蠲租、振卹。
HCH_012_020_000259	九月丁亥朔，日當食，陰雲不見。
HCH_012_020_000260	己丑，停刑。
HCH_012_020_000261	冬十月庚申，大學士申時行請發留中章奏。
HCH_012_020_000262	十一月戊子，鄖陽兵譟，巡撫都御史李材罷。
HCH_012_020_000263	是年，哈密、琉球、烏斯藏入貢。
HCH_012_020_000264	十六年春三月壬辰，詔改景皇帝實錄，去郕戾王號，不果行。
HCH_012_020_000265	山西、陝西、河南及南畿、浙江並大饑疫。
HCH_012_020_000266	夏四月，振江北、大名、開封諸府饑。
HCH_012_020_000267	五月，四川建昌番作亂，討平之。
HCH_012_020_000268	乙巳，以軍儲倉火及各省災傷，敕內外官修省。
HCH_012_020_000269	六月庚申，京師地震。
HCH_012_020_000270	甲子，以災傷停減蘇、杭織造。
HCH_012_020_000271	秋七月乙卯，免山東被災夏稅。
HCH_012_020_000272	庚午，定邊臣考績法。
HCH_012_020_000273	八月乙未，詔取太倉銀二十萬充閱陵賞費。
HCH_012_020_000274	九月己未，停刑。
HCH_012_020_000275	庚申，如天壽山閱壽宮。
HCH_012_020_000276	甲子，次石景山觀渾河。
HCH_012_020_000277	乙丑，還宮。
HCH_012_020_000278	庚午，甘肅兵變，巡撫都御史曹子登罷。
HCH_012_020_000279	是月，青海部長他不囊犯西寧，殺副將李魁。
HCH_012_020_000280	冬十一月辛酉，禁章奏浮冗。
HCH_012_020_000281	是年，烏斯藏入貢。
HCH_012_020_000282	十七年春正月己酉朔，日有食之。
HCH_012_020_000283	丁巳，太湖、宿、松賊劉汝國等作亂，安慶指揮陳越討之，敗死。
HCH_012_020_000284	二月丙申，吳淞指揮陳懋功討平之。
HCH_012_020_000285	三月丙辰，免陞授官面謝。
HCH_012_020_000286	自是臨御遂簡。
HCH_012_020_000287	癸亥，雲南永昌兵變。
HCH_012_020_000288	乙丑，賜焦竑等進士及第、出身有差。
HCH_012_020_000289	夏四月己亥，王家屏復入閣。
HCH_012_020_000290	始興妖僧李圓朗作亂，犯南雄，有司討誅之。
HCH_012_020_000291	六月甲申，浙江大風，海溢。
HCH_012_020_000292	己丑，永昌亂卒平。
HCH_012_020_000293	乙巳，南畿、浙江大旱，太湖水涸，發帑金四十萬振之。
HCH_012_020_000294	秋八月壬寅，嚴匿名揭之禁。
HCH_012_020_000295	冬十月癸未，停刑。
HCH_012_020_000296	癸卯，黃河決口工成。
HCH_012_020_000297	十二月己丑，諭諸臣遇事勿得忿爭求勝。
HCH_012_020_000298	是年，安南、烏斯藏入貢。
