HCH_012_016_000091	夏四月庚寅，安化王寘鐇反，殺巡撫都御史安惟學、總兵官姜漢。
HCH_012_016_000092	丙午，起右都御史楊一清總制寧夏、延綏、甘、涼軍務，涇陽伯神英充總兵官，討寘鐇。
HCH_012_016_000093	辛亥，詔赦天下。
HCH_012_016_000094	太監張永總督寧夏軍務。
HCH_012_016_000095	是日，游擊將軍仇鉞襲執寘鐇，寧夏平。
HCH_012_016_000096	五月癸未，焦芳致仕。
HCH_012_016_000097	六月庚子，帝自號大慶法王，所司鑄印以進。
HCH_012_016_000098	丙午，劉宇罷。
HCH_012_016_000099	秋七月壬申，洪鍾討沔陽賊，平之。
HCH_012_016_000100	八月甲午，劉瑾以謀反下獄。
HCH_012_016_000101	詔自正德二年後所更政令悉如舊。
HCH_012_016_000102	戊戌，治劉瑾黨，吏部尚書張綵下獄。
HCH_012_016_000103	己亥，曹元罷。
HCH_012_016_000104	丁未，革寧王護衞。
HCH_012_016_000105	戊申，劉瑾伏誅。
HCH_012_016_000106	己酉，釋謫戍諸臣。
HCH_012_016_000107	九月丙辰，論平寘鐇功，封仇鉞咸寧伯。
HCH_012_016_000108	戊午，吏部尚書劉忠、梁儲並兼文淵閣大學士，預機務。
HCH_012_016_000109	己未，以平寘鐇、劉瑾功，封太監張永兄富、弟容皆為伯。
HCH_012_016_000110	癸酉，封義子指揮同知朱德、太監谷大用兄大寬、馬永成兄山、魏彬弟英皆為伯。
HCH_012_016_000111	冬十月己亥，戮張綵尸於市。
HCH_012_016_000112	十二月己丑，賊陷江津，僉事吳景死之。
HCH_012_016_000113	是年，日本、占城、哈密、撒馬兒罕、土魯番、烏斯藏入貢。
HCH_012_016_000114	六年春正月甲子，大祀天地於南郊。
HCH_012_016_000115	癸酉，賊陷營山，殺僉事王源。
HCH_012_016_000116	二月丙申，寘鐇伏誅。
HCH_012_016_000117	己酉，起左都御史陳金總制江西軍務討賊。
HCH_012_016_000118	三月戊辰，賜楊慎等進士及第、出身有差。
HCH_012_016_000119	庚午，惠安伯張偉充總兵官，右都御史馬中錫提督軍務，討直隸、河南、山東賊。
HCH_012_016_000120	丙子，免被寇州縣稅糧一年。
HCH_012_016_000121	是月，小王子入河套，犯沿邊諸堡。
HCH_012_016_000122	夏四月癸未，劉忠乞省墓歸。
HCH_012_016_000123	是月，淮安盜起。
HCH_012_016_000124	六月，山西盜起。
HCH_012_016_000125	秋七月壬申，賊犯文安，京師戒嚴。
HCH_012_016_000126	癸酉，調宣府、延綏兵入援。
HCH_012_016_000127	八月己卯，兵部侍郎陸完將邊軍討賊。
HCH_012_016_000128	四川巡撫都御史林俊擒斬賊首藍廷瑞、鄢本恕。
HCH_012_016_000129	甲申，賊劉六犯固安。
HCH_012_016_000130	丙戌，召張偉、馬中錫還。
HCH_012_016_000131	九月丙寅，再調宣府及遼東兵益陸完軍。
HCH_012_016_000132	冬十月癸未，賊陷長山，典史李暹戰死。
HCH_012_016_000133	甲申，賊焚糧艘於濟寧州。
HCH_012_016_000134	丁酉，甘州副總兵白琮敗小王子於柴溝。
HCH_012_016_000135	十一月庚戌，太監谷大用、張忠，伏羌伯毛銳帥京軍會陸完討賊。
HCH_012_016_000136	丙辰，戶部侍郎叢蘭、王瓊振兩畿、河南、山東。
HCH_012_016_000137	戊午，京師地震。
HCH_012_016_000138	辛酉，敕修省。
HCH_012_016_000139	乙亥，瘞暴骨。
HCH_012_016_000140	十二月癸巳，禮部尚書費宏兼文淵閣大學士，預機務。
HCH_012_016_000141	甲午，清河口至柳舖，黃河清三日。
HCH_012_016_000142	辛丑，賊掠蒼溪，兵備副使馮傑敗死。
HCH_012_016_000143	是年，自畿輔迄江、淮、楚、蜀盜賊殺官吏，山東尤甚，至破九十餘城，道路梗絕。
HCH_012_016_000144	琉球、哈密入貢。
HCH_012_016_000145	七年春正月甲寅，賊犯霸州，京師戒嚴。
HCH_012_016_000146	丁巳，陷大城，知縣張汝舟、主簿李銓戰死。
HCH_012_016_000147	己未，大祀天地於南郊。
HCH_012_016_000148	二月丁丑，副都御史彭澤、咸寧伯仇鉞提督軍務，太監陸誾監軍，討河南賊。
HCH_012_016_000149	己卯，賊犯萊州，指揮僉事蔡顯等力戰死。
HCH_012_016_000150	三月辛未，副總兵時源敗績於河南，都督僉事馮禎力戰死。
HCH_012_016_000151	夏五月丙午，陸完敗賊於萊州，山東賊平。
HCH_012_016_000152	甲寅，左都御史陳金討平撫州賊。
HCH_012_016_000153	丙寅，賊殺副都御史馬炳然於武昌江中。
HCH_012_016_000154	閏月壬辰，仇鉞敗賊於光山，河南賊平。
HCH_012_016_000155	秋七月癸巳，江西賊殺副使周憲於華林。
HCH_012_016_000156	丁酉，振四川饑。
HCH_012_016_000157	八月癸亥，陸完追殲劉七等賊於狼山。
HCH_012_016_000158	九月乙酉，陳金討平華林賊。
HCH_012_016_000159	戊子，召洪鍾還。
HCH_012_016_000160	都御史彭澤總制四川軍務。
HCH_012_016_000161	丙申，賜義子一百二十七人國姓。
HCH_012_016_000162	冬十月，免河南、江西、浙江被災寇者稅糧。
HCH_012_016_000163	十一月壬申，時源為平賊將軍，會彭澤討四川賊。
HCH_012_016_000164	丁亥，留大同、宣府、遼東兵於京營，李東陽諫，不聽。
HCH_012_016_000165	十二月丁卯，李東陽致仕。
HCH_012_016_000166	是月，免兩畿、山東、山西、陝西被災寇者稅糧。
HCH_012_016_000167	是年，安南、日本、哈密入貢。
HCH_012_016_000168	八年春正月癸酉，右副都御史俞諫代陳金討江西賊。
HCH_012_016_000169	壬午，大祀天地於南郊。
HCH_012_016_000170	乙酉，以邊將江彬、許泰分領京營，賜國姓。
HCH_012_016_000171	尋設兩官廳軍，命彬、泰分領之。
HCH_012_016_000172	癸巳，戶部侍郎叢蘭、僉都御史陳玉巡邊。
HCH_012_016_000173	二月丙午，以平賊功，封太監谷大用弟大亮、陸誾姪永皆為伯。
HCH_012_016_000174	三月戊子，置鎮國府處宣府官軍。
HCH_012_016_000175	甲午，以旱敕羣臣修省。
HCH_012_016_000176	夏四月乙丑，彭澤破賊於劍州。
HCH_012_016_000177	五月辛巳，仇鉞充總兵官，帥京營兵禦敵於大同。
HCH_012_016_000178	六月戊戌，河決黃陵岡。
HCH_012_016_000179	乙卯，俞諫破賊於貴溪。
HCH_012_016_000180	秋八月，免南畿水災稅糧。
HCH_012_016_000181	土魯番襲據哈密。
HCH_012_016_000182	冬十月丁未，俞諫連破賊於東鄉，江西賊平。
HCH_012_016_000183	十二月，南京刑部侍郎鄧璋振江西饑。
HCH_012_016_000184	是年，哈密入貢。
HCH_012_016_000185	九年春正月丁丑，大祀天地於南郊。
HCH_012_016_000186	庚辰，乾清宮災。
HCH_012_016_000187	二月庚子，帝始微行。
HCH_012_016_000188	丙午，禮部尚書靳貴兼文淵閣大學士，預機務。
HCH_012_016_000189	癸丑，彭澤、時源討平四川賊。
HCH_012_016_000190	三月辛巳，賜唐皐等進士及第、出身有差。
HCH_012_016_000191	夏四月丁酉，復寧王護衞，予屯田。
HCH_012_016_000192	五月乙丑，費宏致仕。
HCH_012_016_000193	己丑，彭澤總督甘肅軍務，經理哈密。
HCH_012_016_000194	六月乙卯，開雲南銀礦。
HCH_012_016_000195	秋七月乙丑，小王子犯宣府、大同。
HCH_012_016_000196	太監張永提督軍務，都督白玉充總兵官，帥京營兵禦之。
HCH_012_016_000197	八月辛卯朔，日有食之。
HCH_012_016_000198	辛丑，小王子犯白羊口。
HCH_012_016_000199	乙巳，京師地震。
HCH_012_016_000200	己未，小王子入寧武關，掠忻州、定襄、寧化。
HCH_012_016_000201	九月壬戌，犯宣府、蔚州。
HCH_012_016_000202	庚午，帝狎虎被傷，不視朝，編修王思以諫謫饒平驛丞。
HCH_012_016_000203	冬十月己酉，遣使採木於川、湖。
HCH_012_016_000204	十一月辛酉，廢歸善王當沍為庶人，自殺。
HCH_012_016_000205	十二月甲寅，建乾清宮，加天下賦一百萬。
HCH_012_016_000206	是年，安南、哈密、烏斯藏入貢。
HCH_012_016_000207	十年春正月癸亥，薄暮，享太廟。
HCH_012_016_000208	戊辰，薄暮，祀天地於南郊。
HCH_012_016_000209	三月壬申，楊廷和以憂去。
HCH_012_016_000210	夏閏四月辛酉，吏部尚書楊一清兼武英殿大學士，預機務。
HCH_012_016_000211	戊寅，召彭澤還。
HCH_012_016_000212	秋八月丙寅，小王子犯固原。
HCH_012_016_000213	冬十二月癸丑朔，日有食之。
HCH_012_016_000214	己卯，免南畿旱災秋糧。
HCH_012_016_000215	是年，琉球、安南、哈密、撒馬兒罕入貢。
HCH_012_016_000216	十一年春正月乙未，大祀天地於南郊。
HCH_012_016_000217	夏四月，振河南饑。
HCH_012_016_000218	五月庚寅，土魯番以哈密來歸。
HCH_012_016_000219	甲辰，錄自宮男子三千四百餘人充海戶。
HCH_012_016_000220	是月，振陝西饑。
HCH_012_016_000221	秋七月乙未，小王子犯薊州白羊口，太監張忠監督軍務，左都督劉暉充總兵官，帥東西官廳軍禦之。
HCH_012_016_000222	丙午，工部侍郎趙璜、俞琳飭畿內武備。
HCH_012_016_000223	八月丁巳，左都御史彭澤、成國公朱輔帥京營兵防邊。
HCH_012_016_000224	庚申，賜宛平縣被寇者人米二石。
HCH_012_016_000225	甲子，楊一清致仕。
HCH_012_016_000226	丁丑，禮部尚書蔣冕兼文淵閣大學士，預機務。
HCH_012_016_000227	九月，土魯番復據哈密，侵肅州，殺遊擊芮寧。
HCH_012_016_000228	冬十月己酉朔，享太廟，遣使代行禮。
HCH_012_016_000229	十一月甲申，免湖廣被災稅糧。
HCH_012_016_000230	是年，琉球、天方入貢。
HCH_012_016_000231	十二年春正月己丑，大祀天地於南郊，遂獵於南海子，夜中還，御奉天殿受朝賀。
HCH_012_016_000232	三月癸巳，賜舒芬等進士及第、出身有差。
HCH_012_016_000233	戊戌，以兩淮、浙江、四川、河東鹽課充陝西織造。
HCH_012_016_000234	夏四月壬子，靳貴致仕。
HCH_012_016_000235	丙辰，副總兵鄭廉敗土魯番於瓜州。
HCH_012_016_000236	五月丙子，禮部尚書毛紀兼東閣大學士，預機務。
HCH_012_016_000237	六月乙巳朔，日有食之。
HCH_012_016_000238	秋八月甲辰，微服如昌平。
HCH_012_016_000239	乙巳，梁儲、蔣冕、毛紀追及於沙河，請回蹕，不聽。
HCH_012_016_000240	己酉，至居庸關，巡關御史張欽閉關拒命，乃還。
HCH_012_016_000241	丙辰，至自昌平。
HCH_012_016_000242	戊午，夜視朝。
HCH_012_016_000243	癸亥，副都御史吳廷舉振湖廣饑。
HCH_012_016_000244	丙寅，夜微服出德勝門，如居庸關。
HCH_012_016_000245	辛未，出關，幸宣府，命谷大用守關，毋出京朝官。
HCH_012_016_000246	九月辛卯，河決城武。
HCH_012_016_000247	壬辰，如陽和，自稱總督軍務威武大將軍總兵官。
HCH_012_016_000248	庚子，輸帑銀一百萬兩於宣府。
HCH_012_016_000249	冬十月癸卯，駐蹕順聖川。
HCH_012_016_000250	甲辰，小王子犯陽和，掠應州。
HCH_012_016_000251	丁未，親督諸軍禦之，戰五日。
HCH_012_016_000252	辛亥，寇引去，駐蹕大同。
HCH_012_016_000253	十一月丁亥，召楊廷和復入閣。
HCH_012_016_000254	戊子，還至宣府。
