HCH_012_019_000095	丙午，俺答寇大同、宣府，官兵拒卻之。
HCH_012_019_000096	是月，陝西賊寇四川。
HCH_012_019_000097	五月癸酉，給事中李己諫買金寶，廷杖下獄。
HCH_012_019_000098	秋七月己巳，禁章奏浮冗。
HCH_012_019_000099	命撫、按官嚴禁有司酷刑。
HCH_012_019_000100	戊子，陳以勤致仕。
HCH_012_019_000101	乙未，免四川被災稅糧。
HCH_012_019_000102	八月庚戌，宣、大告警，敕邊備。
HCH_012_019_000103	九月癸酉，陝西水災，蠲振有差。
HCH_012_019_000104	甲戌，河決邳州。
HCH_012_019_000105	壬午，免北畿、湖廣被災稅糧。
HCH_012_019_000106	癸未，寇犯大同，副總兵錢棟戰死。
HCH_012_019_000107	戊子，犯錦州，總兵官王治道等戰死。
HCH_012_019_000108	甲午，罷京營文武提督，置總督協理大臣。
HCH_012_019_000109	冬十月癸卯，俺答孫把漢那吉來降。
HCH_012_019_000110	丁未，以把漢那吉為指揮使。
HCH_012_019_000111	壬戌，考察給事中、御史。
HCH_012_019_000112	十一月丁丑，俺答乞封。
HCH_012_019_000113	己卯，祀天於南郊。
HCH_012_019_000114	乙酉，趙貞吉罷。
HCH_012_019_000115	己丑，禮部尚書殷士儋兼文淵閣大學士，預機務。
HCH_012_019_000116	十二月丁酉，俺答執叛人趙全等九人來獻，詔遣把漢那吉歸，厚賜之。
HCH_012_019_000117	乙卯，受俘，磔趙全等於市。
HCH_012_019_000118	五年春二月甲午，廷臣及朝覲官謁皇太子於文華左門。
HCH_012_019_000119	己未，封皇子翊鏐為潞王。
HCH_012_019_000120	三月己卯，賜張元忭等進士及第、出身有差。
HCH_012_019_000121	己丑，封俺答為順義王。
HCH_012_019_000122	夏四月甲午，河復決邳州。
HCH_012_019_000123	五月壬戌，古田僮賊平。
HCH_012_019_000124	戊寅，李春芳致仕。
HCH_012_019_000125	六月辛卯，京師地震者三，敕修省。
HCH_012_019_000126	甲辰，授河套部長吉能為都督同知。
HCH_012_019_000127	甲寅，順義王俺答貢馬，告廟受賀。
HCH_012_019_000128	丙辰，俺答執趙全餘黨十三人來獻。
HCH_012_019_000129	秋八月癸卯，許河套部互市。
HCH_012_019_000130	九月癸未，三鎮貢市成。
