HCH_009_068_000069	天會十五年，追贈儀同三司、代國公。
HCH_009_068_000070	明昌五年，贈開府儀同三司，諡曰忠敏。
HCH_009_068_000071	子穀神、謀演。
HCH_009_068_000072	穀神別有傳。
HCH_009_068_000073	謀演，當阿注阿之難，從歡都代為質。
HCH_009_068_000074	後與宗峻俱侍太祖，宗峻坐謀演上，上怒，命坐其下。
HCH_009_068_000075	孛堇老孛論、拔合汝、轄拔速三人爭千戶，上曰：「汝輩能如歡都父子有勞于國者乎。」
HCH_009_068_000076	乃命謀演為千戶，三人者皆隸焉，其眷顧如此。
HCH_009_068_000077	天輔五年十二月卒，天會十五年贈太子少傅。
HCH_009_068_000078	冶訶系出景祖，居神隱水完顏部，為其部勃堇。
HCH_009_068_000079	與同部人把裏勃堇，斡泯水蒲察部胡都化勃堇、廝都勃堇，泰神忒保水完顏部安團勃堇，統門水溫蒂痕部活裏蓋勃堇，俱來歸，金之為國，自此益大。
HCH_009_068_000080	肅宗拒桓赧已再失利，世祖命歡都、冶訶，以本部謀克之兵助之。
HCH_009_068_000081	冶訶與歡都常在世祖左右，居則與謀議，出則泣行陣，未嘗不在其間。
HCH_009_068_000082	天會十五年，贈銀青光祿大夫。
HCH_009_068_000083	明昌五年，贈特進，諡忠濟，與代國公歡都、特進劾者、開府儀同三司盆納、儀同三司拔達，俱配享世祖廟廷。
HCH_009_068_000084	冶訶子阿魯補、骨赧、訛古乃、散荅。
HCH_009_068_000085	散荅子蒲查。
HCH_009_068_000086	阿魯補，冶訶之子。
HCH_009_068_000087	為人魁偉多智略，勇於戰。
HCH_009_068_000088	未冠從軍，下咸州、東京。
HCH_009_068_000089	遼人來取海州，從勃堇麻吉往援，道遇重敵，力戰，斬首千級。
HCH_009_068_000090	從斡魯古攻豪、懿州，以十餘騎破敵七百，進襲遼主。
HCH_009_068_000091	阿魯補徇北地，招降營帳二十四，民戶數千。
