HCH_012_026_000110	七年九月戊午，太白犯荧惑于氐。
HCH_012_026_000111	十一年九月丁亥，太白犯岁星。
HCH_012_026_000112	十二年七月戊午，荧惑犯填星。
HCH_012_026_000113	十四年二月己卯，太白犯荧惑。
HCH_012_026_000114	七月丙午，荧惑犯填星。
HCH_012_026_000115	景泰元年闰正月丁卯，荧惑犯岁星。
HCH_012_026_000116	天顺七年十一月乙卯朔，荧惑犯填星。
HCH_012_026_000117	成化六年九月乙亥，太白犯岁星。
HCH_012_026_000118	十一年七月戊辰，太白犯填星。
HCH_012_026_000119	十三年九月丙寅，荧惑犯填星。
HCH_012_026_000120	十六年六月壬申，太白犯岁星。
HCH_012_026_000121	弘治二年正月戊辰，太白犯岁星。
HCH_012_026_000122	十一月壬午，太白犯填星。
HCH_012_026_000123	三年正月庚申，太白犯填星。
HCH_012_026_000124	五年八月丁未，荧惑犯岁星。
HCH_012_026_000125	六年十一月己未，太白犯填星。
HCH_012_026_000126	七年九月甲寅及十年正月丙辰，荧惑犯岁星。
HCH_012_026_000127	十二月庚辰，辰星犯岁星。
HCH_012_026_000128	十七年闰四月癸酉，岁星犯填星。
HCH_012_026_000129	正德二年十月癸未，荧惑犯填星。
HCH_012_026_000130	八年正月壬午及十六年十二月丙午，俱太白犯岁星。
HCH_012_026_000131	嘉靖元年正月己未，太白犯岁星。
HCH_012_026_000132	十二月甲戌，太白犯填星。
HCH_012_026_000133	三年正月癸酉，太白犯岁星。
HCH_012_026_000134	二十九年六月庚辰，荧惑犯岁星守井。
HCH_012_026_000135	万历五年十二月辛丑，太白犯填星于斗。
HCH_012_026_000136	九年十二月癸巳，太白犯填星入危。
HCH_012_026_000137	十一年六月丁丑，太白犯荧惑。
HCH_012_026_000138	十五年五月己亥，太白犯填星。
HCH_012_026_000139	二十四年四月己酉，太白犯岁星。
HCH_012_026_000140	二十五年七月甲辰，荧惑犯岁星。
HCH_012_026_000141	二十七年闰四月庚寅，辰星犯太白于井。
HCH_012_026_000142	三十四年十一月庚辰，荧惑掩岁星于危；甲辰，荧惑犯岁星。
HCH_012_026_000143	三十八年十一月辛亥，太白犯填星于虚。
HCH_012_026_000144	四十七年三月壬子，太白犯岁星于壁。
HCH_012_026_000145	天启元年八月丙申，荧惑与太白同度者两日。
HCH_012_026_000146	崇祯九年六月己亥，太白犯岁星于张。
HCH_012_026_000147	洪武十四年六月癸未，辰星、荧惑、太白聚于井。
HCH_012_026_000148	十七年六月丙戌，岁星、填星、太白聚于参。
HCH_012_026_000149	十八年二月乙巳，五星并见。
HCH_012_026_000150	三月戊子，填星、岁星、太白聚于井。
HCH_012_026_000151	二十年二月壬午朔，五星俱见。
