HCH_010_065_000052	興宗封宋國長公主。
HCH_010_065_000053	下嫁蕭匹里。
HCH_010_065_000054	巖母菫，第二。
HCH_010_065_000055	開泰七年，封魏國公主。
HCH_010_065_000056	進封秦國長公主，改封秦晉國長公主。
HCH_010_065_000057	清寧初，加大長公主。
HCH_010_065_000058	下嫁蕭啜不。
HCH_010_065_000059	改適蕭海里，不諧，離之。
HCH_010_065_000060	又適蕭胡覩，不諧，離之，乃適韓國王蕭惠。
HCH_010_065_000061	槊古，第三。
HCH_010_065_000062	封越國公主，進封晉國。
HCH_010_065_000063	景福初，封晉蜀國長公主。
HCH_010_065_000064	清寧初，加大長公主。
HCH_010_065_000065	下嫁蕭孝忠。
HCH_010_065_000066	姿質秀麗，禮法自將。
HCH_010_065_000067	以疾薨。
HCH_010_065_000068	蕭氏生二女：蕭氏，國舅夷離畢房之女。
HCH_010_065_000069	崔八，第四。
HCH_010_065_000070	封南陽郡主進封公主。
HCH_010_065_000071	下嫁蕭孝先。
HCH_010_065_000072	太平末，東京大延琳反，遇害。
HCH_010_065_000073	陶哥，第五。
HCH_010_065_000074	封長寧郡主，進封公主。
HCH_010_065_000075	下嫁蕭楊六。
HCH_010_065_000076	鈿匿，第六。
HCH_010_065_000077	封平原郡主，進封荊國公主。
HCH_010_065_000078	下嫁蕭雙古。
HCH_010_065_000079	九哥，第七。
HCH_010_065_000080	封潯陽郡主，進封公主。
HCH_010_065_000081	下嫁蕭璉。
HCH_010_065_000082	長壽，第八。
HCH_010_065_000083	封臨海郡主，進封公主。
HCH_010_065_000084	駙馬都尉大力秋坐大延琳事伏誅，改適蕭慥古。
HCH_010_065_000085	八哥，第九。
HCH_010_065_000086	封同昌縣主，進封公主。
HCH_010_065_000087	下嫁劉三嘏。
HCH_010_065_000088	十哥，第十。
HCH_010_065_000089	封三河郡主，進封公主。
HCH_010_065_000090	下嫁奚王蕭高九。
HCH_010_065_000091	擘失，第十一。
HCH_010_065_000092	封仁壽縣主，進封公主。
HCH_010_065_000093	下嫁劉四端。
HCH_010_065_000094	泰哥，第十二。
HCH_010_065_000095	下嫁蕭忽烈。
HCH_010_065_000096	賽哥，第十三。
HCH_010_065_000097	封金鄉郡主，進封公主。
HCH_010_065_000098	統和中，下嫁蕭圖玉。
HCH_010_065_000099	以殺奴婢，得罪。
HCH_010_065_000100	薨於貶所。
HCH_010_065_000101	興哥，第十四。
HCH_010_065_000102	下嫁蕭王六。
HCH_010_065_000103	跋芹，第一。
HCH_010_065_000104	封魏國公主。
HCH_010_065_000105	重熙末，徙封晉國，加長公主。
HCH_010_065_000106	下嫁蕭撒八。
HCH_010_065_000107	與駙馬都尉蕭撒八不諧，離之。
HCH_010_065_000108	清寧初，改適蕭阿速。
HCH_010_065_000109	以婦道不修，徙中京，又嫁蕭窩匿。
HCH_010_065_000110	斡里太，第二。
HCH_010_065_000111	封鄭國公主。
HCH_010_065_000112	清寧間，加長公主。
HCH_010_065_000113	壽隆間，加大長公主。
HCH_010_065_000114	下嫁蕭余里也。
HCH_010_065_000115	撒葛只，第一。
HCH_010_065_000116	封鄭國公主。
HCH_010_065_000117	咸雍中，徙封魏國。
HCH_010_065_000118	下嫁蕭末。
HCH_010_065_000119	端麗有智。
HCH_010_065_000120	大康初薨。
HCH_010_065_000121	糺里，第二。
HCH_010_065_000122	封齊國公主，進封趙國。
HCH_010_065_000123	下嫁蕭撻不也。
HCH_010_065_000124	駙馬都尉撻不也坐昭懷太子事被害，其弟訛都斡欲逼尚公主，公主以訛都斡黨乙辛，惡之。
HCH_010_065_000125	未幾，訛都斡以事伏誅。
HCH_010_065_000126	天祚幼，乙辛用事。
HCH_010_065_000127	公主每以匡救為心，竟誅乙辛。
HCH_010_065_000128	大安五年，以疾薨。
HCH_010_065_000129	特里，第三。
HCH_010_065_000130	封越國公主。
HCH_010_065_000131	乾統初，進封秦晉國大長公主。
HCH_010_065_000132	徙封梁宋國大長公主。
HCH_010_065_000133	下嫁蕭酬斡。
HCH_010_065_000134	公主從天祚出奔。
HCH_010_065_000135	明年，攻應州，留公主守輜重。
HCH_010_065_000136	金人圍之，公主奔行在所，天祚潛遁，為金人所獲。
HCH_010_065_000137	大康八年，以駙馬都尉蕭酬斡得罪，離之。
HCH_010_065_000138	大安初，改適蕭特末。
HCH_010_065_000139	為都統，與金人戰，敗于石輦鐸，被擒。
HCH_010_065_000140	延壽。
HCH_010_065_000141	封楚國公主，徙封許國。
HCH_010_065_000142	乾統元年，進封趙國，加秦晉國長公主。
HCH_010_065_000143	下嫁蕭韓家奴。
HCH_010_065_000144	幼遭乙辛之難，與兄天祚俱養于蕭懷忠家。
HCH_010_065_000145	後李氏進挾穀歌，文帝感悟，召還宮。
HCH_010_065_000146	余里衍。
HCH_010_065_000147	封蜀國公主。
HCH_010_065_000148	為金人所獲。
HCH_010_065_000149	俱為金人所獲。
HCH_010_065_000150	俱為金人所獲。
HCH_010_065_000151	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
