HCH_010_041_000113	貞觀四年分靈州境，置相州都督府，領蕃戶。
HCH_010_041_000114	天寶初改九原郡。
HCH_010_041_000115	乾元元年復豐州，後入回鶻。
HCH_010_041_000116	會昌中克之，後唐改天德軍。
HCH_010_041_000117	太祖神冊五年攻下，更名應天軍，復為州。
HCH_010_041_000118	有大鹽濼、九十九泉、沒越濼、古磧口、青冢，即王昭君墓，兵事屬西南面招討司。
HCH_010_041_000119	統縣二：富民縣。
HCH_010_041_000120	本漢臨戎縣，遼改今名。
HCH_010_041_000121	戶一千二百。
HCH_010_041_000122	振武縣。
HCH_010_041_000123	本漢定襄郡盛樂縣。
HCH_010_041_000124	背負陰山，前帶黃河。
HCH_010_041_000125	元魏嘗都盛樂，即此。
HCH_010_041_000126	唐武德四年克突厥，建雲中都督府。
HCH_010_041_000127	麟德三年改單于大都督府。
HCH_010_041_000128	聖歷元年又改安北都督。
HCH_010_041_000129	開元七年割隸東受降城。
HCH_010_041_000130	八年置振武軍節度使。
HCH_010_041_000131	會昌五年為安北都護府。
HCH_010_041_000132	後唐莊宗以兄嗣本為振武節度使。
HCH_010_041_000133	太祖神冊元年，伐吐渾還，攻之，盡俘其民以東，唯存鄉兵三百人防戍。
HCH_010_041_000134	後更為縣。
HCH_010_041_000135	雲內州，開遠軍，下，節度。
HCH_010_041_000136	本中受降城地。
HCH_010_041_000137	遼初置代北雲朔招討司，改雲內州。
HCH_010_041_000138	清寧初升。
HCH_010_041_000139	有威塞軍、古可敦城、大同川、天安軍、永濟柵、安樂戍、拂雲堆。
HCH_010_041_000140	兵事屬西南面招討司。
HCH_010_041_000141	統縣二：柔服縣。
HCH_010_041_000142	寧人縣。
HCH_010_041_000143	天德軍，本中受降城。
HCH_010_041_000144	唐開元中廢橫塞軍，置天安軍於大同川。
HCH_010_041_000145	乾元中改天德軍，移永濟柵，今治是也。
HCH_010_041_000146	太祖平党項，遂破天德，盡掠吏民以東。
HCH_010_041_000147	後置招討司，漸成井邑，乃以國族為天德軍節度使。
HCH_010_041_000148	有黃河、黑山峪、盧城、威塞軍、秦長城、唐長城；又有牟那山，鉗耳觜城在其北。
HCH_010_041_000149	寧邊州，鎮西軍，下，刺史。
HCH_010_041_000150	本唐隆鎮，遼置。
HCH_010_041_000151	兵事屬西南面招討司。
HCH_010_041_000152	奉聖州，武定軍，上，節度。
HCH_010_041_000153	本唐新州。
HCH_010_041_000154	後唐置團練使，總山後八軍，莊宗以弟存矩為之。
