HCH_011_055_000062	世祖與紀書曰：「皇帝敬問假黃鉞太尉武陵王：自九黎侵軼，三苗寇擾，天長喪亂，獯醜馮陵，虔劉象魏，黍離王室。朕枕戈東望，泣血西浮，殞愛子於二方，無諸侯之八百，身被屬甲，手貫流矢。俄而風樹之酷，萬恨始纏，霜露之悲，百憂繼集，扣心飲膽，志不圖全。直以宗社綴旒，鯨鯢未剪，嘗膽待旦，龔行天罰，獨運四聰，坐揮八柄。雖復結壇待將，褰帷納士，拒赤壁之兵，無謀於魯肅；燒烏巢之米，不訪於荀攸；才智將殫，金貝殆竭，傍無寸助，險阻備嘗。遂得斬長狄於駒門，挫蚩尤於楓木。怨恥旣雪，天下無塵，經營四方，專資一力，方與岳牧，同茲清靜。隆暑炎赫，弟比何如？文武具僚，當有勞弊。今遣散騎常侍、光州刺史鄭安忠，指宣往懷。」
HCH_011_055_000063	仍令喻意於紀，許其還蜀，專制岷方。
HCH_011_055_000064	紀不從命，報書如家人禮。
HCH_011_055_000065	庚申，紀將侯叡率衆緣山將規進取，任約、謝答仁與戰，破之。
HCH_011_055_000066	旣而陸納平，諸軍並西赴，世祖又與紀書曰：「甚苦大智！季月煩暑，流金爍石，聚蚊成雷，封狐千里，以茲玉體，辛苦行陣。乃眷西顧，我勞如何？自獯醜憑陵，羯胡叛換，吾年爲一日之長，屬有平亂之功，膺此樂推，事歸當璧。儻遣使乎，良所遲也。如曰不然，於此投筆。友于兄弟，分形共氣。兄肥弟瘦，無復相代之期；讓棗推梨，長罷歡愉之日。上林靜拱，聞四鳥之哀鳴；宣室披圖，嗟萬始之長逝。心乎愛矣，書不盡言。」
HCH_011_055_000067	大智，紀之別字也。
HCH_011_055_000068	紀遣所署度支尚書樂奉業至于江陵，論和緝之計，依前旨還蜀。
HCH_011_055_000069	世祖知紀必破，遂拒而不許。
HCH_011_055_000070	丙戌，巴興民苻昇、徐子初等斬紀硤口城主公孫晃，降于衆軍。
HCH_011_055_000071	王琳、宋簉、任約、謝答仁等因進攻侯叡，陷其三壘，於是兩岸十餘城遂俱降。
HCH_011_055_000072	將軍樊猛獲紀及其第三子圓滿，俱殺之於硤口，時年四十六。
HCH_011_055_000073	有司奏請絕其屬籍，世祖許之，賜姓饕餮氏。
HCH_011_055_000074	初，紀將僭號，妖怪非一。
HCH_011_055_000075	其最異者，內寢柏殿柱繞節生花，其莖四十有六，靃靡可愛，狀似荷花。
HCH_011_055_000076	識者曰：「王敦杖花，非佳事也。」
HCH_011_055_000077	紀年號天正，與蕭棟暗合，僉曰「天」字「二人」也，「正」字「一止」也。
HCH_011_055_000078	棟、紀僭號，各一年而滅。
HCH_011_055_000079	臨賀王正德字公和，臨川靖惠王第三子也。
HCH_011_055_000080	少粗險，不拘禮節。
HCH_011_055_000081	初，高祖未有男，養之爲子。
HCH_011_055_000082	及高祖踐極，便希儲貳，後立昭明太子，封正德爲西豊侯，邑五百戶。
HCH_011_055_000083	自此怨望，恒懷不軌，䁹睨宮扆，覬幸災變。
HCH_011_055_000084	普通六年，以黃門侍郎爲輕車將軍，置佐史。
HCH_011_055_000085	頃之，遂逃奔于魏，有司奏削封爵。
HCH_011_055_000086	七年，又自魏逃歸，高祖不之過也。
HCH_011_055_000087	復其封爵，仍除征虜將軍。
HCH_011_055_000088	中大通四年，爲信武將軍、吳郡太守。
HCH_011_055_000089	徵爲侍中、撫軍將軍，置佐史，封臨賀郡王，邑二千戶，又加左衛將軍。
HCH_011_055_000090	而凶暴日甚，招聚亡命。
HCH_011_055_000091	侯景知其有姦心，乃密令誘說，厚相要結。
