HCH_012_154_000082	輔沖其中堅，賊卻，左右隊叠進，官軍與相鉤連，殊死戰。
HCH_012_154_000083	自卯至巳，大破賊，擒渠帥七十五人。
HCH_012_154_000084	進軍乂安府，賊將降者相繼。
HCH_012_154_000085	十一年冬，與晟會順州，戰愛子江。
HCH_012_154_000086	賊驅象前行。
HCH_012_154_000087	輔戒士卒，一矢落象奴，二矢射象鼻。
HCH_012_154_000088	象奔還，自蹂其眾。
HCH_012_154_000089	裨將楊鴻、韓廣、薛聚等乘勢繼進，矢落如雨，賊大敗。
HCH_012_154_000090	擒其帥五十六人。
HCH_012_154_000091	追至愛母江，盡降其眾。
HCH_012_154_000092	明年正月進至政平州。
HCH_012_154_000093	聞賊屯暹蠻、昆蒲諸柵，遂引兵往。
HCH_012_154_000094	懸崖側徑，騎不得進。
HCH_012_154_000095	輔與將校徒步行山箐中。
HCH_012_154_000096	夜四鼓抵其巢，悉擒阮景異、鄧容等。
HCH_012_154_000097	季擴走老撾，遣指揮師祐以兵索之，破其三關。
HCH_012_154_000098	遂縛季擴及其孥送京師。
HCH_012_154_000099	賊平。
HCH_012_154_000100	承制，以賊所取占城地，設升、華、思、義四州，增置衛所，官其降人，留軍守之而還。
HCH_012_154_000101	十三年春至京。
HCH_012_154_000102	旋命為交阯總兵官往鎮。
HCH_012_154_000103	而余寇陳月湖等復作亂，輔悉討平之。
HCH_012_154_000104	十四年冬召還。
HCH_012_154_000105	輔凡四至交阯，前後建置郡邑及增設驛傳遞運，規畫甚備。
HCH_012_154_000106	交人所畏惟輔。
HCH_012_154_000107	輔還一年而黎利反，累遣將討之，無功。
HCH_012_154_000108	至宣德時，柳升敗沒，王通與賊盟，倉卒引還。
HCH_012_154_000109	廷議棄交阯，輔爭之不能得也。
HCH_012_154_000110	仁宗即位，掌中軍都督府事，進太師，並支二俸。
HCH_012_154_000111	尋命輔所受太師俸於北京倉支給。
HCH_012_154_000112	時百官俸米皆給於南京，此蓋特恩雲。
HCH_012_154_000113	成祖喪滿二十七日，帝素冠麻衣以朝。
HCH_012_154_000114	而群臣皆已從吉，惟輔與學士楊士奇服如帝。
HCH_012_154_000115	帝嘆曰：「輔，武臣也，而知禮過六卿。」
HCH_012_154_000116	益見親重。
HCH_012_154_000117	尋命知經筵事，監修《實錄》。
HCH_012_154_000118	宣德元年，漢王高煦謀反，誘諸功臣為內應，潛遣人夜至輔所。
HCH_012_154_000119	輔執之以聞，盡得其反狀，因請將兵擊之。
HCH_012_154_000120	帝決策親征，命輔扈行。
HCH_012_154_000121	事平，加祿三百石。
HCH_012_154_000122	輔威名益盛，而久握兵。
HCH_012_154_000123	四年，都御史顧佐請保全功臣。
HCH_012_154_000124	詔輔解府務，朝夕侍左右，謀畫軍國重事，進階光祿大夫左柱國，朝朔望。
HCH_012_154_000125	英宗即位，加號翊連佐理，知經筵、監修《實錄》如故。
HCH_012_154_000126	輔雄毅方嚴，治軍整肅，屹如山嶽。
HCH_012_154_000127	三定交南，威名聞海外。
HCH_012_154_000128	歷事四朝，連姻帝室，而小心敬慎，與蹇、夏、三楊，同心輔政。
HCH_012_154_000129	二十餘年，海內宴然，輔有力焉。
HCH_012_154_000130	王振擅權，文武大臣望塵頓首，惟輔與抗禮。
HCH_012_154_000131	也先入犯，振導英宗親征，輔從行，不使預軍政。
HCH_012_154_000132	輔老矣，默默不敢言。
HCH_012_154_000133	至土木，死於難，年七十五。
HCH_012_154_000134	追封定興王，謚忠烈。
HCH_012_154_000135	子懋，九歲嗣公。
HCH_012_154_000136	憲宗閱騎射西苑。
