HCH_012_165_000041	魯奏請重臣仍開府梧州，遂為永制。
HCH_012_165_000042	秩滿，課最，進副使。
HCH_012_165_000043	兵部尚書余子俊奏其撫輯勞，賚銀幣。
HCH_012_165_000044	魯治兵久。
HCH_012_165_000045	賊剽兩粵，大者會剿，小者專征，所向奏捷。
HCH_012_165_000046	賊讎之次骨，劫其郁林故居，焚誥命，發先塋，戕其族黨。
HCH_012_165_000047	魯聞大慟。
HCH_012_165_000048	詔徙籍廣東，補給封誥，慰勞有加，益奮誌討賊。
HCH_012_165_000049	二十年，以征荔浦瑤功，增俸一級。
HCH_012_165_000050	又九載，課最，進湖廣按察使，治兵兩廣如故。
HCH_012_165_000051	郁林、陸川賊黃公定、胡公明等為亂，與參將歐磐分五路進討，大破之，毀賊巢一百三十。
HCH_012_165_000052	弘治四年，總督秦纮遣平德慶瑤，進湖廣右布政使。
HCH_012_165_000053	魯言身居兩廣，而官以湖廣為名，於事體非便，乃改湖廣左布政使兼廣東按察副使，領嶺西道事。
HCH_012_165_000054	人稱之為「三廣公」。
HCH_012_165_000055	十一年，總督鄧廷瓚請官其子，俾統魯所募健卒備征討。
HCH_012_165_000056	乃授其子荊民錦衣百戶。
HCH_012_165_000057	是年，魯卒。
HCH_012_165_000058	荊民復陳父功，遂進副千戶，世襲。
HCH_012_165_000059	魯善撫士，多智計，謀定後戰。
HCH_012_165_000060	鑿池公署後，為亭其中，不置橋。
HCH_012_165_000061	夜則召部下計事。
HCH_012_165_000062	以版度一人，語畢，令退。
HCH_012_165_000063	如是凡數人，乃擇其長而參伍用之，故常得勝算而機不泄。
HCH_012_165_000064	羽書狎至，戎裝宿戒，聲色不動。
HCH_012_165_000065	審賊可乘，潛師出城，中夜合圍，曉輒奏凱。
HCH_012_165_000066	賊善偵，終不能得要領。
HCH_012_165_000067	歷官四十五年，始終不離兵事。
HCH_012_165_000068	大小數十戰，凡斬馘二萬一千四百有奇，奪還被掠及撫安復業者十三萬七千有奇，兩廣人倚之如長城。
HCH_012_165_000069	然魯將兵不專尚武，嘗言：「治寇賊，化之為先，不得已始殺之耳。」
HCH_012_165_000070	每平賊，率置縣建學以興教化。
HCH_012_165_000071	魯初為丞，年才弱冠，知縣王重勉之學。
HCH_012_165_000072	重故老儒，魯遂請執弟子禮。
HCH_012_165_000073	每晨，授經史講解而後視事。
HCH_012_165_000074	後重卒官，魯執喪如父禮，且資其二子。
HCH_012_165_000075	又敬事名儒陳獻章，獻章亦重之。
HCH_012_165_000076	宋陸秀夫、張世傑盡節崖山，未有廟祀，特為建祠，請祠額，賜名大忠。
HCH_012_165_000077	嘉靖初，魯歿三十載矣，新會人思其德，頌於朝，賜祠祀之。
HCH_012_165_000078	陳敏，陜西華亭人。
HCH_012_165_000079	宣德時，為四川茂州知州。
