HCH_013_018_000082	固子超年十五，有膂力，臨刑，仰天一呼，網索俱斷，因奪劊子刀連殺十餘人。
HCH_013_018_000083	事聞，詔磔之。
HCH_013_018_000084	右副都御史練子寧，名安，以字行，被臨安衛指揮劉傑縛至闕，語不遜。
HCH_013_018_000085	文皇大怒，命斷其舌，曰：「吾欲效周公輔成王耳！」
HCH_013_018_000086	子寧手探舌血，大書地上「成王安在」四字。
HCH_013_018_000087	文皇益怒，命磔之。
HCH_013_018_000088	宗族棄市者一百五十一人，又九族親家之親被抄沒戍遠方者又數百人。
HCH_013_018_000089	越數年，吉水錢習禮以練氏姻族，未及逮，既官中朝，恆為鄉人所持，以告學士楊榮，榮乘間以聞。
HCH_013_018_000090	文皇曰：「使子寧尚在，朕固當用之，況習禮耶！」
HCH_013_018_000091	兵部尚書齊泰聞建文帝遜去，追至廣德，欲往他郡起兵興復，被執，見文皇，不屈，死之。
HCH_013_018_000092	從兄弟敬宗、宰皆死，叔時永、陽彥等謫戍。
HCH_013_018_000093	兒甫六歲，給配，赦還。
HCH_013_018_000094	太常卿黃子澄，初，執李景隆于朝，請誅之，不聽。
HCH_013_018_000095	江、淮連敗，拊膺慟哭曰：「大事去矣！誤薦景隆，萬死不足贖。」
HCH_013_018_000096	建文帝密使子澄召兵，不及。
HCH_013_018_000097	責問不屈，族其家。
HCH_013_018_000098	一子走，易姓名田經，遇赦，家湖廣。
HCH_013_018_000099	吏部尚書張紞，遜國後，自經死。
HCH_013_018_000100	侍郎毛太，燕兵起，數上封事，條方略。
HCH_013_018_000101	紞死，太亦死。
HCH_013_018_000102	禮部侍郎黃觀，字瀾伯，奉命徵兵上江諸郡，奮不顧家，且行且募。
HCH_013_018_000103	至安慶，聞金川失守，痛哭，謂人曰：「吾妻素有志節，必不辱。」
HCH_013_018_000104	遂招魂葬之江上。
HCH_013_018_000105	明日，家人報至，云：「家已被收，夫人并二女給配象奴。夫人翁氏持釵釧佯使出市酒餚，急攜二女同家屬十餘人投通濟門淮清橋下死。」
HCH_013_018_000106	觀復痛哭。
HCH_013_018_000107	至李陽河，聞建文帝已遜位，知事不可為，乃朝服東向再拜，自投羅剎磯湍激處，舟人急鈎之，僅得珠絲粽帽以獻。
HCH_013_018_000108	命束芻象觀，帽之而剉于市，籍其家，并連姻黨百餘人謫戍。
HCH_013_018_000109	蘇州知府姚善，合鎮、常、嘉、松四郡守，練兵勤王。
HCH_013_018_000110	未及戰，文皇即位，索黃子澄甚急。
HCH_013_018_000111	子澄匿善所，約共航海舉兵，善謝曰：「公可去，善不可去。公朝臣，可四往號召圖興復，善職守土，義當與城存亡。」
HCH_013_018_000112	子澄遂去。
HCH_013_018_000113	善為麾下許千戶縛獻。
HCH_013_018_000114	文皇詰善曰：「若一郡守，乃敢舉兵抗我耶？」
HCH_013_018_000115	善厲聲曰：「臣各為其主耳！」
HCH_013_018_000116	語多不遜，遂磔之。
HCH_013_018_000117	善友黃鉞者，仕為給事中，與善相期許國。
HCH_013_018_000118	鉞以親喪家居，聞善被執，鉞遂閉目三四日求死。
