HCH_012_312_000196	六月四日，天忽霽，綎先士卒，克土城。
HCH_012_312_000197	應龍益迫，散金募死士拒戰，無應者。
HCH_012_312_000198	起，提刀巡壘，見四面火光燭天，大兵已登囤，破土城入。
HCH_012_312_000199	應龍倉皇同愛妾二闔室縊，且自焚。
HCH_012_312_000200	吳廣獲其子朝棟，急覓應龍屍，出焰中。
HCH_012_312_000201	賊平。
HCH_012_312_000202	計出師至滅賊，百十有四日，八路共斬級二萬餘，生獲朝棟等百餘人。
HCH_012_312_000203	化龍露布以聞，獻俘闕下，剉應龍屍，磔朝棟、兆龍等於市。
HCH_012_312_000204	播州自唐入楊氏，傳二十九世，八百餘年，至應龍而亡。
HCH_012_312_000205	三十一年，播州余逆吳洪、盧文秀等叛，總兵李應祥等討平之。
HCH_012_312_000206	分播地為二，屬蜀者曰遵義府，屬黔者為平越府。
HCH_012_312_000207	永寧，唐藺州地。
HCH_012_312_000208	宋為滬州江安、合江二縣境。
HCH_012_312_000209	元置永寧路，領筠連州及騰川縣，後改為永寧宣撫司。
HCH_012_312_000210	洪武四年平蜀，永寧內附，置永寧衛。
HCH_012_312_000211	六年，筠連州滕大寨蠻編張等叛，詐稱雲南兵，據湖南長寧諸州縣，命成都衛指揮袁洪討之。
HCH_012_312_000212	洪引兵至敘州慶符縣，攻破清平關，擒偽千戶李文質等。
HCH_012_312_000213	編張遁走，復以兵犯江安諸縣。
HCH_012_312_000214	洪追及之，又敗其眾，焚其九寨，獲編張子偽鎮撫張壽。
HCH_012_312_000215	編張遁匿溪洞，余黨散入雲南。
HCH_012_312_000216	帝聞之，敕諭洪曰：「南蠻叛服不常，不足罪。既獲其俘，宜編為軍。且駐境上，必以兵震之，使詟天威，無遺後患。」
HCH_012_312_000217	未幾，張復聚眾據滕大寨，洪移兵討敗之。
HCH_012_312_000218	追至小芒部，張遁去，遂取得花寨，擒阿普等。
HCH_012_312_000219	自是，張不敢復出，其寨悉平。
HCH_012_312_000220	遂降筠連州為縣，屬敘州，以九姓長官司隸永寧安撫司。
HCH_012_312_000221	七年升永寧等處軍民安撫司為宣撫使司，秩正三品。
HCH_012_312_000222	八年以祿照為宣撫使。
HCH_012_312_000223	十七年，永寧宣撫使祿照貢馬，詔賜鈔幣冠服，定三年一貢如例。
HCH_012_312_000224	十八年，祿照遣弟阿居來朝，言比年賦馬皆已輸，惟糧不能如數。
HCH_012_312_000225	緣大軍南征，蠻民驚竄，耕種失時，加以兵後疾疫死亡者多，故輸納不及。
HCH_012_312_000226	命蠲之。
HCH_012_312_000227	二十三年，永寧宣撫言，所轄地水道有一百九十灘，其江門大灘有八十二處，皆石塞其流。
HCH_012_312_000228	詔景川侯曹震往疏鑿之。
HCH_012_312_000229	二十四年，震至瀘州按視，有枝河通永寧，乃鑿石削崖，以通漕運。
HCH_012_312_000230	二十六年，以祿照子阿聶襲職。
HCH_012_312_000231	先是，祿照坐事逮至京，得直，還卒於途。
HCH_012_312_000232	其子阿聶與弟智皆在太學，遂以庶母奢尾署司事。
HCH_012_312_000233	至是，奢尾入朝，請以阿聶襲，從之。
HCH_012_312_000234	永樂四年，免永寧荒田租。
HCH_012_312_000235	宣德八年，故宣撫阿聶妻奢蘇朝貢。
HCH_012_312_000236	九年，宣撫奢蘇奏：「生儒皆土僚，朝廷所授官言語不通，難以訓誨。永寧監生李源資厚學通，乞如雲南鶴慶府例，授為儒學訓導。」
HCH_012_312_000237	詔從之。
HCH_012_312_000238	景泰二年，減永寧宣撫司稅課局鈔，以苗賊竊發，客商路阻，從布政司請也。
HCH_012_312_000239	成化元年，山都掌大壩等寨蠻賊分劫江安等縣，兵部以聞。
HCH_012_312_000240	二年，國子學錄黃明善奏：「四川山都掌蠻屢歲出沒，殺掠良民。景泰元年招之復叛，天順六年撫之又反。近總兵李安令永寧宣撫奢貴赴大壩招撫，亦未效。恐開釁無已，宜及大兵之集，早為定計，毋釀邊患。」
HCH_012_312_000241	三年，明善復言：「宋時多剛縣蠻為寇，用白芀子兵破之。白芀子者，即今之民壯；多剛縣者，即今之都掌多剛寨也。前代用鄉兵有明效，宜急募民壯，以助官軍。都掌水稻十月熟，宜督兵先時取其田禾，則三月之內蠻必餒矣。軍宜分三路：南從金鵝池攻大壩，中從戎縣攻箐前，北從高縣攻都掌。小寨破，大寨自拔。又大壩南百餘裏為芒部，西南二百里為烏蒙，令二府土官截其險要。更用火器自下而上，順鳳延熱，寨必可攻。且征調土兵，須處置得宜，招募民壯，須賞罰必信。」
HCH_012_312_000242	詔總兵官參用之。
