HCH_012_201_000098	尋改南京兵部尚書。
HCH_012_201_000099	七年致仕，卒。
HCH_012_201_000100	久之，詔贈太子太保，謚康和。
HCH_012_201_000101	吳廷舉，字獻臣，其先嘉魚人，祖戍梧州，遂家焉。
HCH_012_201_000102	成化二十三年登進士，除順德知縣。
HCH_012_201_000103	上官屬修中貴人先祠，廷舉不可。
HCH_012_201_000104	市舶中官市葛，以二葛與之，曰：「非產也。」
HCH_012_201_000105	中官大怒。
HCH_012_201_000106	御史汪宗器亦惡廷舉，曰：「彼專抗上官，市名耳。」
HCH_012_201_000107	會廷舉毀淫祠二百五十所，撤其材作堤，葺學宮、書院。
HCH_012_201_000108	宗器謂有所侵盜，執下獄。
HCH_012_201_000109	按之不得間，慚而止。
HCH_012_201_000110	為縣十年，稍遷成都同知。
HCH_012_201_000111	憂歸，補松江。
HCH_012_201_000112	用尚書馬文升、劉大夏薦，擢廣東僉事。
HCH_012_201_000113	從總督潘蕃討平南海、清遠諸盜。
HCH_012_201_000114	正德初，歷副使。
HCH_012_201_000115	發總鎮中官潘忠二十罪。
HCH_012_201_000116	忠亦訐廷舉他事，逮系詔獄。
HCH_012_201_000117	劉瑾矯詔，枷之十餘日，幾死。
HCH_012_201_000118	戍雁門，旋赦免。
HCH_012_201_000119	楊一清薦其才，擢江西右參政。
HCH_012_201_000120	敗華林賊於連河。
HCH_012_201_000121	從陳金大破姚源賊。
HCH_012_201_000122	其黨走裴源，復從俞諫破之。
HCH_012_201_000123	賊首胡浩三既撫復叛，廷舉往諭，為所執。
HCH_012_201_000124	居三月，盡得其要領，誘使攜。
HCH_012_201_000125	及得還，浩三果殺其兄浩二，內亂。
HCH_012_201_000126	官兵乘之，遂擒浩三。
HCH_012_201_000127	與副使李夢陽不協，奏夢陽侵官，因乞休。
HCH_012_201_000128	不俟命竟去，坐停一歲俸。
HCH_012_201_000129	起廣東右布政使，復佐陳金平府江賊。
HCH_012_201_000130	擢右副都御史，振湖廣饑。
HCH_012_201_000131	已，復出湖南定諸夷疆地。
HCH_012_201_000132	寧王宸濠有逆謀，疏陳江西軍政六事，為豫防計。
HCH_012_201_000133	世宗立，召為工部右侍郎，旋改兵部。
HCH_012_201_000134	上疏詆陸完、王瓊、梁儲及少傅蔣冕，而自以為己昔居憲職無一言，乞罷黜以儆幸位。
HCH_012_201_000135	時完早得罪，瓊及儲已罷去，廷舉借以傾冕。
HCH_012_201_000136	冕遂求罷。
HCH_012_201_000137	帝頗不直廷舉，調南京工部，而慰諭冕。
HCH_012_201_000138	冕固請留之，不聽。
HCH_012_201_000139	嘉靖元年，廷舉乞休。
HCH_012_201_000140	尋以災異復自劾求罷，勸帝修德應天，因奏行其部興革十二事。
HCH_012_201_000141	尋就改戶部，遷右都御史，巡撫應天諸府。
HCH_012_201_000142	長洲知縣郭波以事挫織造中官張誌聰。
HCH_012_201_000143	誌聰伺波出，倒曳之車後。
HCH_012_201_000144	典史蕭景腆操兵教場，急率兵救。
HCH_012_201_000145	百姓登屋，飛瓦擊誌聰。
HCH_012_201_000146	誌聰奏逮波、景腆，廷舉具白誌聰貪黷狀。
HCH_012_201_000147	帝乃降波五級，調景腆遠方，誌聰亦召還。
HCH_012_201_000148	三年，以「大禮」議未定，請如洪武中修《孝慈錄》故事，令兩京部、寺、臺、省及天下督、撫各條所見，並詢家居老臣，采而行之，匯為一書，以詔後世。
HCH_012_201_000149	時已定稱本生考，廷舉窺帝意不慊，故為此奏。
HCH_012_201_000150	給事中張原、劉祺交劾之，不報。
HCH_012_201_000151	尋改南京工部尚書，辭不拜，稱疾乞休。
HCH_012_201_000152	帝慰留。
HCH_012_201_000153	已，復辭，且引白居易、張詠詩，語多詼諧，中復用嗚呼字。
HCH_012_201_000154	帝怒，以廷舉怨望無人臣禮，勒致仕。
HCH_012_201_000155	廷舉面如削瓜。
HCH_012_201_000156	衣敝帶穿，不事藻飾。
HCH_012_201_000157	言行必自信，人莫能奪。
HCH_012_201_000158	其在太學時，兄事羅玘。
HCH_012_201_000159	玘病痢，仆死，自煮藥飲之。
HCH_012_201_000160	負以如廁，一晝夜數十反。
HCH_012_201_000161	玘嘗語人曰：「獻臣生我。」
HCH_012_201_000162	廷舉好薛瑄、胡居仁學，尊事陳獻章。
HCH_012_201_000163	居湫隘，亡郭外田，有書萬卷。
HCH_012_201_000164	及卒，總督姚鏌庀其喪。
HCH_012_201_000165	隆慶中，追謚清惠。
HCH_012_201_000166	弟廷弼，舉於鄉。
HCH_012_201_000167	廷舉枷吏部前，廷弼臥其械下。
HCH_012_201_000168	刑部主事宿進為奏記張糸采，乃得釋。
HCH_012_201_000169	方良永，字壽卿，莆田人。
HCH_012_201_000170	弘治三年進士。
HCH_012_201_000171	督逋兩廣，峻卻饋遺，為布政使劉大夏所器。
HCH_012_201_000172	還授刑部主事。
HCH_012_201_000173	進員外郎，擢廣東僉事。
HCH_012_201_000174	瓊州賊符南蛇為亂，大夏時為總督，檄攝海南兵備，會師討平之。
HCH_012_201_000175	御史坐良永失利。
HCH_012_201_000176	大夏已入為本兵，為白於朝，賚銀幣。
HCH_012_201_000177	正德初，父喪除，待銓闕下。
HCH_012_201_000178	外官朝見畢，必謁劉瑾。
HCH_012_201_000179	鴻臚導良永詣左順門叩頭畢，令東向揖瑾，良永竟出。
HCH_012_201_000180	或勸詣瑾家，良永不可。
HCH_012_201_000181	及吏部除良永河南撫民僉事，中旨勒致仕。
HCH_012_201_000182	既去，瑾怒未已，欲假海南殺人事中之。
HCH_012_201_000183	刑部郎中周敏力持，乃不坐。
HCH_012_201_000184	瑾誅，起湖廣副使。
HCH_012_201_000185	尋擢廣西按察使。
