HCH_015_038_000060	遷長兼侍中，祖母喪去職。
HCH_015_038_000061	起爲冠軍將軍、寧蠻校尉。
HCH_015_038_000062	出爲持節、督雍梁南北秦四州郢州之竟陵司州之隨郡軍事、雍州刺史，本官如故。
HCH_015_038_000063	在州不營產利，勤於奉公。
HCH_015_038_000064	遷散騎常侍，左衞將軍。
HCH_015_038_000065	世祖親遇與蕭景先相比。
HCH_015_038_000066	封南豐縣伯，邑四百戶。
HCH_015_038_000067	遷給事中，太子詹事。
HCH_015_038_000068	赤斧夙患渴利，永明三年會，世祖使甲仗衞三廂，赤斧不敢辭，疾甚，數日卒，年五十六。
HCH_015_038_000069	家無儲積，無絹爲衾，上聞之，愈加惋惜。
HCH_015_038_000070	詔賻錢五萬，上材一具，布百匹，蠟二百斤。
HCH_015_038_000071	追贈金紫光祿大夫。
HCH_015_038_000072	諡曰懿伯。
HCH_015_038_000073	子穎冑襲爵。
HCH_015_038_000074	穎冑字雲長，弘厚有父風。
HCH_015_038_000075	起家祕書郎。
HCH_015_038_000076	太祖謂赤斧曰：「穎冑輕朱被身，覺其趨進轉美，足慰人意。」
HCH_015_038_000077	遷太子舍人。
HCH_015_038_000078	遭父喪，感脚疾，數年然後能行。
HCH_015_038_000079	世祖有詔慰勉，賜醫藥。
HCH_015_038_000080	除竟陵王司徒外兵參軍，晉熙王文學。
HCH_015_038_000081	穎冑好文義，弟穎基好武勇，世祖登烽火樓，詔羣臣賦詩。
HCH_015_038_000082	穎冑詩合旨，上謂穎冑曰：「卿文弟武，宗室便不乏才。」
HCH_015_038_000083	除明威將軍、安陸內史。
HCH_015_038_000084	遷中書郎。
HCH_015_038_000085	上以穎冑勳戚子弟，除左將軍，知殿內文武事，得入便殿。
HCH_015_038_000086	出爲新安太守，吏民懷之。
HCH_015_038_000087	隆昌元年，永嘉王昭粲爲南徐州，以穎冑爲南東海太守，行南徐州事。
HCH_015_038_000088	轉持節、督青冀二州軍事、輔國將軍、青冀二州刺史。
HCH_015_038_000089	不行，除黃門郎，領四廂直。
HCH_015_038_000090	遷衞尉。
HCH_015_038_000091	高宗廢立，穎冑從容不爲同異，乃引穎冑預功。
HCH_015_038_000092	建武二年，進爵侯，增邑爲六百戶。
HCH_015_038_000093	賜穎冑以常所乘白＜牜俞＞牛。
HCH_015_038_000094	上慕儉約，欲鑄壞太官元日上壽銀酒鎗，尚書令王晏等咸稱盛德。
