HCH_012_213_000094	楊繼盛之劾嵩也，嵩固疑階。
HCH_012_213_000095	趙錦、王宗茂劾嵩，階又議薄其罰。
HCH_012_213_000096	及是給事中吳時來、主事董傳策、張翀劾嵩不勝，皆下獄。
HCH_012_213_000097	傳策，階裡人；時來、翀，階門生也。
HCH_012_213_000098	嵩遂疏辨，顯謂階主使，帝不聽。
HCH_012_213_000099	有所密詢，皆舍嵩而之階。
HCH_012_213_000100	尋加太子太師。
HCH_012_213_000101	帝所居永壽宮災，徙居玉熙殿，隘甚，欲有所營建，以問嵩。
HCH_012_213_000102	嵩請還大內，帝不懌。
HCH_012_213_000103	問階，階請以三殿所余材，責尚書雷禮營之，可計月而就。
HCH_012_213_000104	帝悅，如階議。
HCH_012_213_000105	命階子尚寶丞璠兼工部主事，董其役，十旬而功成。
HCH_012_213_000106	帝即日徙居之，命曰萬壽宮。
HCH_012_213_000107	以階忠，進少師，兼支尚書俸，予一子中書舍人。
HCH_012_213_000108	子璠亦超擢太常少卿。
HCH_012_213_000109	嵩乃日屈。
HCH_012_213_000110	嵩子世蕃貪橫淫縱狀亦漸聞，階乃令御史鄒應龍劾之。
HCH_012_213_000111	帝勒嵩致仕，擢應龍通政司參議。
HCH_012_213_000112	階遂代嵩為首輔。
HCH_012_213_000113	已而帝念嵩供奉勞，憐之。
HCH_012_213_000114	又以調去，忽忽不樂，乃降諭，欲退而修真且傳嗣，復責階等奈何以官與邪物，謂應龍也。
HCH_012_213_000115	階言：「退而傳嗣，臣等不敢奉命。應龍之轉，乃二部奉旨行之。」
HCH_012_213_000116	帝乃已。
HCH_012_213_000117	帝以嵩在直久，而世蕃顧為奸於外，因命階無久直。
HCH_012_213_000118	階窺帝意，言苟為奸，在外猶在內，固請入直。
HCH_012_213_000119	帝以嵩直廬賜階。
HCH_012_213_000120	階榜三語其中曰：「以威福還主上，以政務還諸司，以用舍刑賞還公論。」
HCH_012_213_000121	於是朝士侃侃，得行其意。
HCH_012_213_000122	袁煒數出直，階請召與共擬旨。
HCH_012_213_000123	因言：「事同眾則公，公則百美基；專則私，私則百弊生。」
HCH_012_213_000124	帝頷之。
HCH_012_213_000125	階以張孚敬及嵩導帝猜刻，力反之，務以寬大開帝意。
HCH_012_213_000126	帝惡給事御史抨擊過當，欲有所行遣。
HCH_012_213_000127	階委曲調劑，得輕論。
HCH_012_213_000128	會問階知人之難，階對曰：「大奸似忠，大詐似信。惟廣聽納，則窮凶極惡，人為我攖之；深情隱慝，人為我發之。故聖帝明王，有言必察。即不實，小者置之，大則薄責而容之，以鼓來者。」
HCH_012_213_000129	帝稱善。
HCH_012_213_000130	言路益發舒。
HCH_012_213_000131	寇由牆子嶺入，直趨通州。
HCH_012_213_000132	帝方祠釐，兵部尚書楊博不敢奏，謀之階，檄宣府總兵官馬芳、宣大總督江東入援。
HCH_012_213_000133	芳兵先至，階請亟賞之，又請重東權，俾統諸道兵。
HCH_012_213_000134	寇從通掠香河，階請亟備順義，而以奇兵邀之古北口。
HCH_012_213_000135	寇趨順義，不得入，乃走古北口。
HCH_012_213_000136	其後軍遇參將郭琥伏而敗，頗得其所掠人畜輜重。
HCH_012_213_000137	始帝怒博不早聞與總督楊選之任寇入也，欲罪之未發。
HCH_012_213_000138	階言：「博雖以祠釐禁不敢聞，而二鎮兵皆其所先檄。若選則非尾寇，乃送之出境耳。」
HCH_012_213_000139	帝竟誅選，不罪博。
HCH_012_213_000140	進階建極殿大學士。
HCH_012_213_000141	袁煒以疾歸，道卒，階獨當國。
HCH_012_213_000142	屢請增閣臣，且乞骸骨。
HCH_012_213_000143	乃命嚴訥、李春芳入閣，而待階益隆。
HCH_012_213_000144	以一品十五載考，恩禮特厚，復賜玉帶、繡蟒、珍藥。
HCH_012_213_000145	帝手書問階疾，諄懇如家人，階益恭謹。
HCH_012_213_000146	帝或有所委，通夕不假寐，應制之文，未嘗逾頃刻期。
HCH_012_213_000147	帝日益愛階。
HCH_012_213_000148	階採輿論利便者，白而行之。
HCH_012_213_000149	嘉靖中葉，南北用兵。
