HCH_012_232_000156	會允貞、化龍及鄒元標並官南曹，益相與講求經世務，名籍甚。
HCH_012_232_000157	遷山東僉事。
HCH_012_232_000158	所部多大猾積盜，廣設方略，悉擒滅之。
HCH_012_232_000159	遷河南參議，進副使。
HCH_012_232_000160	兩督山東、山西學政，擢南京通政參議，召為大理少卿。
HCH_012_232_000161	二十七年，以右僉都御史總督漕運，巡撫鳳陽諸府。
HCH_012_232_000162	時礦稅使四出。
HCH_012_232_000163	三才所部，榷稅則徐州陳增、儀真暨祿，鹽課則揚州魯保，蘆政則沿江邢隆，棋布千里間。
HCH_012_232_000164	延引奸徒，偽鍥印符，所至若捕叛亡，公行攘奪。
HCH_012_232_000165	而增尤甚，數窘辱長吏。
HCH_012_232_000166	獨三才以氣淩之，裁抑其爪牙肆惡者，且密令死囚引為黨，輒捕殺之，增為奪氣。
HCH_012_232_000167	然奸民以礦稅故，多起為盜。
HCH_012_232_000168	浙人趙一平用妖術倡亂。
HCH_012_232_000169	事覺，竄徐州，易號古元，妄稱宋後。
HCH_012_232_000170	與其黨孟化鯨、馬登儒輩聚亡命，署偽官，期明年二月諸方並起。
HCH_012_232_000171	謀泄，皆就捕。
HCH_012_232_000172	一平亡之寶坻，見獲。
HCH_012_232_000173	三才再疏陳礦稅之害，言：「陛下愛珠玉，民亦慕溫飽；陛下愛子孫，民亦戀妻孥。奈何陛下欲崇聚財賄，而不使小民享升鬥之需；欲綿祚萬年，而不使小民適朝夕之樂。自古未有朝廷之政令、天下之情形一至於斯，而可幸無亂者。今闕政猥多，而陛下病源則在溺誌貨財。臣請渙發德音，罷除天下礦稅。欲心既去，然後政事可理。」
HCH_012_232_000174	逾月未報，三才又上言：「臣為民請命，月餘未得請。聞近日章奏，凡及礦稅，悉置不省。此宗社存亡所關，一旦眾畔土崩，小民皆為敵國，風馳塵騖，亂眾麻起，陛下塊然獨處，即黃金盈箱，明珠填屋，誰為守之？」
HCH_012_232_000175	亦不報。
HCH_012_232_000176	三十年，帝有疾，詔罷礦稅，俄止之。
HCH_012_232_000177	三才極陳國勢將危，請亟下前詔，不聽。
HCH_012_232_000178	清口水涸阻漕，三才議浚渠建閘，費二十萬，請留漕粟濟之。
HCH_012_232_000179	督儲侍郎趙世卿力爭，三才遂引疾求去。
HCH_012_232_000180	帝惡其委避，許之。
HCH_012_232_000181	淮揚巡按御史崔邦亮、巡漕御史李思孝、給事中曹於汴、御史史學遷、袁九臯交章乞留。
HCH_012_232_000182	而學遷言：「陛下以陳增故，欲去三才，托詞解其官。年來中使四出，海內如沸。李盛春之去以王虎，魏允貞之去以孫朝，前漕臣李誌之去亦以礦稅事。他監司守令去者，不可勝數，今三才復繼之。淮上軍民以三才罷，欲甘心於增，增避不敢出。三才不當去可知。」
HCH_012_232_000183	疏仍不答。
HCH_012_232_000184	三才遂去淮之徐州。
HCH_012_232_000185	連疏請代，未得命。
HCH_012_232_000186	會侍郎謝傑代世卿督儲，復請留。
HCH_012_232_000187	乃命三才供事俟代者，帝亦竟不遣代也。
HCH_012_232_000188	明年九月，復疏言：「乃者迅雷擊陵，大風拔木，洪水滔天，天變極矣。趙古元方磔於徐，李大榮旋梟於亳，而睢州巨盜又復見告，人離極矣。陛下每有征求，必曰『內府匱乏』。夫使內府果乏，是社稷之福也，所謂貌病而天下肥也。而其實不然。陛下所謂匱乏者，黃金未遍地，珠玉未際天耳。小民饔飧不飽，重以征求，箠楚無時，桁楊滿路，官惟丐罷，民惟請死，陛下寧不惕然警悟邪！陛下毋謂臣禍亂之言為未必然也；若既已然矣，將置陛下何地哉！」
HCH_012_232_000189	亦不報。
HCH_012_232_000190	既而睢盜就獲，三才因奏行數事，部內晏然。
HCH_012_232_000191	翕人程守訓以貲官中書，為陳增參隨。
HCH_012_232_000192	縱橫自恣，所至鼓吹，盛儀衛，許人告密，刑拷及婦孺。
HCH_012_232_000193	畏三才，不敢至淮。
HCH_012_232_000194	三才劾治之，得贓數十萬。
HCH_012_232_000195	增懼為己累，並搜獲其奇珍異寶及僭用龍文服器。
HCH_012_232_000196	守訓及其黨俱下吏伏法，遠近大快。
HCH_012_232_000197	三十四年，皇孫生。
HCH_012_232_000198	詔並礦稅，釋逮系，起廢滯，補言官，既而不盡行。
HCH_012_232_000199	三才疑首輔沈一貫尼之，上疏陰詆一貫甚力。
HCH_012_232_000200	繼又言：「恩詔已頒，旋復中格，道路言前日新政不過乘一時喜心，故旋開旋蔽。」
HCH_012_232_000201	又謂：「一貫慮沈鯉、朱賡逼己。既忌其有所執爭，形己之短，又恥其事不由己，欲壞其成。行賄左右，多方蠱惑，致新政阻格。」
HCH_012_232_000202	帝得疏，震怒。
HCH_012_232_000203	嚴旨切責，奪俸五月。
HCH_012_232_000204	其明年，暨祿卒。
HCH_012_232_000205	三才因請盡撤天下稅使，帝不從，命魯保兼之。
HCH_012_232_000206	是時顧憲成裏居，講學東林，好臧否人物。
HCH_012_232_000207	三才與深相結，憲成亦深信之。
HCH_012_232_000208	三才嘗請補大僚，選科道，錄遺佚。
