HCH_012_239_000081	承廕急率副將頗廷相、參將蒲世芳、遊擊梁汝貴等諸營並發，次撫順。
HCH_012_239_000082	承廕據山險，分軍三，立營浚濠，布列火器。
HCH_012_239_000083	甫交鋒，大清兵蹴之，大潰。
HCH_012_239_000084	承廕、世芳皆戰死。
HCH_012_239_000085	廷相、汝貴已潰圍出，見失主將，亦陷陣死。
HCH_012_239_000086	將士死者萬人，生還者十無一二，舉朝震駭。
HCH_012_239_000087	既而撫安、三岔兒、白家衝三堡連失，詔逮維翰，贈承廕少保、左都督，立祠曰精忠，世廕指揮僉事。
HCH_012_239_000088	廷相以下，贈廕有差。
HCH_012_239_000089	承廕子應昌、全昌、德昌。
HCH_012_239_000090	應昌嗣祖臣職，當為指揮僉事。
HCH_012_239_000091	以父陣亡，增三秩為都司僉書，經略楊鎬用為左翼遊擊。
HCH_012_239_000092	四路出師，使從李如柏。
HCH_012_239_000093	天啟元年，遷大同井坪參將，調延綏。
HCH_012_239_000094	二年秋，河套入犯，不能禦，免歸。
HCH_012_239_000095	督師孫承宗召置麾下，命駐錦州。
HCH_012_239_000096	承宗去，高第盡撤松、錦守具，應昌亦歸。
HCH_012_239_000097	崇禎二年，總督楊鶴檄應昌署定邊鎮將事。
HCH_012_239_000098	河套入寇，擊斬百二十餘級，擢昌平副總兵，鶴遂薦應昌以副將鎮定邊。
HCH_012_239_000099	四年春，神一元陷保安，應昌偕左光先破斬一元。
HCH_012_239_000100	其弟一魁代領其衆，圍慶陽。
HCH_012_239_000101	應昌及杜文煥趨戰，圍始解。
HCH_012_239_000102	不沾泥圍米脂，應昌偕王承恩擊走之。
HCH_012_239_000103	楊鶴撫一魁，處之寧塞，而殺其黨茹成名。
HCH_012_239_000104	賊黨張孟金、黃友才懼，挾一魁以叛。
HCH_012_239_000105	延綏巡撫張福臻令應昌及馬科擊之，斬首千七百餘級。
HCH_012_239_000106	友才走，一魁守不下。
HCH_012_239_000107	其冬，洪承疇代鶴，命參政戴君恩、總兵曹文詔同應昌討之。
HCH_012_239_000108	數敗賊，賊棄城走。
HCH_012_239_000109	文詔偕應昌擊敗之駙馬溝。
HCH_012_239_000110	明年春，應昌禽友才。
HCH_012_239_000111	混天猴陷宜君、鄜州，襲靖邊，應昌追敗之，射傷賊將白廣恩。
HCH_012_239_000112	八月，山西總兵官馬士麟病免，擢應昌都督僉事代之。
HCH_012_239_000113	言者謂寧武卒善逃，宜令應昌率所部三千人以從，報可。
HCH_012_239_000114	王之臣陷臨縣。
HCH_012_239_000115	其地倚黃雲山，榆林河水出焉，入於黃河。
HCH_012_239_000116	城三面峭壁，西阻水。
HCH_012_239_000117	巡撫許鼎臣、總督張宗衡督兵攻。
HCH_012_239_000118	賊與土寇田福、田科等相倚，久不拔。
HCH_012_239_000119	會王自用陷遼州，逼會城。
HCH_012_239_000120	鼎臣還，專以恢復責應昌。
HCH_012_239_000121	六年春，賊約福劫官軍，撫標中軍陳國威因偽稱之臣往逆，斬福頭懸城下，急擊，賊始降。
HCH_012_239_000122	應昌在關中，威名甚著。
HCH_012_239_000123	及是選懦逗撓，務與賊相避。
HCH_012_239_000124	總督宗衡五檄之不赴，奏諸朝，限應昌與文詔三月平賊。
HCH_012_239_000125	應昌避賊不擊，殺良民冒功，為巡按御史李嵩、兵科祝世美所劾。
HCH_012_239_000126	帝乃遣近侍為應昌內中軍。
HCH_012_239_000127	七月，部卒潰鳴謙驛。
HCH_012_239_000128	監視中官劉允中劾其避賊，帝猶貸之，令會勦畿南賊。
HCH_012_239_000129	久之，擊賊平山，偽報首功，連為允中及巡按御史馮明玠、真定巡撫周堪賡所劾，帝令圖功自贖。
HCH_012_239_000130	七年春，追賊靈寶，稍有功。
HCH_012_239_000131	已，擊賊均州五嶺山，敗績。
HCH_012_239_000132	身中一矢，退還河南。
HCH_012_239_000133	其弟全昌為宣府總兵官。
HCH_012_239_000134	宣府有警，令應昌援，又無功，令解職候勘。
HCH_012_239_000135	八年，洪承疇出師河南，令率私家士馬以從。
HCH_012_239_000136	三月抵信陽。
HCH_012_239_000137	會賊大入秦，承疇命應昌及鄧玘、尤翟文防漢江南北。
HCH_012_239_000138	玘死，承疇以賊必由鳳縣棧道直入略陽，改令應昌、翟文自鄖陽轉赴興安、漢中，以會左光先、趙光遠諸軍。
HCH_012_239_000139	至六月，艾萬年、曹文詔相繼戰歿，賊盡趨西安，承疇急檄應昌及光先還救。
HCH_012_239_000140	八月，李自成陷咸陽。
HCH_012_239_000141	越二日，應昌、光先兵至，擊斬四百四十餘級，獲軍師一人。
HCH_012_239_000142	及全昌兵敗陷賊，其潰卒歸關中，掠沿河州縣。
HCH_012_239_000143	山西巡撫吳甡請令應昌收置麾下，應昌已得疾，不能軍。
HCH_012_239_000144	無何卒。
HCH_012_239_000145	全昌由廕敘，歷官靈州參將。
HCH_012_239_000146	崇禎四年與同官趙大胤擊點燈子於中部，已，連戰郃陽、韓城，首功多。
HCH_012_239_000147	巡撫練國事請加二將副將銜。
HCH_012_239_000148	大胤駐耀州、富平間，扼賊西路；全昌駐韓城、郃陽間，扼賊東路。
HCH_012_239_000149	五年七月，代應昌為定邊副總兵。
HCH_012_239_000150	曹文詔追賊隴州、平、鳳界，全昌及馬科率千人應之，殄滅殆盡。
HCH_012_239_000151	明年五月擢署都督僉事，充總兵官，鎮守宣府。
HCH_012_239_000152	應昌方鎮山西，兄弟接壤為大帥。
HCH_012_239_000153	明年七月，大清兵西征插漢，旋師入其境。
HCH_012_239_000154	攻圍龍門、新城、赤城、克保安州，薄鎮城，全昌嬰城固守。
HCH_012_239_000155	已而大清兵西行，全昌進兵應州。
HCH_012_239_000156	帝以其孤軍，敕吳襄、尤世威赴援，不應。
HCH_012_239_000157	全昌至渾源，以捷聞，還軍葛峪、羊房口。
HCH_012_239_000158	襄等復不援。
HCH_012_239_000159	八月，大清兵再入其境。
HCH_012_239_000160	閏八月四日克萬全右衞，他城堡多失守。
HCH_012_239_000161	既解嚴，兄應昌以罪解職，命全昌并將其軍。
HCH_012_239_000162	兵科常自裕言文臣張宗衡等重論，而武臣輕貸，非法。
HCH_012_239_000163	於是全昌與文詔並戍邊。
HCH_012_239_000164	用山西巡撫吳甡請，命全昌、文詔為援勦總兵官，與猛如虎等大破高加計。
HCH_012_239_000165	八年春，會洪承疇於汝寧，擊敗汝州賊。
HCH_012_239_000166	俄西入關，與祖大弼敗賊涇陽。
HCH_012_239_000167	未幾，敗賊醴泉。
HCH_012_239_000168	五月與賀人龍敗老回回於秦王嶺。
HCH_012_239_000169	尋解鳳翔圍，走賊秦州，敗之張家川。
HCH_012_239_000170	已而都司田應龍、張應龍戰死，艾萬年、曹文詔相繼歿，官軍益衰，賊盡趨西安。
HCH_012_239_000171	承疇急檄全昌及曹變蛟先赴渭、華格其前，親督軍尾其後，却賊紅鄉溝，賊乃南入商、雒。
HCH_012_239_000172	承疇又命全昌及趙光遠提兵三千截潼關大峪口，部卒大譁，闌入滎澤，劫庫殺人。
HCH_012_239_000173	河南巡撫玄默請急援盧氏，不聽。
HCH_012_239_000174	光遠擅歸關中，全昌迤邐至潁州。
HCH_012_239_000175	九月中，追蝎子塊於沈邱瓦店，戰敗被執，賊挾之攻蘄、黃。
HCH_012_239_000176	全昌因代賊求撫，總理盧象昇不許，責全昌喪師辱國，曰「賊果欲降，可滅其黨示信」。
HCH_012_239_000177	賊不聽命。
HCH_012_239_000178	久之，全昌脫歸，謁象昇陽和。
HCH_012_239_000179	象昇令募兵山、陝。
HCH_012_239_000180	尋薦之朝，令赴軍前立功，帝不許。
HCH_012_239_000181	十年四月，以楊嗣昌言逮付法司，謫戍邊衞。
HCH_012_239_000182	德昌，崇禎初為清水營守備。
HCH_012_239_000183	三年夏，勦王嘉胤被傷，坐奪官。
HCH_012_239_000184	久之，起歷保定參將，連破土寇仁義王。
HCH_012_239_000185	十四年春，總督楊文岳命從虎大威以五千人援開封，不敢進。
HCH_012_239_000186	其冬，擢保定副總兵，仍從文岳，數有功。
HCH_012_239_000187	十六年卒。
HCH_012_239_000188	贈特進榮祿大夫，左都督。
HCH_012_239_000189	董一元，宣府前衞人。
HCH_012_239_000190	父暘，嘉靖中為宣府遊擊將軍。
HCH_012_239_000191	俺答犯滴水崖，力戰死。
HCH_012_239_000192	贈官錫廕，春秋世祀。
HCH_012_239_000193	兄一奎，都督僉事。
HCH_012_239_000194	歷鎮山西、延綏、寧夏三邊，以勇敢著。
HCH_012_239_000195	一元勇如兄，而智略過之。
HCH_012_239_000196	嘉靖時，歷薊鎮遊擊將軍。
