HCH_009_113_000171	都尉內族久住，副都尉王簡、總領王福胤神臂軍三千五百，左翼元帥內族小婁室親衛軍一千，右翼元帥完顏按出虎親衛軍一千，總領完顏長樂、副帥溫敦昌孫馬軍三百，郡王王義深馬軍一百五十，郡王范成進、總領蘇元孫圭軍三千，隸總帥百家。
HCH_009_113_000172	飛騎都尉兼合里合總領術虎只魯歡、總領夾谷得伯、颭軍田衆家奴等百人及諸臣下，發京師。
HCH_009_113_000173	十二月甲辰，車駕至黃陵岡，白撒先降大兵兩寨，得河朔降將，上赦之，授以印及金虎符。
HCH_009_113_000174	群臣議以河朔諸將前導，鼓行入開州，取大名、東平，豪傑當有回應者，破竹之勢成矣。
HCH_009_113_000175	溫敦昌孫曰：「太后、中宮皆在南京，北行萬一不如意，聖主孤身欲何所爲？若往歸德，更五六月不能還京。不如先取衛州，還京爲便。」
HCH_009_113_000176	白撒奏曰：「聖體不便鞍馬，且不可令大兵知上所在，今可駐歸德。臣等率降將往東平，俟諸軍至，可一鼓而下，因而經略河朔，且空河南之軍。」
HCH_009_113_000177	上以爲然。
HCH_009_113_000178	時上已遣官奴將三百騎探漚麻岡未還，上將御船，賜白撒劍，得便宜從事，決東平之策。
HCH_009_113_000179	官奴還奏衛州，有糧可取？
HCH_009_113_000180	上召白撒問之，白撒曰：「京師且不能守，就得衛州，欲何爲耶？以臣觀之，東平之策爲便。」
HCH_009_113_000181	上主官奴之議。
HCH_009_113_000182	明年正月朔，次黃陵岡。
HCH_009_113_000183	是日，歸德守臣以糧糗三百餘船來餉，遂就其舟以濟南岸，未濟者萬人，大元將回古乃率四千騎追擊之，賀都喜揮一黃旗督戰，身中十六七箭，軍殊死鬥，得卒十餘人，大兵少卻。
HCH_009_113_000184	上遣送酒百壺勞之。
HCH_009_113_000185	須臾，北風大作，舟皆吹著南岸，諸兵復擊之，溺死者近千人，元帥豬兒、都尉紇石烈訛論等死之。
HCH_009_113_000186	建威都尉完顏訛論出降於大元。
HCH_009_113_000187	上於北岸望之震懼，率從官爲豬兒等設祭，哭之，皆贈官，錄用其子侄，斬訛論出二弟以徇。
HCH_009_113_000188	遂命白撒攻衛州。
HCH_009_113_000189	上駐兵河上，留親衛軍三千護從，都尉高顯步軍一萬，元帥官奴忠孝軍一千，郡王范成進、王義深、上党公張開、元帥劉益等軍總帥百家總之，各齎十日糧，聽承裔節制。
HCH_009_113_000190	發自蒲城，上時已遣賽不將馬軍北向矣，白撒以三十騎追及，謂賽不曰：「有旨，命我將馬軍。」
HCH_009_113_000191	賽不謂上曰：「北行議已決，不可中變。」
HCH_009_113_000192	上曰：「丞相當與平章和同。」
HCH_009_113_000193	完顏仲德持御馬銜苦諫曰：「存亡在此一舉，衛州決不可攻。」
HCH_009_113_000194	上麾之曰：「參政不知。」
HCH_009_113_000195	白撒遂攻衛州，兵至城下，御旗黃傘招之不下。
HCH_009_113_000196	其夜，北騎三千奄至，官奴、和速嘉兀地不、按出虎與之戰，北兵卻六十里。
HCH_009_113_000197	然自發蒲城，遷延八日始至衛，而猝無攻具，縛槍爲雲梯。
HCH_009_113_000198	州人知不能攻，守益嚴。
HCH_009_113_000199	凡攻三日不克。
HCH_009_113_000200	及聞河南大兵濟自張家渡，至衛西南，遂班師。
HCH_009_113_000201	大兵踵其後，戰于白公廟，敗績，白撒等棄軍遁，劉益、張開皆爲民家所殺。
HCH_009_113_000202	車駕還次蒲城東三十里，白撒使人密奏劉益一軍叛去。
HCH_009_113_000203	點檢抹撚兀典、總領溫敦昌孫時侍行帳中，請上登舟，上曰：「正當決戰，何遽退乎？」
HCH_009_113_000204	少頃，白撒至，倉皇言於上曰：「今軍已潰，大兵近在堤外，請聖主幸歸德。」
HCH_009_113_000205	上遂登舟，侍衛皆不知，巡警如故。
HCH_009_113_000206	時夜已四更矣，遂狼狽入歸德。
HCH_009_113_000207	白撒收潰兵大橋，得二萬餘人，懼不敢入。
HCH_009_113_000208	上聞，遣近侍局提點移剌粘古、紇石烈阿里合、護衛二人以舟往迎之。
HCH_009_113_000209	既至，不聽入見，並其子下獄。
HCH_009_113_000210	諸都尉司軍以白撒不戰而退，發憤出怨言。
HCH_009_113_000211	上乃暴其罪曰：「惟汝將士，明聽朕言：我初提大軍次黃陵岡得捷，白撒即奏宜渡河取衛州，可得糧十萬石，乘勝恢復河北。我從其計，令率諸軍攻衛。去蒲城二百余里，白撒遷延八日方至，又不預備攻具，以致敗衄。白撒棄軍竄還蒲城，便言諸軍已潰，北兵勢大不可當，信從登舟，幾死于水。若當時知諸軍未嘗潰，只河北戰死，亦可垂名於後。今白撒已下獄，不復錄用，籍其家產以賜汝衆，其盡力國家，無效此人。」
HCH_009_113_000212	囚白撒七日而餓死，發其弟承麟、子狗兒徐州安置。
HCH_009_113_000213	當時議者，衛州之舉本自官奴，歸之白撒則亦過矣。
HCH_009_113_000214	初，瀕河居民聞官軍北渡，築坦塞戶，潛伏洞穴，及見官奴一軍號令明肅，撫勞周悉，所過無絲發之犯，老幼婦子坦然相視，無復畏避。
HCH_009_113_000215	俄白撒輩縱軍四出，剽掠俘虜，挑掘焚炙，靡所不至。
HCH_009_113_000216	哭聲相接，屍骸盈野。
HCH_009_113_000217	都尉高祿謙、苗用秀輩仍掠人食之，而白撒誅斬在口，所過官吏殘虐不勝，一飯之費有數十金不能給者，公私皇皇，日皆徯大兵至矣。
HCH_009_113_000218	白撒目不知書，奸黠有餘，簿書政事，聞之即解，善談議，多知，接人則煦煦然，好貨殖，能捭闔中人主心，遂浸漬以取將相。
HCH_009_113_000219	既富貴，起第於汴之西城，規模擬宮掖，婢妾百數，皆衣金縷，奴隸月廩與列將等，猶以爲未足也。
HCH_009_113_000220	上嘗遣中使責之曰：「卿汲汲於此，將無北歸意耶？」
HCH_009_113_000221	白撒終不悛，以及於禍。
HCH_009_113_000222	贊曰：白撒本非將才，恇怯誤國，徒能阿合以取富貴，性愎貪鄙，當此危亡，方謀封殖以自逸，此猶大廈將焚而燕雀不悟者歟！
HCH_009_113_000223	赤盞合喜，性剛愎，好自用，朝廷以其有才幹任之。
HCH_009_113_000224	宣宗時，累遷蘭州刺史、提控軍馬。
HCH_009_113_000225	貞祐四年十一月，夏人四萬餘騎圍定西，輦致攻具，將取其城。
HCH_009_113_000226	合喜及楊斡烈等率兵鏖戰走之，斬首二千級，俘數十人，獲馬八百餘匹，器械稱是，餘悉遁去。
HCH_009_113_000227	興定元年正月，以屢敗夏人，遙授同知臨洮府事，兼前職。
HCH_009_113_000228	是冬，陝西行省奉詔伐宋，合喜權行元帥府，駐來遠寨以張聲勢，既而獲捷。
HCH_009_113_000229	二年四月，宋兵數千侵臨洮，合喜擊走之，斬獲甚衆。
HCH_009_113_000230	三年四月，遷元帥左都監，行元帥府事于鞏州。
HCH_009_113_000231	四年四月，夏人犯邊，合喜討之，師次鹿兒原，遇復兵千人，遣提控烏古論世顯率偏師敗之，都統王定亦破其衆一千五百於新泉城。
HCH_009_113_000232	九月，夏人攻鞏州，合喜遣兵擊之，一日十余戰，夏人退據南閑，遣精兵三萬傅城，又擊走之，生擒夏將劉打、甲玉等。
HCH_009_113_000233	訊知夏大將你思丁、兀名二人謀，以爲鞏帥府所在，鞏既下則臨洮、積石、河、洮諸城不攻自破，故先及鞏，且構宋統制程信等將兵四萬來攻。
HCH_009_113_000234	合喜聞之，飭兵嚴備。
