HCH_012_320_000067	帝曰：「高麗舊以鴨綠江為界，今飾辭鐵嶺，詐偽昭然。其以朕言諭之，，俾安分，毋生釁端。」
HCH_012_320_000068	八月，高麗千戶陳景來降，言：「是年四月，禑欲寇遼東，使都軍相崔瑩、李成桂繕兵西京。成桂使陳景屯艾州，以糧不繼退師。王怒，殺成桂之子。成桂還兵攻破王城，囚王及瑩。」
HCH_012_320_000069	景懼及，故降。
HCH_012_320_000070	帝敕遼東嚴守備，仍遣人偵之。
HCH_012_320_000071	十月，禑請遜位於其子昌。
HCH_012_320_000072	帝曰：「前聞其王被囚，此必成桂之謀，姑俟之以觀變。」
HCH_012_320_000073	二十二年，權國事昌奏乞入朝，帝不許。
HCH_012_320_000074	是歲，成桂廢昌，而立定昌國院君瑤。
HCH_012_320_000075	二十三年正月遣使來告。
HCH_012_320_000076	二十四年三月詔市馬高麗。
HCH_012_320_000077	八月，權國事瑤進所市馬千五百匹。
HCH_012_320_000078	帝曰：「三韓君臣悖亂，二紀於茲。今王瑤嗣立，乃王氏苗裔，宜遣使勞之。」
HCH_012_320_000079	十二月，瑤遣其子奭朝賀明年正旦。
HCH_012_320_000080	奭未歸而成桂自立，遂有其國，瑤出居原州。
HCH_012_320_000081	王氏自五代傳國數百年，至是絕。
HCH_012_320_000082	二十五年九月，高麗知密直司事趙胖等持國都評議司奏言：「本國自恭愍王薨，無嗣，權臣李仁人以辛肫子禑主國事，昏暴好殺，至欲興師犯邊，大將李成桂以為不可而回軍。禑負罪惶懼，遜位於子昌。國人弗順，啟請恭愍王妃安氏擇宗親瑤權國事。已及四年，昏戾信讒，戕害勳舊，子奭癡騃不慧，國人謂瑤不足主社稷。今以安氏命，退瑤於私第。王氏子姓無可當輿望者，中外人心咸繫成桂。臣等與國人耆老共推主國事，惟聖王俞允。」
HCH_012_320_000083	帝以高麗僻處東隅，非中國所治，令禮部移諭：「果能順天道，合人心，不啟邊釁，使命往來，實爾國之福，我又何誅。」
HCH_012_320_000084	冬，成桂聞皇太子薨，遣使表慰，幷請更國號。
HCH_012_320_000085	帝命仍古號曰朝鮮。
HCH_012_320_000086	二十六年二月遣使進馬九千八百餘匹，命運紵絲綿布一萬九千七百餘匹酬之。
HCH_012_320_000087	六月表謝，貢馬及方物，幷上前恭愍王金印，請更己名曰旦。
HCH_012_320_000088	從之。
HCH_012_320_000089	是月，遼東都指揮使司奏，朝鮮國招引女直五百餘人，潛渡鴨綠江，欲入寇。
HCH_012_320_000090	乃遣使敕諭，示以禍福。
HCH_012_320_000091	旦得敕，惶懼陳謝，上貢，幷械送逋逃軍民三百八十餘人至遼東。
HCH_012_320_000092	二十七年，旦遣子入貢。
HCH_012_320_000093	二十八年遣使柳珣賀明年正旦。
HCH_012_320_000094	帝以表文語慢，詰責之。
HCH_012_320_000095	珣言表文乃門下評理鄭道傳所撰，遂命逮道傳，釋珣歸。
HCH_012_320_000096	二十九年送撰表人鄭總等三人至，云表實總等所撰，道傳病不能行。
HCH_012_320_000097	帝以總等亂邦搆釁，留不遣。
HCH_012_320_000098	三十年冬，復以表涉譏訕，拘其使。
HCH_012_320_000099	建文初，旦表陳年老，以子芳遠襲位。
HCH_012_320_000100	許之。
HCH_012_320_000101	成祖立，遣官頒即位詔。
HCH_012_320_000102	永樂元年正月，芳遠遣使朝貢。
HCH_012_320_000103	四月復遣陪臣李貴齡入貢，奏芳遠父有疾，需龍腦、沉香、蘇合、香油諸物，齎布求市。
HCH_012_320_000104	帝命太醫院賜之，還其布。
HCH_012_320_000105	芳遠表謝，因請冕服書籍。
HCH_012_320_000106	帝嘉其能慕中國禮，賜金印、誥命、冕服、九章、圭玉、珮玉，妃珠翠七翟冠、霞帔、金墜，及經籍綵幣表裏。
HCH_012_320_000107	自後貢獻，歲輒四五至焉。
HCH_012_320_000108	二年十二月詔立芳遠子禔為世子，從其請也。
HCH_012_320_000109	五年十二月，貢馬三千匹至遼東，命戶部運絹布萬五千匹償之。
HCH_012_320_000110	六年，世子禔來朝，賜織金文綺。
HCH_012_320_000111	及歸，帝親製詩賜之。
HCH_012_320_000112	時朝鮮納女後宮，立為妃嬪者四人。
HCH_012_320_000113	其秋，遣陪臣鄭擢來告其父旦之喪。
HCH_012_320_000114	命官弔祭，賜諡康獻。
HCH_012_320_000115	十六年奏世子禔不肖，第三子祹孝弟力學，國人所屬，請立為嗣，詔聽王所擇。
HCH_012_320_000116	因上表謝，幷陳己年老，請以祹理國事。
HCH_012_320_000117	命光祿少卿韓確、鴻臚丞劉泉封祹為朝鮮國王。
HCH_012_320_000118	時帝已遷北都，朝鮮益近，而事大之禮益恭，朝廷亦待以加禮，他國不敢望也。
HCH_012_320_000119	二十年，芳遠卒，賜諡恭定。
HCH_012_320_000120	二十一年七月，祹請立嫡子珦為世子，從之。
HCH_012_320_000121	先是，敕祹貢馬萬匹，至是如數至，賜白金綺絹。
HCH_012_320_000122	宣德二年三月遣中官賜白金紵紗，別敕進馬五千匹，資邊用。
HCH_012_320_000123	九月如數至。
HCH_012_320_000124	四年賜祹書：「珍禽異獸，非朕所貴，其勿獻。」
HCH_012_320_000125	後又敕祹：「金玉之器，非爾國所產，宜止之，土物效誠而已。」
HCH_012_320_000126	八年，祹奏遣子弟詣太學或遼東學，帝不許，賜五經、四書、性理、通鑑綱目諸書。
HCH_012_320_000127	正統元年三月放朝鮮婦女金黑等五十三人還其國。
HCH_012_320_000128	金黑等自宣德初至京師，至是遣中官送回。
HCH_012_320_000129	三年八月賜祹遠游冠、絳紗袍、玉佩、赤舄。
HCH_012_320_000130	先是，建州長童倉避居朝鮮界，已復還建州。
HCH_012_320_000131	朝鮮言：「昔以窮歸臣，臣遇之善。今負恩還建州李滿住所，慮其同謀擾邊。」
HCH_012_320_000132	建州長言，所部為朝鮮追殺，阻留一百七十餘家。
HCH_012_320_000133	五年詔祹還之。
HCH_012_320_000134	七年五月諭祹曰：「鴨綠江一帶東寧等衞，密邇王境，中多細人逃至王國，或被國人誘脅去者，無問漢人、女直，至即解京。」
HCH_012_320_000135	初，瓦剌密令女直諸部誘朝鮮，使背中國。
HCH_012_320_000136	祹拒之，白其事於朝。
HCH_012_320_000137	帝嘉其忠，敕奬之，幷賜綵幣。
HCH_012_320_000138	九年春，倭寇犯邊，祹命將擒獲五十餘人，械送京師。
HCH_012_320_000139	十年又獲餘黨來獻。
HCH_012_320_000140	帝連敕奬諭，賜賚加等。
HCH_012_320_000141	十三年冬，命使調發朝鮮及野人女直兵會遼東，征北寇。
HCH_012_320_000142	時英宗北狩，郕王即位，遣官頒詔於其國。
HCH_012_320_000143	景泰元年貢馬五百匹。
HCH_012_320_000144	奏稱奉敕辦馬二三萬匹，比因鄰寇搆釁，馬畜踣斃，一時未能。
HCH_012_320_000145	詔曰：「寇今少息。馬已至者，償其直。未至者，止勿貢。」
HCH_012_320_000146	是年夏，祹卒，賜弔祭，諡莊憲，封子珦為國王。
HCH_012_320_000147	會遼東奏報開原、瀋陽有寇入境，掠人畜，係建州、海西、野人女直頭目李滿住等為嚮導，因諭珦相為掎角截殺之。
HCH_012_320_000148	其秋，續貢馬千五百餘匹。
HCH_012_320_000149	賜冕服，幷償其直。
HCH_012_320_000150	冬又賜珦及妃權氏誥命，封其子弘暐為世子。
HCH_012_320_000151	二年冬，以建州頭目潛與朝鮮通，戒珦絕其使。
HCH_012_320_000152	三年秋，珦卒，來告哀。
HCH_012_320_000153	遣中官往弔祭，賜諡恭順，命子弘暐嗣立。
HCH_012_320_000154	弘暐立三年，以年幼且嬰夙疾，請以叔瑈權國事。
HCH_012_320_000155	七年上表遜位，乃封瑈為國王。
HCH_012_320_000156	瑈請立子暲為世子，從之。
HCH_012_320_000157	天順三年，邊將奏，有建州三衞都督私與朝鮮結，恐為中國患。
HCH_012_320_000158	因敕瑈毋作不靖，貽後悔。
HCH_012_320_000159	瑈疏辨，復諭曰：「宣德、正統年間，以王國與彼互相侵掠，敕解怨息兵，初不令交通給賞授官也。彼既受朝廷官職，王又加之，是與朝廷抗也。王素秉禮義，何爾文過飾非？後宜絕私交，以全令譽。」
HCH_012_320_000160	四年復諭瑈曰：「王奏毛憐衞都督郎卜兒哈通謀煽亂，已置之法。夫法止可行於國中，豈得加於鄰境。郎卜兒哈有罪，宜奏朝廷區處。今輒行殺害，何怪其子阿比車之思復讐也。聞阿比車之母尚在，宜急送遼東都司，令阿比車領回，以解讐怨。」
HCH_012_320_000161	五年，建州衞野人至義州殺掠，瑈奏乞朝命還所掠。
HCH_012_320_000162	兵部議：「朝鮮先嘗誘殺郎卜兒哈，繼又誘致都指揮兀克，縱兵掠其家屬。今野人實係復讐，宜諭朝鮮，寇盜之來皆自取，惟守分安法，庶弭邊釁。」
HCH_012_320_000163	從之。
HCH_012_320_000164	成化元年冬，陪臣李門炯來朝，卒於道。
HCH_012_320_000165	命給棺賜祭，幷賜綵幣慰其家。
HCH_012_320_000166	時朝鮮頻貢異物，三年春，敕諭瑈修常貢，勿事珍奇。
HCH_012_320_000167	是時朝廷用兵征建州，敕瑈助兵進剿。
HCH_012_320_000168	瑈遣中樞府知事康純統眾萬餘渡鴨綠、潑猪二江，攻破九獮府諸寨，斬獲多。
HCH_012_320_000169	四年正月遣官來獻俘。
HCH_012_320_000170	詔從厚賚，敕奬諭之。
HCH_012_320_000171	是年，瑈卒，賜諡惠莊。
HCH_012_320_000172	遣太監鄭同、崔安封世子晄為王，給妃韓氏誥命。
HCH_012_320_000173	既行，巡按遼東御史侯英奏曰：「遼東連年被寇，瘡痍未起，今復禾稼不登，軍民乏食。太監鄭同等隨從人員所過驛騷。臣考先年曾於翰林院中，選有學行文望者出使。今同、安俱朝鮮人，墳墓宗族皆在，見其國王，不免屈節，殊褻中國體。乞寢成命，或翰林，或給事中及行人內推選一員，往使為便。」
HCH_012_320_000174	帝曰：「英所言良是。自後賞賚遣內臣，其冊封正副使，選廷臣有學行者。」
HCH_012_320_000175	六年，晄病篤，以所生子幼，命其兄故世子暲之子娎權國事，遣陪臣以聞。
HCH_012_320_000176	及卒，賜諡襄悼，命娎嗣位，娎妻韓氏封王妃。
HCH_012_320_000177	十年追贈娎父世子暲為國王，諡懷簡，母韓氏為王妃，從所請也。
HCH_012_320_000178	十一年四月，娎奏建州野人糾聚毛憐等衞侵擾邊境不已，乞朝命戒飭。
HCH_012_320_000179	十二年十月，娎為繼妻尹氏請封，賜誥命冠服。
HCH_012_320_000180	時禁外國互市兵器，娎奏：「小邦北連野人，南鄰倭島，五兵之用，不可缺一。而弓材所需牛角，仰於上國。高皇帝時嘗賜火藥、火礮，今望特許收買弓角，不與外番同禁。」
HCH_012_320_000181	兵部議歲市弓角五十，後以不足於用，請無限額，詔許倍市。
HCH_012_320_000182	十五年十月命娎出兵夾擊建州女直。
HCH_012_320_000183	娎遂遣右贊成魚有沼率兵至滿浦江，以氷泮後期。
HCH_012_320_000184	復遣左議政尹弼商、節度使金嶠等渡江進剿。
HCH_012_320_000185	十六年春遣陪臣來獻捷，帝命內官齎敕奬其能繼先烈，賜金幣，領兵官賞賚如例。
HCH_012_320_000186	後使還，遣其臣許熙伴送。
HCH_012_320_000187	熙歸至開州，建州騎二千邀之，掠其從卒三十餘人，馬二百三十餘匹，他所亡物稱是。
HCH_012_320_000188	奏聞，英國公張懋、吏部尚書尹旻等以遼東連年用兵，未可輕動，宜以此意諭娎。
HCH_012_320_000189	敕遼東守臣整飭邊備，更令譯者窮究所掠，期在必得，仍賜熙白金綵幣慰安之。
HCH_012_320_000190	十七年，娎奏繼妃尹氏失德，廢置，乞更封副室尹氏。
HCH_012_320_000191	從之。
HCH_012_320_000192	十九年四月封娎長子㦕為世子。
HCH_012_320_000193	弘治七年十二月，娎卒，賜諡康靖。
HCH_012_320_000194	明年四月，封㦕為國王，妻慎氏為王妃。
HCH_012_320_000195	十二年，㦕奏：「本國人屢有違禁匿海島，誘引軍民，漸至滋蔓。乞許本國自行搜刷。其係上國地方，請敕官追捕。」
HCH_012_320_000196	時遼東守臣亦奏如㦕言，報可。
HCH_012_320_000197	十五年冬，封㦕長子𩔇為世子。
HCH_012_320_000198	正德二年，㦕以世子𩔇夭亡，哀慟成疾，奏請以國事付其弟懌，其國人復奏請封懌。
HCH_012_320_000199	禮部議命懌權理國事，俟㦕卒乃封。
HCH_012_320_000200	既，陪臣盧公弼等以朝貢至京，復請封懌，廷議不允。
HCH_012_320_000201	十二月，㦕母妃奏懌長且賢，堪付重寄。
HCH_012_320_000202	於是禮部奏：「㦕以痼疾辭位，懌以親弟承托，接受既明，友愛不失。通國臣民舉無異詞，宜順其請。」
HCH_012_320_000203	上乃允懌嗣位，遣中官敕封，幷賜其妃尹氏誥命。
HCH_012_320_000204	初，成桂之自立也，與宰相李仁人本異族。
HCH_012_320_000205	永樂間，降祭海嶽祝文，稱成桂為仁人子，而祖訓亦載仁人子成桂更名旦。
HCH_012_320_000206	後成桂子芳遠奏辨，太宗許令改正。
HCH_012_320_000207	至是修大明會典，仍列祖訓於朝鮮國。
HCH_012_320_000208	貢使市以歸，懌上疏備陳世系，辨先世無弒逆事，乞改正。
HCH_012_320_000209	禮部議：「會典詳載本朝制度，事涉外國，疑似之際，在所略。況成桂得國出皇祖命，其不繫仁人後，太宗詔可徵，宜從其請。」
HCH_012_320_000210	詔曰：「可。」
HCH_012_320_000211	十五年冬，命內官封懌子峼為世子，賜懌金帛珠玉，令括取異物及童男女以進。
HCH_012_320_000212	十六年，世宗即位，禮官言：「天子初踐祚，宜正中國之體，絕外裔狎侮之端。請諭懌非朝廷意，召內臣還，毋有所索取。」
HCH_012_320_000213	帝從之。
HCH_012_320_000214	嘉靖二年八月，以俘獲倭夷來獻，幷送還中國被掠八人。
HCH_012_320_000215	賜白金錦紵。
