HCH_012_028_000086	十八年二月，雨雹。
HCH_012_028_000087	永樂七年秋，保定、浙東雨雹。
HCH_012_028_000088	十二年四月，河南一州八縣雨雹，殺麥。
HCH_012_028_000089	正統三年，西、延、平、慶、臨、鞏六府及秦、河、岷、金四州，自夏逮秋，大雨雹。
HCH_012_028_000090	四年五月壬戌，京師大雨雹。
HCH_012_028_000091	五年四月丁酉，平涼諸府大雨雹，傷人畜田禾。
HCH_012_028_000092	六月壬申至丙子，山西行都司及蔚州連日雨雹，其深尺餘，傷稼。
HCH_012_028_000093	八月庚辰，保定大雨雹，深尺餘，傷稼。
HCH_012_028_000094	景泰五年六月庚寅，易州大方等社雨雹甚大，傷稼百二十五里，人馬多擊死。
HCH_012_028_000095	六年閏六月乙巳，束鹿雨雹如雞子，擊死鳥雀狐兔無算。
HCH_012_028_000096	天順元年六月己亥，雨雹大如雞卵，至地經時不化，奉天門東吻牌摧毀。
HCH_012_028_000097	八年五月丁巳，雨雹。
HCH_012_028_000098	成化元年四月庚寅，雨雹大如卵，損禾稼。
HCH_012_028_000099	五月辛酉，又大雨雹。
HCH_012_028_000100	五年閏二月癸未，瓊山雨雹大如鬥。
HCH_012_028_000101	八年七月丙午，隴州雨雹大如鵝卵，或如雞子，中有如牛者五，長七八寸，厚三四寸，六日乃消。
HCH_012_028_000102	九年五月丁巳，雨雹如拳。
HCH_012_028_000103	十三年春，湖廣大雨冰雹，牛死無算。
HCH_012_028_000104	十九年六月乙亥，潞州雨雹，大者如碗。
HCH_012_028_000105	二十年二月丙子，清遠雨雹，大如拳。
HCH_012_028_000106	丙戌，大雷電，復雨雹。
HCH_012_028_000107	二十一年三月己丑夜，番禺、南海風雷大作，飛雹交下，壞民居萬餘，死者千餘人。
HCH_012_028_000108	二十二年三月甲寅，南陽雨雹，大如鵝卵。
HCH_012_028_000109	弘治元年三月壬申夜，融縣雨雹，壞城樓垣及軍民屋舍，死者四人。
HCH_012_028_000110	二年三月戊寅，賓州雨雹如雞子，擊殺牧豎三人，壞廬舍禾稼。
HCH_012_028_000111	庚辰，貴州安莊衛大雷，雨雪雹，壞麥苗。
HCH_012_028_000112	四月辛卯，洮州衛雨冰雹，水涌三丈。
HCH_012_028_000113	四年三月癸卯，裕、汝二州雨雹，大者如牆杵，積厚二三尺，壞屋宇禾稼。
HCH_012_028_000114	四月己酉，洮州衛雨雹及冰塊。
HCH_012_028_000115	水高三四丈，漫城郭，漂房舍，田苗人畜多淹死。
HCH_012_028_000116	五年四月乙丑，莒、沂二州，安丘、郯城二縣，雨雹大如酒杯，傷人畜禾稼。
