HCH_012_018_000094	召大同總兵官仇鸞及河南、山東兵入援。
HCH_012_018_000095	壬午，薄都城。
HCH_012_018_000096	仇鸞為平虜大將軍，節制諸路兵馬，巡撫保定都御史楊守謙提督軍務，左諭德趙貞吉宣諭諸軍。
HCH_012_018_000097	癸未，始御奉天殿，戒敕羣臣。
HCH_012_018_000098	甲申，寇退。
HCH_012_018_000099	逮守通州都御史王儀。
HCH_012_018_000100	丙戌，京師解嚴。
HCH_012_018_000101	杖趙貞吉，謫外任。
HCH_012_018_000102	丁亥，仇鸞敗績於白羊口。
HCH_012_018_000103	兵部尚書丁汝夔、巡撫侍郎楊守謙有罪，棄市。
HCH_012_018_000104	杖左都御史屠僑、刑部侍郎彭黯。
HCH_012_018_000105	九月辛卯，振畿內被寇者。
HCH_012_018_000106	乙未，罷團營，復三大營舊制，設戎政府，以仇鸞總督之。
HCH_012_018_000107	丁酉，罷領營中官。
HCH_012_018_000108	戊申，免畿內被災稅糧。
HCH_012_018_000109	壬子，廢鄭王厚烷為庶人。
HCH_012_018_000110	冬十月甲戌，張治卒。
HCH_012_018_000111	十一月癸巳，分遣御史選邊軍入衞。
HCH_012_018_000112	壬寅，祧仁宗，祔孝烈皇后於太廟。
HCH_012_018_000113	是年，琉球入貢。
HCH_012_018_000114	三十年春三月壬辰，開馬市於宣府、大同，兵部侍郎史道經理之。
HCH_012_018_000115	夏四月壬午，下經略京城副都御史商大節於獄。
HCH_012_018_000116	秋九月乙未，京師地震，詔修省。
HCH_012_018_000117	冬十一月，俺答犯大同。
HCH_012_018_000118	是年，免兩畿、河南、江西、遼東、貴州、山東、山西被災稅糧。
HCH_012_018_000119	三十一年春正月壬辰，俺答犯大同。
HCH_012_018_000120	甲午，入弘賜堡。
HCH_012_018_000121	二月癸丑，振宣、大饑。
HCH_012_018_000122	辛酉，俺答犯懷仁川，指揮僉事王恭戰死。
HCH_012_018_000123	己巳，建內府營，操練內侍。
HCH_012_018_000124	三月戊子，大將軍仇鸞帥師赴大同。
HCH_012_018_000125	辛卯，禮部尚書徐階兼東閣大學士，預機務。
HCH_012_018_000126	夏四月丙寅，把都兒、辛愛犯新興堡，指揮王相等戰死。
HCH_012_018_000127	丙子，倭寇浙江。
HCH_012_018_000128	五月甲申，召仇鸞還。
HCH_012_018_000129	戊申，倭陷黃巖。
HCH_012_018_000130	秋七月丙申，免陝西被災夏稅。
HCH_012_018_000131	壬寅，以倭警命山東巡撫都御史王忬巡視浙江。
HCH_012_018_000132	八月己未，收仇鸞大將軍印，尋病死。
HCH_012_018_000133	乙亥，戮仇鸞屍，傳首九邊。
HCH_012_018_000134	己卯，俺答犯大同，分掠朔、應、山陰、馬邑。
HCH_012_018_000135	九月乙酉，犯山西三關。
HCH_012_018_000136	壬辰，犯寧夏。
HCH_012_018_000137	丁酉，河決徐州。
HCH_012_018_000138	庚子，兵部侍郎蔣應奎、左通政唐國卿以冒邊功杖於廷。
HCH_012_018_000139	癸卯，罷各邊馬市。
HCH_012_018_000140	冬十月己未，兵部尚書趙錦坐仇鸞黨戍邊。
HCH_012_018_000141	壬戌，免江西被災稅糧。
HCH_012_018_000142	十二月丁巳，光祿少卿馬從謙坐誹謗杖死。
HCH_012_018_000143	三十二年春正月戊寅朔，日食，陰雲不見。
HCH_012_018_000144	己卯，侍郎吳鵬振淮、徐水災。
HCH_012_018_000145	二月甲子，倭犯溫州。
HCH_012_018_000146	壬申，俺答犯宣府，參將史略戰死。
HCH_012_018_000147	三月丁丑，振陝西饑。
HCH_012_018_000148	辛巳，吉能犯延綏，殺副總兵李梅。
HCH_012_018_000149	壬午，兵部侍郎楊博巡邊。
HCH_012_018_000150	甲申，振山東饑。
HCH_012_018_000151	甲午，賜陳謹等進士及第、出身有差。
HCH_012_018_000152	甲辰，俺答犯宣府，副總兵郭都戰死。
HCH_012_018_000153	閏三月，海賊汪直糾倭寇瀕海諸郡，至六月始去。
HCH_012_018_000154	秋七月戊午，俺答大舉入寇，犯靈丘、廣昌。
HCH_012_018_000155	乙丑，河套諸部犯延綏。
HCH_012_018_000156	己巳，俺答犯浮圖峪，遊擊陳鳳、朱玉禦之。
HCH_012_018_000157	庚午，河南賊師尚詔陷歸德及柘城、鹿邑。
HCH_012_018_000158	八月丙子，小王子犯赤城。
HCH_012_018_000159	丙申，師尚詔攻太康，官軍與戰於鄢陵，敗績。
HCH_012_018_000160	戊戌，振山東災，免稅糧。
HCH_012_018_000161	九月丙午，俺答犯廣武，巡撫都御史趙時春敗績，總兵官李淶、參將馮恩等力戰死。
HCH_012_018_000162	辛酉，以敵退告謝郊廟。
HCH_012_018_000163	冬十月甲戌，振河南、山東饑。
HCH_012_018_000164	庚子，師尚詔伏誅，賊平。
HCH_012_018_000165	辛丑，京師外城成。
HCH_012_018_000166	是年，琉球入貢。
HCH_012_018_000167	三十三年春正月壬寅朔，以賀疏違制，杖六科給事中於廷。
HCH_012_018_000168	戊辰，官軍圍倭於南沙，五閱月不克，倭潰圍出，轉掠蘇、松。
HCH_012_018_000169	二月庚辰，官軍敗績於松江。
HCH_012_018_000170	三月乙丑，倭犯通、泰，餘眾入青、徐界。
HCH_012_018_000171	夏四月甲戌，振畿內饑。
HCH_012_018_000172	乙亥，倭犯嘉興，都司周應楨等戰死。
HCH_012_018_000173	乙酉，陷崇明，知縣唐一岑死之。
HCH_012_018_000174	五月壬寅，倭掠蘇州。
HCH_012_018_000175	丁巳，南京兵部尚書張經總督軍務，討倭。
