HCH_012_321_000084	會老撾送陳天平至，言：「臣天平，前王日烜孫，奣子，日煃弟也。黎賊盡滅陳族，臣越在外州獲免。臣僚佐激於忠義，推臣為主以討賊。方議招軍，賊兵見迫，倉皇出走，竄伏巖谷，萬死一生，得達老撾。恭聞皇帝陛下入正大統，臣有所依歸。匍匐萬里，哀愬明庭。陳氏後裔止臣一人，臣與此賊不共戴天。伏祈聖慈垂憐，迅發六師，用章天討。」
HCH_012_321_000085	帝益感動，命所司館之。
HCH_012_321_000086	𡗨方遣使賀正旦，帝出天平示之，皆錯愕下拜，有泣者。
HCH_012_321_000087	伯耆責使者以大義，惶恐不能答。
HCH_012_321_000088	帝諭侍臣：「𡗨父子悖逆，鬼神所不容，而國中臣民共為欺蔽。一國皆罪人也，朕烏能容。」
HCH_012_321_000089	三年命御史李琦、行人王樞齎敕責𡗨，令具篡弒之實以聞。
HCH_012_321_000090	雲南寧遠州復訴𡗨侵奪七寨，掠其壻女。
HCH_012_321_000091	𡗨遣其臣阮景真從琦等入朝謝罪，抵言未嘗僭號改元，請迎天平歸，奉為主，且退還祿州、寧遠地。
HCH_012_321_000092	帝不虞其詐，許之。
HCH_012_321_000093	命行人聶聰齎敕往諭，言：「果迎還天平，事以君禮，當建爾上公，封以大郡。」
HCH_012_321_000094	𡗨復遣景真從聰等還報，迎天平。
HCH_012_321_000095	聰力言𡗨誠可信，帝乃令天平還國，敕廣西左、右副將軍黃中、呂毅將兵五千送之。
HCH_012_321_000096	四年，天平陛辭，帝厚加賚，敕封𡗨順化郡公，盡食所屬州縣。
HCH_012_321_000097	三月，中等護天平入雞陵關，將至芹站，𡗨伏兵邀殺天平，中等敗還。
HCH_012_321_000098	帝大怒，召成國公朱能等謀，決意討之。
HCH_012_321_000099	七月命能佩征夷將軍印充總兵官，西平侯沐晟佩征夷副將軍印為左副將軍，新城侯張輔為右副將軍，豐城侯李彬、雲陽伯陳旭為左、右參將，督師南征。
HCH_012_321_000100	能至龍州病卒，輔代將其軍。
HCH_012_321_000101	入安南坡壘關，傳檄數一元父子二十大罪，諭國人以輔立陳氏子孫意。
