HCH_010_070_000001	周有天下，不期而會者八百餘國。
HCH_010_070_000002	遼居松漠，最為強盛。
HCH_010_070_000003	天命有歸，建國改元。
HCH_010_070_000004	號令法度，皆遵漢制。
HCH_010_070_000005	命將出師，臣服諸國。
HCH_010_070_000006	人民皆入版籍，貢賦悉輸內帑。
HCH_010_070_000007	東西朔南，何啻萬里。
HCH_010_070_000008	視古起百里國而致太平之業者，亦幾矣。
HCH_010_070_000009	故有遼之盛不可不著。
HCH_010_070_000010	作《屬國表》。
HCH_010_070_000011	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
