HCH_010_019_000073	六月丙午，詔世選宰相、節度使族屬及身為節度使之家，許葬用銀器；仍禁殺牲以祭。
HCH_010_019_000074	庚戌，詔漢人宮分戶絕，恒產以親族繼之。
HCH_010_019_000075	辛亥，阻卜大王屯禿古斯弟太尉撒葛裏來朝。
HCH_010_019_000076	丙辰，回鶻遣使來貢。
HCH_010_019_000077	甲子，以南院樞密使吳國王蕭孝穆為北院樞密使，徙封齊國王。
HCH_010_019_000078	秋七月丙寅朔，北院樞密使蕭孝忠薨，特釋系囚。
HCH_010_019_000079	庚寅，夏國遣使上表，請伐宋，不從。
HCH_010_019_000080	八月丙申，謁慶陵。
HCH_010_019_000081	辛，燕國王洪基加尚書令，知北南院樞密使事，進封燕趙國王。
HCH_010_019_000082	戊午，以前西北路招討使蕭塔烈葛為右夷離畢。
HCH_010_019_000083	庚申，於越耶律洪古薨。
HCH_010_019_000084	甲子，阻卜來貢。
HCH_010_019_000085	九月壬申，朝皇太后，謁望仙殿。
HCH_010_019_000086	壬午，謁懷陵。
HCH_010_019_000087	冬十月丁酉，駐蹕中會川。
HCH_010_019_000088	己亥，北院樞密使蕭孝穆薨，追贈大丞相、晉國王。
HCH_010_019_000089	庚子，詔諸路上重囚，遣官詳讞。
HCH_010_019_000090	辛亥，參知政事韓紹芳為廣德軍節度使，三司使劉六符長寧軍節度使。
HCH_010_019_000091	壬子，以夏人侵党項，遣延昌宮使高家奴讓之。
HCH_010_019_000092	甲子，北府宰相蕭惠為北院樞密使，豳王遂哥為惕隱，惕隱敵魯古封漆水郡王、西北路招討使，樞密副使蕭阿剌同知北院宣徽事。
HCH_010_019_000093	出飛龍廄馬，分賜群臣。
HCH_010_019_000094	十一月丁丑，追封楚王蕭孝忠為楚國王。
HCH_010_019_000095	丁亥，以上京歲儉，復其民租稅。
HCH_010_019_000096	癸巳，朝皇太后。
HCH_010_019_000097	十二月戊申，改政事省為中書省。
HCH_010_019_000098	十三年春正月甲子朔，朝皇太后。
HCH_010_019_000099	戊辰，如混同江。
HCH_010_019_000100	辛未，獵兀魯館岡。
HCH_010_019_000101	二月庚戌，如魚兒濼。
HCH_010_019_000102	丙辰，以參知政事杜防為南府宰相。
HCH_010_019_000103	三月丁亥，高麗遣使來貢。
HCH_010_019_000104	以宣政殿學士楊佶參知政事。
HCH_010_019_000105	是月，置契丹警巡院。
HCH_010_019_000106	夏四月己酉，遣東京留守耶律侯哂、知黃龍府事耶律歐裏斯將兵攻蒲盧毛朵部。
HCH_010_019_000107	甲寅，南院大王耶律高十奏党項等部叛附夏國。
HCH_010_019_000108	丙辰，西南面招討都監羅漢奴、詳穩斡魯母等奏，山西部族節度使屈烈以五部叛入西夏，乞南、北府兵援送實威塞州戶。
HCH_010_019_000109	詔富者遣行，余留屯田天德軍。
HCH_010_019_000110	五月壬戌朔，羅漢奴奏所發部兵與党項戰不利，招討使蕭普達、四捷軍詳穩張佛奴歿於陣。
HCH_010_019_000111	李元昊來援叛黨。
HCH_010_019_000112	戊辰，詔征諸道兵會西南邊以討元昊。
HCH_010_019_000113	六月甲午，阻卜酋長烏八遣其子執元昊所遣求援使窊邑改來，乞以兵助戰，從之。
HCH_010_019_000114	駐蹕永安山。
HCH_010_019_000115	以將伐夏，遣延昌宮使耶律高家奴告宋。
HCH_010_019_000116	丙申，詔前南院大王耶律谷欲、翰林都林牙耶律庶成等編集國朝上世以來事跡。
HCH_010_019_000117	丙午，高麗遣使來貢。
HCH_010_019_000118	丁未，錄囚。
HCH_010_019_000119	秋七月辛酉，香河縣民李宜兒以左道惑眾，伏誅。
HCH_010_019_000120	庚午，行再生禮。
HCH_010_019_000121	庚辰，夏國遣使來朝。
HCH_010_019_000122	八月乙未，以夏使對不以情，羈之。
HCH_010_019_000123	丁巳，夏國復遣使來，詢以事宜，又不以實對，笞之。
HCH_010_019_000124	九月戊辰，宋以親征夏國，遣余靖致贐禮。
HCH_010_019_000125	壬申，會大軍於九十九泉，以皇太弟重元、北院樞密使韓國王蕭惠將先鋒兵西征。
HCH_010_019_000126	冬十月庚寅，祭天地。
HCH_010_019_000127	丙申，獲党項偵人，射鬼箭。
HCH_010_019_000128	丁酉，李元昊上表謝罪。
HCH_010_019_000129	己亥，元昊遣使來奏，欲收叛黨以獻，從之。
HCH_010_019_000130	辛亥，元昊遣使來進方物，詔北院樞密副使蕭革迓之。
HCH_010_019_000131	壬子，軍於河曲。
HCH_010_019_000132	革言元昊親率党項三部來，詔革詰其納叛背盟，元昊伏罪，賜酒。
HCH_010_019_000133	許以自新，遣之。
HCH_010_019_000134	召群臣議，皆以大軍既集，宜加討伐。
HCH_010_019_000135	癸丑，督數路兵掩襲，殺數千人，駙馬都尉蕭胡睹為夏人所執。
HCH_010_019_000136	丁巳，元昊遣使以先被執者來歸，詔所留夏使亦還其國。
HCH_010_019_000137	十一月辛酉，賜有功將校有差。
HCH_010_019_000138	甲子，班師。
HCH_010_019_000139	丁卯，改雲州為西京。
HCH_010_019_000140	辛巳，朝皇太后。
HCH_010_019_000141	十二月己丑，幸西京。
HCH_010_019_000142	戊戌，以北院樞密副使耶律敵烈為右夷離畢。
HCH_010_019_000143	己亥，高麗遣使來貢。
HCH_010_019_000144	戊申，蕭胡睹自夏來歸。
HCH_010_019_000145	十四年春正月庚申，以侍中蕭虛烈為南院統軍使，封遼西郡王。
HCH_010_019_000146	庚午，如鴛鴦濼。
HCH_010_019_000147	壬午，以金吾衛大將軍敵魯古為乙室大王。
HCH_010_019_000148	甲申，夏國遣使進鶻。
HCH_010_019_000149	以常侍斡古得戰歿，命其子習羅為帥。
HCH_010_019_000150	二月庚子，朝皇太后。
HCH_010_019_000151	駐蹕撒剌濼。
