HCH_015_029_000076	虜圍轉急，山圖據城自固，然後更結陣死戰，突圍出，虜披靡不能禁。
HCH_015_029_000077	衆稱其勇，呼爲「武原將」。
HCH_015_029_000078	及永軍大敗，山圖收散卒得千餘人，守下邳城。
HCH_015_029_000079	還除給事中、冗從僕射、直閤將軍。
HCH_015_029_000080	山圖好酒多失，明帝數加怒誚，後遂自改。
HCH_015_029_000081	出爲錢唐新城戍。
HCH_015_029_000082	是時豫州淮西地新沒虜，更於歷陽立鎮，五年，以山圖爲龍驤將軍、歷陽令，領兵守城。
HCH_015_029_000083	初，臨海亡命田流，自號「東海王」，逃竄會稽鄞縣邊海山谷中，立屯營，分布要害，官軍不能討。
HCH_015_029_000084	明帝遣直後聞人襲說降之，授流龍驤將軍，流受命，將黨與出，行達海鹽，放兵大掠而反。
HCH_015_029_000085	是冬，殺鄞令耿猷，東境大震。
HCH_015_029_000086	六年，敕山圖將兵東屯浹口，廣設購募。
HCH_015_029_000087	流爲其副暨挐所殺，別帥杜連、梅洛生各擁衆自守。
HCH_015_029_000088	至明年，山圖分兵掩討，皆平之。
HCH_015_029_000089	豫章賊張鳳，聚衆康樂山，斷江劫抄。
HCH_015_029_000090	臺軍主李雙、蔡保數遣軍攻之，連年不禽。
HCH_015_029_000091	至是軍主毛寄生與鳳戰於豫章江，大敗。
HCH_015_029_000092	明帝復遣山圖討之。
HCH_015_029_000093	山圖至，先羸兵偃衆，遣幢主龐嗣厚遺鳳，要出會聚，聽以兵自衞，鳳信之。
HCH_015_029_000094	行至望蔡，山圖設伏兵於水側，擊斬鳳首，衆百餘人束首降。
HCH_015_029_000095	除寧朔將軍、漣口戍主。
HCH_015_029_000096	山圖遏漣水築西城，斷虜騎路，并以溉田。
HCH_015_029_000097	元徽三年，遷步兵校尉，加建武將軍。
HCH_015_029_000098	轉督高平下邳淮陽淮西四郡諸軍事、寧朔將軍、淮南太守。
HCH_015_029_000099	盜發桓溫塚，大獲寶物。
HCH_015_029_000100	客竊取以遺山圖，山圖不受，簿以還官。
HCH_015_029_000101	遷左中郎將。
HCH_015_029_000102	太祖輔政，山圖密啓曰：「沈攸之久有異圖，公宜深爲之備。」
HCH_015_029_000103	太祖笑而納之。
HCH_015_029_000104	武陵王贊爲郢州，太祖令山圖領兵衞送。
HCH_015_029_000105	世祖與晉熙王燮自郢下，以山圖爲後防。
HCH_015_029_000106	攸之事起，世祖爲西討都督，啓山圖爲軍副。
HCH_015_029_000107	世祖留據盆城，衆議以盆城城小難固，不如還都。
HCH_015_029_000108	山圖曰：「今據中流，爲四方勢援，大衆致力，川岳可爲。城隍小事，不足難也。」
HCH_015_029_000109	世祖使城局參軍劉皆、陳淵委山圖以處分事。
HCH_015_029_000110	山圖斷取行旅船板，以造樓櫓，立水柵，旬日皆辦。
HCH_015_029_000111	世祖甚嘉之。
HCH_015_029_000112	授前軍將軍，加寧朔將軍，進號輔國將軍。
HCH_015_029_000113	攸之攻郢城，世祖令山圖量其形勢。
HCH_015_029_000114	山圖曰：「攸之見與隣郷，亟同征伐，悉其爲人。性度險刻，無以結固士心。如頓兵堅城之下，適所以爲離散之漸耳。」
HCH_015_029_000115	攸之旣敗，平西將軍黃回乘輕舸從白服百餘人在軍前下緣流呌，盆城中恐，須臾知是回凱歸，乃安。
HCH_015_029_000116	世祖謂山圖曰：「周公前言，可謂明於見事矣。」
HCH_015_029_000117	還都，太祖遣山圖領部曲，鎮京城，鎮戍諸軍，悉受節度。
HCH_015_029_000118	遷游擊將軍，輔國如故。
HCH_015_029_000119	建元元年，封廣晉縣男，邑三百戶。
HCH_015_029_000120	出爲假節、督兖青冀三州徐州東海朐山軍事、寧朔將軍、兖州刺史。
HCH_015_029_000121	百姓附之。
HCH_015_029_000122	二年，進號輔國將軍。
HCH_015_029_000123	其秋，虜動，上策虜必不出淮陰，乃敕山圖曰：「知卿綏邊撫戎，甚有次第，應變算略，悉以相委。恐列醜未必能送死，卿丈夫無可藉手耳。」
HCH_015_029_000124	虜果寇朐山，爲玄元度、盧紹之所破。
HCH_015_029_000125	虜於淮陽。
HCH_015_029_000126	是時淮北四州起義，上使山圖自淮入清，倍道應赴。
HCH_015_029_000127	敕山圖曰：「卿當盡相帥馭理，每存全重，天下事，唯同心力，山岳可摧。然用兵當使背後無憂慮；若後冷然無橫來處，閉目痛打，無不摧碎。吾政應鑄金，待卿成勳耳。若不藉此平四州，非丈夫也。努力自運，勿令他人得上功。」
HCH_015_029_000128	會義衆已爲虜所沒，山圖拔三百家還淮陰。
HCH_015_029_000129	表移東海郡治漣口，又於石鼈立陽平郡，皆見納。
HCH_015_029_000130	世祖踐阼，遷竟陵王鎮北司馬，帶南平昌太守，將軍如故。
HCH_015_029_000131	以盆城之舊，出入殿省，甚見親信。
