HCH_012_155_000094	宣宗即位，召還，陳備邊五事。
HCH_012_155_000095	尋復遣巡邊。
HCH_012_155_000096	宣德元年從征樂安，為前鋒。
HCH_012_155_000097	高煦就擒，留祿與尚書張本鎮撫之。
HCH_012_155_000098	明年春，奉詔巡視畿南諸府城池，嚴戒軍士毋擾民，違者以軍法論。
HCH_012_155_000099	是夏復佩大將軍印，北巡開平，還駐宣府。
HCH_012_155_000100	敵犯開平，無所得而退，去城三百餘里。
HCH_012_155_000101	祿帥精兵晝伏夜行，三夕至。
HCH_012_155_000102	縱輕騎蹂敵營，破之，大獲人畜。
HCH_012_155_000103	師還，敵躡其後，復奮擊敗之，敵由是遠遁。
HCH_012_155_000104	召還。
HCH_012_155_000105	三年從北征，破敵於寬河，留鎮薊州、永平。
HCH_012_155_000106	復數佩鎮朔印，巡邊護餉，出開平、宣府間。
HCH_012_155_000107	五年遇敵於鳳凰嶺，斬獲多，加太保。
HCH_012_155_000108	上言永寧衛團山及雕鶚、赤城、雲州、獨石宜築城堡，便守禦。
HCH_012_155_000109	詔發軍民三萬六千赴工，精騎一千五百護之，皆聽祿節制。
HCH_012_155_000110	臨行賜詩，以山甫、南仲為比。
HCH_012_155_000111	祿武人不知書，以問楊士奇。
HCH_012_155_000112	士奇曰：「上以古賢人待君也。」
HCH_012_155_000113	祿拊心曰：「祿安敢望前賢，然敢不勉圖報上恩萬一。」
HCH_012_155_000114	其年六月有疾，召還。
HCH_012_155_000115	逾月卒。
HCH_012_155_000116	贈鄞國公，謚忠武。
HCH_012_155_000117	祿有勇而好謀，謀定後戰，戰必勝。
HCH_012_155_000118	紀律嚴明，秋毫無犯。
HCH_012_155_000119	善撫士卒，同甘苦，人樂為用。
HCH_012_155_000120	「靖難」諸功臣，張玉、朱能及祿三人為最，而祿逮事三朝，巋然為時宿將。
HCH_012_155_000121	孫詵嗣。
HCH_012_155_000122	至曾孫翰卒，無子，族人爭襲，久之不得請，田宅並入官，世絕者三十餘年。
HCH_012_155_000123	萬歷五年乃復封翰族子鋹為侯。
HCH_012_155_000124	再傳至濂。
HCH_012_155_000125	崇禎末，京師陷，被害。
HCH_012_155_000126	永樂中從起兵北平，後積功至大將，封侯伯不以「靖難」功者，薛祿及郭義、金玉、劉榮、朱榮凡五人，而義、玉與祿同日封雲。
HCH_012_155_000127	郭義，濟寧人。
HCH_012_155_000128	洪武時，累功為燕山千戶。
HCH_012_155_000129	從成祖入京師，累遷左都督。
