HCH_015_020_000082	后禀性淫亂，為妃時，便與外人姦通。
HCH_015_020_000083	在後宮，復通帝左右楊珉之，與同寢處如伉儷。
HCH_015_020_000084	珉之又與帝相愛褻，故帝恣之。
HCH_015_020_000085	迎后親戚入宮，賞賜人百數十萬。
HCH_015_020_000086	以世祖耀靈殿處后家屬。
HCH_015_020_000087	帝被廢，后貶為王妃。
HCH_015_020_000088	海陵王王妃名韶明，琅邪臨沂人，太常慈女也。
HCH_015_020_000089	永明八年，納為臨汝公夫人。
HCH_015_020_000090	鬱林即位，為新安王妃。
HCH_015_020_000091	延興元年，為皇后。
HCH_015_020_000092	其年，降為海陵王妃。
HCH_015_020_000093	明敬劉皇后諱惠端，彭城人，光祿大夫道弘孫也。
HCH_015_020_000094	太祖為高宗納之。
HCH_015_020_000095	建元三年，除西昌侯夫人。
HCH_015_020_000096	永明七年，卒，葬江乘縣張山。
HCH_015_020_000097	延興元年，贈宣城王妃。
HCH_015_020_000098	高宗即位，追尊為敬皇后。
HCH_015_020_000099	贈父通直郎景猷金紫光祿大夫，母王氏平陽鄉君。
HCH_015_020_000100	永泰元年，高宗崩，改葬，祔于興安陵。
HCH_015_020_000101	東昏褚皇后名令璩，河南陽翟人，太常澄女也。
HCH_015_020_000102	建武二年，納為皇太子妃。
HCH_015_020_000103	明年，謁敬后廟。
HCH_015_020_000104	東昏即位，為皇后。
HCH_015_020_000105	帝寵潘妃，后不被遇。
HCH_015_020_000106	黃淑儀生太子誦，東昏廢，竝為庶人。
HCH_015_020_000107	和帝王皇后名蕣華，琅邪臨沂人，太尉儉孫也。
HCH_015_020_000108	初為隨王妃。
HCH_015_020_000109	中興元年，為皇后。
HCH_015_020_000110	帝禪位，后降為妃。
HCH_015_020_000111	史臣曰：后妃之德，著自風謠，義起閨房，而道化天下。
HCH_015_020_000112	繰盆獻種，罔非耕織，佩管晨興，與子同事，可以光熙閫業，作儷公侯。
HCH_015_020_000113	孝、昭二后，竝有賢明之訓，不得母臨萬國。
HCH_015_020_000114	寶命方昌，椒庭虛位，有婦人焉，空慕周興，禎符顯瑞，徒萃徽名。
HCH_015_020_000115	若使掖作同休，陰教遠爕，則馬、鄧風流，復存乎此。
HCH_015_020_000116	太祖創命，宮禁貶約，毀宋明之紫極，革前代之踰奢，衣不文繡，色無紅采，永巷貧空，有同素室。
HCH_015_020_000117	世祖嗣位，運藉休平，壽昌前興，鳳華晚搆，香柏文檉，花梁繡柱，雕金鏤寶，頗用房帷，趙瑟吳趨，承閑奏曲，歲費傍恩，足使充牣，事由私蓄，無損國儲。
HCH_015_020_000118	高宗仗數矯情，外行儉陋，內奉宮業，曾莫云改。
HCH_015_020_000119	東昏喪道，侈風大扇，銷糜海內，以贍浮飾，哲婦傾城，同符殷、夏。
HCH_015_020_000120	嗚呼！
HCH_015_020_000121	所以垂戒於方來〔也〕。
HCH_015_020_000122	贊曰：宣武孝則，識有先知。
HCH_015_020_000123	高昭誕武，世載母儀。
HCH_015_020_000124	裴穆儲閫，位亦從隳。
HCH_015_020_000125	明敬典冊，配在宗枝。
HCH_015_020_000126	秋宮亦遽，軒景前虧。
HCH_015_020_000127	文安廢主，百憂已離，中興秉制，揖讓弘規。
HCH_015_020_000128	本南北朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
