HCH_013_053_000082	璋日詭猛曰：「天兵退矣。」
HCH_013_053_000083	又曰：「天兵聞君走交南，不敢輒加兵交南境，遣使詣督府，請進止也。」
HCH_013_053_000084	猛喜不疑。
HCH_013_053_000085	胡堯元與諸將見希儀已破隘，欲攘其功，頗聞猛走匿璋所，遂以兵萬人擣歸順。
HCH_013_053_000086	璋亟遣人持牛酒犒師境上，而自來見諸將，頓首謝曰：「猛敗，昨越歸順，欲走交南。璋邀擊之，猛目被流矢南走，不知所之。急之，恐入交南，連逆賊為變。幸緩五日，當捕致之。」
HCH_013_053_000087	堯元等許之。
HCH_013_053_000088	璋歸，復詭猛曰：「天兵已退。非陳奏，事不白。為君草封事，令人上之，如何？」
HCH_013_053_000089	猛曰：「固所願也。」
HCH_013_053_000090	乃為疏，令猛出印印之。
HCH_013_053_000091	璋得知猛寘印所，乃置酒賀猛。
HCH_013_053_000092	樂作，持鴆酒一盂，獻曰：「天兵索君急，不能庇也，請自為計。」
HCH_013_053_000093	猛大怒，罵曰：「悔墮此老奸計也。」
HCH_013_053_000094	遂飲鴆死。
HCH_013_053_000095	璋斬其首，並所佩印，遣使間道馳詣軍門，上之。
HCH_013_053_000096	諸將聞之，引還。
HCH_013_053_000097	猛三子，長為邦彥，既敗死。
HCH_013_053_000098	次邦佐、邦相，出亡。
HCH_013_053_000099	邦彥側室子曰芝，方襁褓，匿民間。
HCH_013_053_000100	諸惡目韋好、陸綬、馮爵俱被擒斬，惟盧蘇、王受未授首。
HCH_013_053_000101	捷聞，論功行賞，鏌請置流官治之，事下兵部覆奏，從之。
HCH_013_053_000102	六年五月，盧蘇、王受反。
HCH_013_053_000103	有自右江來者，言：「岑猛實不死，糾安南莫氏入寇，陷思恩矣。藩省旦暮當不保。」
HCH_013_053_000104	於是靖江諸宗室倉皇出奔，人情惶懼。
HCH_013_053_000105	藩臬諸司素銜姚鏌者，又倡言：「猛實未死，鏌為歸順所紿。」
HCH_013_053_000106	御史石金聞之，遂劾鏌：「攘［夷］無策，輕信罔上。圖田州不得，並思恩而失之。」
HCH_013_053_000107	帝大怒，落鏌職，以王守仁代之。
HCH_013_053_000108	先是，鏌上言：「田州遺黨復叛，再乞集兵𠟿捕。軍興錢穀，相應議處。」
HCH_013_053_000109	帝命動支廣東司府帑庫金錢，不得自分彼我，致誤事機。
HCH_013_053_000110	至是，守仁未至，鏌候代。
HCH_013_053_000111	偵知思恩未陷，欲徵兵擒蘇等自贖。
HCH_013_053_000112	乃徵廣西諸司議事，而銜鏌者紿郵吏，發檄交誤，各以檄誤不至。
HCH_013_053_000113	鏌竟不獲集兵而去。
HCH_013_053_000114	七年春正月，王守仁將至田州，調集湖兵數萬人南下，諸土目皆憚之。
HCH_013_053_000115	守仁乃自弢晦，示以無事。
HCH_013_053_000116	及南抵寧，見盧蘇、王受勢熾，度不可卒滅，乃使人招諭，使來輸罪。
HCH_013_053_000117	會有造浮言誑蘇、受欲取其賂者，蘇、受疑懼不即來。
HCH_013_053_000118	守仁遣使慰諭之，且與之誓。
HCH_013_053_000119	蘇、受言來見，必陳兵衞。
HCH_013_053_000120	又欲易軍門左右祗候，皆盡以田州人。
HCH_013_053_000121	守仁許之，蘇、受乃期日來見，盛兵自衞。
HCH_013_053_000122	守仁數罪箠之，蘇、受衷甲受箠，已而諭歸俟命。
HCH_013_053_000123	守仁乃上疏言：「思、田久苦兵革，民間已不勝。況田州外捍交阯，縱使克之，置流官，兵弱財匱，恐生他變。岑氏世有功，治田州，非岑氏不可。請降田州府為田州，官猛子邦相為判官，以盧蘇、王受為巡檢。別立思恩府，設流官統之。」
HCH_013_053_000124	帝皆從焉。
HCH_013_053_000125	乃命邦相歸田州，盧蘇等各之官，田州以寧。
