HCH_012_306_000073	瑾大怒，數於眾中斥芳父子。
HCH_012_306_000074	芳不得已，乃乞歸。
HCH_012_306_000075	黃中頠閣蔭，以侍讀隨父還。
HCH_012_306_000076	瑾敗，給事、御史交劾，削其官，黜黃中為民。
HCH_012_306_000077	久之，芳使黃中賫金寶遺權貴，上章求湔雪復官，為吏科所駁。
HCH_012_306_000078	於是吏部覆奏，請械系黃中法司，以彰天討。
HCH_012_306_000079	黃中狼狽遁走。
HCH_012_306_000080	芳居第宏麗，治作勞數郡。
HCH_012_306_000081	大盜趙鐩入泌陽，火之，發窖多得其藏金，乃盡掘其先人冢墓，雜燒以牛馬骨。
HCH_012_306_000082	求芳父子不得，取芳衣冠被庭樹，拔劍斫其首，使群盜糜之，曰：「吾為天子誅此賊。」
HCH_012_306_000083	鐩後臨刑嘆曰：「吾不能手刃焦芳父子以謝天下，死有餘恨！」
HCH_012_306_000084	瑾從孫二漢當死，亦曰：「吾死固當，第吾家所為，皆焦芳與張綵耳。今綵與我處極刑，而芳獨晏然，豈非冤哉。」
HCH_012_306_000085	芳父子竟良死。
HCH_012_306_000086	劉宇，字至大，鈞州人。
HCH_012_306_000087	成化八年進士。
HCH_012_306_000088	由知縣入為御史，坐事謫，累遷山東按察使。
HCH_012_306_000089	弘治中，以大學士劉健薦，擢右僉都御史，巡撫大同，召為左副都御史。
HCH_012_306_000090	正德改元，吏部尚書馬文升薦之，進右都御史，總督宣府、大同、山西軍務。
HCH_012_306_000091	宇初撫大同，私市善馬賂權要。
HCH_012_306_000092	兵部尚書劉大夏因孝宗召見，語及之。
HCH_012_306_000093	帝密遣錦衣百戶邵琪往察，宇厚賂琪，為之抵諱。
HCH_012_306_000094	後大夏再召對，帝曰：「健薦宇才堪大用，以朕觀之，此小人，豈可用哉？由是知內閣亦未可盡信也。」
HCH_012_306_000095	宇聞，以大夏不為己地，深憾之。
HCH_012_306_000096	劉瑾用事，宇介焦芳以結瑾。
HCH_012_306_000097	二年正月入為左都御史。
HCH_012_306_000098	瑾好摧折臺諫，宇緣其意，請敕箝制御史，有小過輒加笞辱，瑾以為賢。
HCH_012_306_000099	瑾初通賄，望不過數百金，宇首以萬金贄，瑾大喜曰：「劉先生何厚我。」
HCH_012_306_000100	尋轉兵部尚書，加太子太傅。
HCH_012_306_000101	子仁應殿試，求一甲不得。
