HCH_012_024_000091	冬十月癸丑，熊文燦棄市。
HCH_012_024_000092	十一月，楊嗣昌進軍重慶。
HCH_012_024_000093	丁亥，祀天於南郊。
HCH_012_024_000094	戊子，南京地震。
HCH_012_024_000095	十二月丁未朔，嚴軍機抄傳之禁。
HCH_012_024_000096	辛亥，張獻忠陷瀘州。
HCH_012_024_000097	乙卯，逮薛國觀。
HCH_012_024_000098	是月，李自成自湖廣走河南，饑民附之，連陷宜陽、永寧，殺萬安王采鑋，陷偃師，勢大熾。
HCH_012_024_000099	是年，兩畿、山東、河南、山、陝旱蝗，人相食。
HCH_012_024_000100	十四年春正月辛巳，祈穀於南郊。
HCH_012_024_000101	己丑，總兵官猛如虎追張獻忠及於開縣之黃陵城，敗績，參將劉士傑等戰死，賊遂東下。
HCH_012_024_000102	丙申，李自成陷河南，福王常洵遇害，前兵部尚書呂維祺等死之。
HCH_012_024_000103	二月己酉，詔以時事多艱，災異疊見，痛自刻責，停今歲行刑，諸犯俱減等論。
HCH_012_024_000104	庚戌，張獻忠陷襄陽，襄王翊銘、貴陽王常法並遇害，副使張克儉等死之。
HCH_012_024_000105	戊午，李自成攻開封，周王恭枵、巡按御史高名衡拒卻之。
HCH_012_024_000106	乙丑，張獻忠陷光州。
HCH_012_024_000107	己巳，召閣臣、九卿、科道於乾清宮左室。
HCH_012_024_000108	命駙馬都尉冉興讓等齎帑金振恤河南被難宗室。
HCH_012_024_000109	三月丙子朔，楊嗣昌自四川還，至荊州卒。
HCH_012_024_000110	乙酉，禱雨。
HCH_012_024_000111	丙申，洪承疇會八鎮兵於寧遠。
HCH_012_024_000112	丁酉，逮鄭崇儉下獄，尋棄市。
HCH_012_024_000113	夏四月壬子，大清兵攻錦州，祖大壽拒守。
HCH_012_024_000114	己未，總督三邊侍郎丁啟睿為兵部尚書，督師討賊。
HCH_012_024_000115	五月庚辰，范復粹致仕。
HCH_012_024_000116	釋傅宗龍於獄，命為兵部侍郎，總督陝西三邊軍務，討李自成。
HCH_012_024_000117	戊子，祀地於北郊。
HCH_012_024_000118	六月，兩畿、山東、河南、浙江、湖廣旱蝗，山東寇起。
HCH_012_024_000119	秋七月己卯，李自成攻鄧州，楊文岳、總兵官虎大威擊敗之。
HCH_012_024_000120	壬寅，洪承疇援錦州，駐師松山。
HCH_012_024_000121	是月，臨清運河涸。
HCH_012_024_000122	京師大疫。
HCH_012_024_000123	八月乙巳，援兵戰於松山，陽和總兵官楊國柱敗沒。
HCH_012_024_000124	辛亥，賜薛國觀死。
HCH_012_024_000125	辛酉，重建太學成，釋奠於先師孔子。
HCH_012_024_000126	甲子，總兵官吳三桂、王樸自松山遁，諸軍夜潰。
HCH_012_024_000127	是月，左良玉大敗張獻忠於信陽。
HCH_012_024_000128	九月丁丑，傅宗龍帥師次新蔡，與總督保定侍郎楊文岳軍會。
HCH_012_024_000129	己卯，遇賊，賀人龍師潰，宗龍被圍，文岳走陳州。
HCH_012_024_000130	甲申，周延儒、賀逢聖復入閣。
HCH_012_024_000131	辛卯，封皇子慈炯為定王。
HCH_012_024_000132	壬辰，傅宗龍潰圍出，趨項城，被執死之。
HCH_012_024_000133	賊屠項城及商水、扶溝。
HCH_012_024_000134	戊戌，李自成、羅汝才陷葉縣，守將劉國能死之。
HCH_012_024_000135	是月，官軍破張獻忠於英山之望雲寨。
HCH_012_024_000136	冬十月癸卯朔，日有食之。
HCH_012_024_000137	十一月丙子，李自成陷南陽，唐王聿鏌遇害，總兵官猛如虎等死之。
HCH_012_024_000138	十二月，李自成連陷洧川、許州、長葛、鄢陵。
HCH_012_024_000139	甲子，戍解學龍、黃道周。
HCH_012_024_000140	李自成、羅汝才合攻開封，周王恭枵、巡撫都御史高名衡拒守。
HCH_012_024_000141	十五年春正月癸未，孫傳庭為兵部侍郎，督京軍救開封。
HCH_012_024_000142	乙酉，楊文岳援開封，賊解去，南陷西華。
