HCH_009_071_000060	詔曰：「夏人屢求援兵者，或不欲歸我戶口，沮吾追襲遼主事也。宋人敢言自取疆土于夏，誠有異圖。宜謹守備，盡索在夏戶口，通聞兩國，事審處之。」
HCH_009_071_000061	斡魯複請弗割山西與宋，則遼主不能與宋郭藥師交通。
HCH_009_071_000062	複詔曰：「宗翰請毋與宋山西地，卿複及此，疆場之事當慎毋忽。」
HCH_009_071_000063	及宗翰等伐宋，斡魯行西南、西北兩路都統事。
HCH_009_071_000064	天會五年，薨。
HCH_009_071_000065	皇統五年，追封鄭國王。
HCH_009_071_000066	天德二年，酏享太祖廟廷。
HCH_009_071_000067	子撒八，銀青光祿大夫。
HCH_009_071_000068	子賽裏。
HCH_009_071_000069	斡魯古勃堇，宗室子也。
HCH_009_071_000070	太祖伐遼，使斡魯古、阿魯撫諭斡忽、急賽兩路系遼女直，與遼節度使撻不也戰，敗之，斬撻不也，酷輦嶺阿魯台罕等十四太彎皆降，斡忽、急賽兩路亦降。
HCH_009_071_000071	與遼都統實婁戰於鹹州西，敗之，斬實婁於陣，與婁室克鹹州。
HCH_009_071_000072	陁滿忽吐以所部降于斡魯古，鄰部戶七千亦來歸，遂與遼將喝補戰，破其軍數萬人。
HCH_009_071_000073	太祖嘉之，以為咸州軍帥。
HCH_009_071_000074	斡魯伐高永昌于東京，斡魯古以鹹州軍佐之。
HCH_009_071_000075	遼秦晉國王耶律捏裏來伐，迪古乃、婁室、婆盧火等將二萬眾，合斡魯古鹹州兵往擊之。
HCH_009_071_000076	胡突古嘗叛入於遼，居於東京，高永昌據東京，太祖索之以歸。
HCH_009_071_000077	斡魯古伐永昌，以便宜署胡突古為千戶。
HCH_009_071_000078	散都魯、訛魯補皆無功，亦以便宜除官。
HCH_009_071_000079	及以便宜解權謀克斛拔魯、黃哥、達及保等職，皆非其罪。
HCH_009_071_000080	太祖聞之，盡複斛拔魯等謀克，胡突古等皆罷去。
HCH_009_071_000081	太祖聞斡魯古軍中往往闕馬，而官馬多匿於私家，遂檢括之。
HCH_009_071_000082	耶律捏裏、佛頂遺斡魯古書，請和。
HCH_009_071_000083	斡魯古以捏裏書並所答書來上，且請曰：「複有書問，宜如何報之？」
HCH_009_071_000084	詔曰：「若彼再來請和，汝當以阿疏等叛亡，索而不獲至於交兵，我行人賽刺亦不遣還。若歸賽刺，及送阿疏等，則和好之議方敢奏聞。仍恐議和非實，無失備禦。」
HCH_009_071_000085	耶律捏裏軍蒺藜山，斡魯古以兵一萬，戍東京。
HCH_009_071_000086	太祖使迪古乃、婁室複以兵一萬益之，詔曰：「遼主失道，肆命徂征，惟爾將士，當體朕意，拒命者討之，服者撫安之。毋貪俘掠，毋肆殺戮。所賜捏裏詔書，可傳致也。」
HCH_009_071_000087	詔捏裏曰：「汝等誠欲請和，當廢黜昏主，擇立賢者，副朕吊伐之意，然後可議和約。不然，當盡並爾國。其審圖之。」
HCH_009_071_000088	捏裏複書斡魯古，雲：「降去人痕孛見還，則當送阿疏等。」
HCH_009_071_000089	上曰：「痕孛等乃交兵之後來降，阿疏則平日以罪亡去，其事特異。」
HCH_009_071_000090	複詔捏裏，令此月十三日送阿疏至顯州，各遣重臣議疆場事。
HCH_009_071_000091	斡魯古等攻顯州，知東京事完顏斡論以兵來會，即以兵三千先渡遼水，得降戶千余，遂薄顯州。
HCH_009_071_000092	郭藥師乘夜來襲，斡論擊走之。
HCH_009_071_000093	斡魯古等遂與捏裏等戰於蒺藜山，大敗遼兵，追北至阿裏真陂，獲佛頂家屬。
HCH_009_071_000094	遂圍顯州，攻其城西南，軍士神篤逾城先入，燒其佛寺，煙焰撲人，守陴者不能立，諸軍乘之，遂拔顯州。
HCH_009_071_000095	於是、乾、懿、豪、徽、成、川、惠等州皆降。
HCH_009_071_000096	乾州後為閭陽縣，遼諸陵多在此，禁無所犯。
