HCH_009_054_000051	世宗大定元年，上謂宰臣曰：「朕昔曆外任，不能悉知人之優劣，每除一官必以不稱職為憂。夫薦賢乃相職，卿等其各盡乃心，勿貽笑天下。」
HCH_009_054_000052	又曰：「凡擬注之際當為官擇人，勿徒任親舊，庶無曠官矣。」
HCH_009_054_000053	又曰：「守令之職當擇材能，比聞近邊殘破多用年老及罪降者，是益害邊民也。若資歷高者不當任邊遠，可取以下之才能者升授，回不復降，庶可以完複邊陲也。」
HCH_009_054_000054	邊升之制，蓋始於此。
HCH_009_054_000055	三年，詔監當官遷散官至三品尚任縣令者，與省除。
HCH_009_054_000056	四年，敕隨朝六品以繁劇局分官有闕者，省不得擬注，令具闕及人以聞。
HCH_009_054_000057	六年，制官至三品除，朝廷約量勞績歲月，特恩遷官。
HCH_009_054_000058	七年，制內外三品官遇擬注，其曆過成考以上月日，不曾遷加，或經革撥，可於除目內備書以聞。
HCH_009_054_000059	又敕，外路四品以上職事官、並五品合升除官，皆具闕及人以聞。
HCH_009_054_000060	六品以下官，命尚書省擬定而複奏。
HCH_009_054_000061	上又謂宰臣曰：「擬注外官，往往未當。州縣之官良則政舉，否則政隳。卿宜辨論人材，優劣參用，則遞相勉勵，庶幾成治矣。」
HCH_009_054_000062	又曰：「從來頓舍人例為節副，今宣徽院同簽銀術可以特收頓舍，然後授以滄州同知，此亦何功，但其人有足任使，故授以同簽也。且如自護衛、符寶、頓舍考滿者與六品五品之職，而與元苦辛特收頓舍者例除，則是不倫也。」
HCH_009_054_000063	十年，謂宰臣曰：「凡在官者，若不為隨朝職任，便不能離常調。若以卿等所知任使恐有滯，如驗入仕名項或廉等第用之亦可。若不稱職，即與外除。」
HCH_009_054_000064	十一年，上謂宰臣曰：「隨朝官多自計所曆，一考謂當得某職，兩考又當得某職，故但務因循而已。及被差遣，又多稽違。近除大理司直李寶為警巡使，而奏謝言'臣內曆兩考'，意謂合得五品則除六品也。朕以此人幹事，嘗除監察御史，及為大理司直，未嘗言情見一事，由是除長官，欲視其為政，故授是職。自今外路與內除者，察其為政公勤則升用，若但務苟簡者，不必待任滿即當依本等出之。不明賞罰，何以示勸勉也。」
HCH_009_054_000065	十二年，上謂宰臣曰：「朕嘗取尚書省百官行止觀之，應任刺史知軍者甚少，近獨深州同知辭不習為可，故用之。即今居五品者皆再任當例降之人，故不可也。護衛中有考滿者，若令出職，慮其年幼不閑政事，兼宿衛中如今日人材亦難得也。若勒留承應，累其資考，令至正五品可乎？」
HCH_009_054_000066	皆曰：「善。」
HCH_009_054_000067	十六年，敕宰臣：「選調擬注之際，須引外路求仕人，引至尚書省堂量材受職。」
HCH_009_054_000068	二十一年，謂宰臣曰：「海陵時，與人本官太濫，今複太隘，令散官小者奏之。」
HCH_009_054_000069	二十四年，以舊資考太滯，命各減一任，臨時量人材、辛苦、資歷、年甲，以次奏稟。
HCH_009_054_000070	章宗大定二十九年，定制，自正七品而上皆以兩任而後升。
HCH_009_054_000071	明昌四年，以前制有職官已帶三品者不許告遷，有司因之不舉，以致無由遷敘。
HCH_009_054_000072	上慮其滯，遂定制，已帶三品散官寶曆五十月，從有司照勘，格前進官一階，格後為始再算。
HCH_009_054_000073	五年，命宰臣擬注之際，召赴選人與之語，以觀其人。
HCH_009_054_000074	六年，命隨朝五品之要職，及外路三品官，皆具人闕進呈，以聽制授。
HCH_009_054_000075	七年，敕隨朝除授必欲至三十月，如有急闕，則具闕及人奏稟。
HCH_009_054_000076	尋複令，不須待考滿後，當通算其所曆而已。
HCH_009_054_000077	承安四年，敕宰臣曰：「凡除授，恐未盡當。今無門下省，雖有給事中而無封駁司，若設之，使於擬奏未受時詳審得當，然後授之可也。」
HCH_009_054_000078	乃立審官院，凡所送令詳審者，以五日內奏或申省。
HCH_009_054_000079	承安五年，以六品、從五品闕少，敕命曆三任正七品而後升六品。
HCH_009_054_000080	泰和元年，諭旨宰臣曰：「凡遇急闕，與其用資歷未及之人，何如止起複丁憂舊人也。」
HCH_009_054_000081	命內外官通算，合得升等而少十五月者，依舊在職補足，而後升除，或有餘月日以後積算。
HCH_009_054_000082	遇闕而無相應人，則以資歷近者奏稟。
HCH_009_054_000083	二年，命少五月以下者本任補，六月至十四月者本任或別除補之。
HCH_009_054_000084	是制既行之後，至六年，以一例遞升複恐太濫，命量材續稟。
HCH_009_054_000085	衛紹王大安元年，定文資本職出身內，有至一品職事官應遷一品散官者，實曆五十月方許告遷。
HCH_009_054_000086	二品三品職事官應告本品循遷者，亦曆五十月，不得過本品外。
HCH_009_054_000087	四品以下職事官如遷三品者，亦曆五十月，止許告遷三品一資。
HCH_009_054_000088	六品以下職事官曆六十月告遷，帶至三品更不許告。
HCH_009_054_000089	犯選格者皆不許。
HCH_009_054_000090	如已至三品以上職事者，六十月亦聽。
HCH_009_054_000091	凡遷三品官資及致仕並橫遷三品者，則具行止以聞。
HCH_009_054_000092	四品則六十月告遷，雜班則否。
HCH_009_054_000093	宣宗興定元年，徒單頑僧言：「兵興以來，恩命數出，以勞進階者比年尤多。賤職下僚散官或至極品，名器之輕莫此為甚。自今非親王子及職一品，餘人雖散官至一品乞皆不許封公。若已封者，雖不追奪其儀衛，亦當降從二品之制。」
HCH_009_054_000094	從之。
HCH_009_054_000095	凡選監察御史，尚書省具才能者疏名進呈，以聽制授。
HCH_009_054_000096	任滿，御史台奏其能否，仍視其所察公事具書于解由，以送尚書省。
HCH_009_054_000097	如所察事皆無謬戾為稱職，則有升擢。
HCH_009_054_000098	庸常者臨期取旨，不稱者降除，任未滿者不許改除。
