HCH_012_177_000091	妾終不嫁，曰：「豈有大臣妾嫁他人者？」
HCH_012_177_000092	翺卒，妾往奔喪，其子養之終身。
HCH_012_177_000093	李賢嘗語人曰：「臯陶言九德，王公有其五：亂而敬，擾而毅，簡而廉，剛而塞，強而義也。」
HCH_012_177_000094	然性頗執。
HCH_012_177_000095	嘗有詔舉賢良方正、經明行修及山林隱逸士。
HCH_012_177_000096	至者率下部試，翺黜落，百不取一二。
HCH_012_177_000097	性不喜南士。
HCH_012_177_000098	英宗嘗言：「北人文雅不及南人，顧質直雄偉，緩急當得力。」
HCH_012_177_000099	翺由是益多引北人。
HCH_012_177_000100	晚年徇中官郭聰囑，為都御史李秉所劾，翺自引伏，蓋不無小損雲。
HCH_012_177_000101	子孫世官錦衣千戶。
HCH_012_177_000102	年富，字大有，懷遠人。
HCH_012_177_000103	本姓嚴，訛為年。
HCH_012_177_000104	以會試副榜授德平訓導。
HCH_012_177_000105	年甫逾冠，嚴重如老儒。
HCH_012_177_000106	宣德三年課最，擢吏科給事中。
HCH_012_177_000107	糾正違失，務存大體。
HCH_012_177_000108	帝以六科任重，命科擇二人掌其事，乃以富與賈銓並掌刑科。
HCH_012_177_000109	都御史顧佐等失入死罪十七人，富劾之。
HCH_012_177_000110	帝詰責佐等。
HCH_012_177_000111	英宗嗣位，上言：「永樂中，招納降人，縻以官爵，坐耗國帑，養亂招危，宜遣還故土。府軍前衛幼軍，本選民間子弟，隨侍青宮。今死亡殘疾，僉補為擾。請於二十五所內，以一所補調，勿更累民。軍民之家，規免稅徭，冒僧道者累萬，宜悉遣未度者復業。」
HCH_012_177_000112	議多施行。
HCH_012_177_000113	遷陜西左參政，尋命總理糧儲。
HCH_012_177_000114	陜西歲織綾絹𣯳毼九百餘匹。
HCH_012_177_000115	永樂中，加織駝毼五十匹，富請罷之。
HCH_012_177_000116	官吏諸生衛卒祿廩，率以邊餉減削，富請復其舊。
HCH_012_177_000117	諸邊將校占墾腴田有至三四十頃者，富奏每頃輸賦十二石。
HCH_012_177_000118	都督王禎以為過重，疏爭之。
HCH_012_177_000119	廷議減三之二，遂為定額。
HCH_012_177_000120	又會計歲用，以籌軍餉，言：「臣所部歲收二稅百八十九萬石，屯糧七十餘萬石。其間水旱流移，蠲逋負，大率三分減一，而歲用乃至百八十餘萬，入少出多。今鎮守諸臣不量國計，競請益兵，餉何由給？請減冗卒，汰駑馬，杜侵耗之弊。」
HCH_012_177_000121	帝可其奏。
HCH_012_177_000122	三邊士馬，供億浩繁，軍民疲遠輸，豪猾因緣為奸利。
HCH_012_177_000123	富量遠近，定征科，出入慎鉤考，宿弊以革，民困大蘇。
HCH_012_177_000124	富遇事，果敢有為，權勢莫能撓，聲震關中。
HCH_012_177_000125	然執法過嚴，僥幸者多不悅，以是屢遭誣謗。
HCH_012_177_000126	陜西文武將吏恐失富，鹹上章陳其勞，乃得停俸留任。
HCH_012_177_000127	九載滿，遷河南右布政使。
HCH_012_177_000128	復有言富苛虐者，帝命核舉主，將坐之。
HCH_012_177_000129	既知舉富者，少師楊溥也，意乃解。
HCH_012_177_000130	富至河南，歲饑，流民二十餘萬，公剽掠。
HCH_012_177_000131	巡撫于謙委富輯之，皆定。
HCH_012_177_000132	土木敗後，邊境道阻，部檄富轉饟，無後期者，進左。
HCH_012_177_000133	景泰二年春，以右副都御史巡撫大同，提督軍務。
HCH_012_177_000134	時經喪敗，法弛，弊尤甚。
HCH_012_177_000135	富一意拊循，奏免秋賦，罷諸州縣稅課局，停太原民轉餉大同。
HCH_012_177_000136	武清侯石亨、武安侯鄭宏、武進伯朱瑛，令家人領官庫銀帛，糴米實邊，多所乾沒。
HCH_012_177_000137	富首請按治。
HCH_012_177_000138	詔宥亨等，抵家人罪。
HCH_012_177_000139	亨所遣卒越關抵大同，富復劾亨專擅。
HCH_012_177_000140	亨輸罪。
HCH_012_177_000141	已，削襄垣王府菜戶，又杖其廚役之署教授事者。
HCH_012_177_000142	又劾分守中官韋力轉、參將石彪及山西參政林厚罪。
HCH_012_177_000143	是時，富威名重天下，而諸豪家愈側目，相與摭富罪。
HCH_012_177_000144	于謙方當事，力保持之。
HCH_012_177_000145	帝亦知富深，故得行其誌。
HCH_012_177_000146	林厚力詆富，帝曰：「厚怨富、誣富耳。朕方付富邊事。豈輕聽人言加辱耶。」
HCH_012_177_000147	削厚官。
HCH_012_177_000148	六年，母憂，起復。
HCH_012_177_000149	七年，富上言：「諸邊鎮守監槍內官增於前，如陽和、天城，一城二人，擾民殊甚，請減汰。」
HCH_012_177_000150	事格不行。
HCH_012_177_000151	又言：「高皇帝定制，軍官私罪收贖，惟笞則然。杖即降授，徒流俱充軍，律明甚。近犯贓者，輕皆復職，重惟立功。刑不足懲，更無顧憚。此皆法官過也。」
HCH_012_177_000152	下廷議，流徒輸贖如故，惟於本衛差操，不得領軍。
HCH_012_177_000153	英國公張懋及鄭宏各置田莊於邊境，歲役軍耕種，富劾之，還軍於伍。
HCH_012_177_000154	天順元年革巡撫官，富亦罷歸。
HCH_012_177_000155	頃之，石彪以前憾劾富，逮下詔獄。
HCH_012_177_000156	帝問李賢，賢稱富能祛弊。
HCH_012_177_000157	帝曰：「此必彪為富抑，不得逞其私耳。」
HCH_012_177_000158	賢曰：「誠如聖諭，宜早雪之。」
