HCH_012_310_000090	至是，故土官之子覃友諒等以招復蠻民，請仍設治所。
HCH_012_310_000091	以其戶少，降為長官司，隸大田軍民千戶所。
HCH_012_310_000092	以友諒為散毛，長官，覃添富為施南長官。
HCH_012_310_000093	四年，改施南、散毛仍為宣撫司，以友諒、添富來朝故也。
HCH_012_310_000094	以田應虎為龍潭安撫。
HCH_012_310_000095	時應虎來朝，言其祖父自宋、元來，俱為安撫，自蠻亂並其地入散毛隔遠難治，乞仍舊，從之。
HCH_012_310_000096	時高羅安撫田大民言，招復蠻民四百餘戶，乞還原職治所。
HCH_012_310_000097	木冊長官田谷佐、唐崖長官覃忠孝，並言父祖世為安撫，洪武時大軍平蜀，民驚潰，治所廢，今谷佐等招集三百餘戶，請襲，許之。
HCH_012_310_000098	五年，鎮南長官覃興等來朝，稱系世職，洪武中廢，今招來蠻民三百戶，乞仍舊，既五峰石寶長官張再武亦以襲職請，從之。
HCH_012_310_000099	同時，設東鄉五路安撫，以覃忠為之，隸施南。
HCH_012_310_000100	設石梁下峒、椒山瑪瑙、水盡源通塔平三長官司，以向潮文、劉再貴、唐思文為之，隸容美。
HCH_012_310_000101	既復設忠路、忠孝、金峒三安撫司，隸施州衛，以覃英、田大英、覃添貴為之。
HCH_012_310_000102	皆因洪武間蠻亂民散，廢其治，今忠等以故官子侄來朝，奏請復設，並從之，各賜印章冠帶。
HCH_012_310_000103	宣德二年設劍南長官司，隸忠路安撫；搖把峒、上愛下愛二茶峒三長官司及鎮邊、隆奉二蠻夷官司，皆隸東鄉五路安撫；東流、臘壁峒二蠻夷官司，隸散毛宣撫；石關峒長官司、西泙蠻夷官司，隸金峒安撫。
HCH_012_310_000104	皆以其酋長為之。
HCH_012_310_000105	先是，忠路安撫司等各奏，前元故土官子孫牟酋蠻等，各擁蠻民，久據谿洞，今就招撫，請設官司，授以職事。
HCH_012_310_000106	兵部以聞，帝以馭蠻當順其情，所授諸司，宜有等殺。
HCH_012_310_000107	兵部議以四百戶以上者設長官司，四百戶以下者設蠻夷官司。
HCH_012_310_000108	元土官子孫量授以職，從所招官司管屬。
HCH_012_310_000109	皆從之。
HCH_012_310_000110	令三年一朝貢如故事。
HCH_012_310_000111	九年，木冊長官田谷佐奏：「高羅安撫常倚勢淩轢，侵奪其土地人民，已蒙朝廷分理，然彼宿怨未平，恐復加害。乞徑隸施州衛。」
HCH_012_310_000112	從之。
HCH_012_310_000113	正統三年命散毛宣撫覃友諒子瑄試職。
HCH_012_310_000114	初，友諒以罪械赴京，中路逃匿，後為官軍所獲，斃獄。
HCH_012_310_000115	至是，本司以其子為蠻民信服，乞襲職。
HCH_012_310_000116	帝以友諒罪重宜革，第以蠻故詘法信恩，命瑄試職圖後效。
HCH_012_310_000117	景泰二年，禮部奏：「散毛宣撫司副使黃縉瑄謀殺親兄，律應斬。其妻譚氏遣子忠等貢馬贖罪，然縉瑄罪重，法不可宥。宜給鈔以酬馬直。」
HCH_012_310_000118	從之。
HCH_012_310_000119	天順元年，容美宣撫田潮美老疾，請子保富代職，從之。
HCH_012_310_000120	五年，禮部奏：「施州木冊長官司土舍譚文壽兇暴，並造不法誹謗之言，罪當刑。今其母向氏進馬以贖，恐不可從。」
HCH_012_310_000121	帝命給鈔百錠以慰其母，其子仍禁錮之。
HCH_012_310_000122	成化二年，搖把洞長官向麥答踵奏：「鄰近洗羅峒長，窺知本洞土兵調征兩廣，村寨空虛，煽誘土蠻攻劫，乞調官軍剿治。」
HCH_012_310_000123	五年，禮部奏：「容美宣撫司田保富等，遣人進貢方物不及數，恐使者侵盜，宜停其賞，仍移知所司。」
HCH_012_310_000124	施州等衛八安撫司各奏，成化五年朝覲進馬，已付邊衛騎操，而諸衛收馬文移不至，恐有虛詐，宜勘實給賞，皆從之。
HCH_012_310_000125	弘治二年，木冊長官田賢及容美致在田保富各進馬，為土人譚敬保等贖罪。
HCH_012_310_000126	刑部言：「蠻民納馬贖罪，輕者可原，重者難宥，宜下按臣察核。」
HCH_012_310_000127	八年，容美宣撫貢馬及香，禮部以香不及數，馬多道斃，又無文驗，命予半賞。
HCH_012_310_000128	九年，金峒安撫覃彥龍奏：「境內產杉木，嘗鬻金三千貯庫。今彥龍年老，子惟一人，恐身後土人爭奪，乞解部。」
HCH_012_310_000129	工部議非貢典，卻之。
HCH_012_310_000130	正德四年，容美宣撫並椒山瑪瑙長官司所遣通事劉思朝等赴京進貢，沿途驛傳多需索，為偵事所發，自魯橋以北計千餘金。
HCH_012_310_000131	部臣以聞，帝以遠蠻宥之。
HCH_012_310_000132	散毛宣撫並五峰石寶、水盡源通塔平長官司入貢後期，部議半賞，從之。
HCH_012_310_000133	九年命大田千戶所千戶冉霖彡子舜卿為指揮僉事，以自陳討川寇功也。
HCH_012_310_000134	十一年，容美宣撫田秀愛其幼子，將逐其兄白俚俾，而以幼子襲。
